codigo,coord_x,coord_y,coord_z,name,t_e,tipo,tipo_est,web,zona_est,diasppmx18,diasppmx17,codigo2
456,-9.883611111,-76.50027778,3673,JACAS CHICO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000456,RP,,1,000456
457,-9.920952778,-76.30961667,1986,CANCHAN,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000457,RP,,0,000457
458,-8.582494444,-74.86613056,170,LAS PALMERAS DE UCAYALI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000458,RP,,4,000458
459,-8.449986111,-75.09675278,185,EL MARONAL,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000459,RP,,3,000459
462,-9.042222222,-75.50638889,319,AGUAYTIA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000462,RP,,0,000462
468,-9.3085,-76.00044167,660,TINGO MARIA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000468,RP,,2,000468
469,-9.147055556,-76.00943611,640,TULUMAYO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000469,RP,,2,000469
474,-8.929869444,-76.11170833,586,AUCAYACU,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000474,RP,,5,000474
475,-10.48960278,-76.51285,3150,YANAHUANCA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000475,RP,,0,000475
476,-10.96555556,-74.8325,546,PICHANAKY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000476,RP,,0,000476
477,-12.00416667,-75.22083333,3295,SANTA ANA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000477,RP,,1,000477
478,-9.381388889,-74.96083333,249,PUERTO INCA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000478,RP,,2,000478
480,-8.927494444,-74.70881667,213,TOURNAVISTA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000480,RP,,2,000480
501,-11.06068056,-77.55010556,131,ALCANTARILLA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000501,VNP,,0,000501
503,-11.78663889,-75.48688889,3378,JAUJA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000503,RP,3,2,000503
508,-12.39305556,-74.86611111,3240,PAMPAS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000508,RP,,1,000508
528,-10.673975,-77.82178056,18,PARAMONGA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000528,VNP,,2,000528
530,-10.06811944,-78.16231944,8,HUARMEY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000530,VNP,,0,000530
532,-10.91293889,-77.64889722,59,CAMAY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000532,VNP,,0,000532
534,-11.36014167,-77.36839167,384,LOMAS DE LACHAY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000534,VNP,,4,000534
538,-10.14763056,-77.15949444,3386,CHIQUIAN,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000538,VNP,,5,000538
539,-11.45280833,-77.12200556,346,HUAYAN,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000539,VNP,,1,000539
540,-10.47788333,-76.98971389,3432,CAJATAMBO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000540,VNP,,6,000540
541,-10.66769167,-76.76870278,3667,OYON,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000541,VNP,,3,000541
542,-10.92161667,-76.73701111,2920,PICOY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000542,VNP,,0,000542
543,-11.98744444,-76.84194444,543,ÑAÑA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000543,VNP,,3,000543
546,-11.52099722,-77.23566389,127,DONOSO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000546,VNP,,1,000546
547,-11.47121389,-76.62569444,2818,CANTA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000547,VNP,,5,000547
548,-11.83912778,-76.37802778,2417,MATUCANA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000548,VNP,5,3,000548
549,-11.40439722,-76.32486389,4447,MARCAPOMACOCHA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000549,RP,,1,000549
552,-10.32924167,-76.17651944,2722,SAN RAFAEL,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000552,RP,3,1,000552
554,-11.39694444,-75.69027778,3000,TARMA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000554,RP,,2,000554
555,-11.26166667,-75.62083333,2750,HUASAHUASI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000555,RP,,0,000555
556,-10.05027778,-75.55027778,1000,POZUZO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000556,RP,,0,000556
557,-10.59416667,-75.38416667,1850,OXAPAMPA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000557,RP,,0,000557
560,-11.74861111,-75.12916667,3640,COMAS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000560,RP,,0,000560
571,-11.22805556,-74.6175,660,SATIPO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000571,RP,,0,000571
572,-11.13361111,-74.25027778,690,PUERTO OCOPA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000572,RP,,2,000572
590,-10.95588889,-69.578,244,IÑAPARI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000590,RP,,4,000590
593,-10.69361111,-76.25027778,4260,CERRO DE PASCO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000593,RP,,0,000593
594,-12.125,-75.43194444,3600,SAN JUAN DE JARPA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000594,RP,,7,000594
604,-11.56861111,-75.95944444,3910,LA OROYA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000604,RP,,0,000604
606,-12.85611111,-72.69194444,990,QUILLABAMBA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000606,RP,,3,000606
607,-13.55694444,-71.87527778,3219,GRANJA KCAYRA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000607,RP,,2,000607
608,-12.16305556,-75.23527778,3186,VIQUES,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000608,RP,,0,000608
625,-12.36611111,-75.05638889,3675,ACOSTAMBO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000625,RP,14,2,000625
631,-12.52169444,-76.49313889,442,LA CAPILLA 2,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000631,RP,,3,000631
633,-12.13885556,-76.23429444,3120,HUAROCHIRI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000633,RP,,9,000633
635,-12.03833333,-75.33805556,3360,HUAYAO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000635,RP,,2,000635
636,-12.49172778,-75.91039167,2285,YAUYOS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000636,RP,,12,000636
638,-12.86689167,-76.05792778,684,PACARAN,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000638,RP,,8,000638
639,-13.60117778,-75.62102222,1010,HUANCANO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000639,RP,,6,000639
640,-13.843,-75.60703611,790,HUAMANI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000640,RP,,17,000640
642,-12.25222222,-75.35527778,3860,LAIVE,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000642,RP,11,1,000642
647,-13.25931667,-75.08596111,4498,TUNEL CERO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000647,RP,,2,000647
648,-12.41111111,-75.09166667,3880,PILCHACA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000648,RP,15,17,000648
649,-12.78027778,-75.03611111,3860,HUANCAVELICA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000649,RP,,2,000649
650,-13.74113611,-75.96640556,293,HACIENDA BERNALES,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000650,RP,,0,000650
654,-12.68361111,-72.28361111,1050,QUEBRADA YANATILE,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000654,RP,,1,000654
657,-12.98194444,-74.71808333,3360,LIRCAY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000657,RP,,3,000657
