Estacion,Mes,Data,Tot-ppd,Ex-83-98,Ex->0.1,p99,p95,p90,p75,data_años
qc00151212,3,1085,961,930,451,15.7,12.6,10,5.9,15.0
qc00154107,1,1581,1581,1519,434,14.1,10.5,8.7,5.2,14.5
qc00000349,2,806,679,648,418,49,32.9,25.3,14.5,13.9
qc00000625,3,806,806,775,407,25.3,18.5,14,9.5,13.6
qc00000349,3,806,651,620,403,47.6,31.9,25.2,13.8,13.4
qc00000822,3,744,744,713,403,30.5,22,18,11.3,13.4
qc00156113,1,1581,1382,1321,398,10.8,7.5,5.7,3.5,13.3
qc00000625,1,806,806,775,391,25,19.5,15.8,11,13.0
qc00000349,1,806,682,651,371,45,31.8,22.8,14.4,12.4
qc00000322,1,1581,1519,1457,354,54,32,26.6,14,11.8
qc00151212,1,1085,961,930,352,14.4,10,8.1,4.8,11.7
qc00153313,2,1581,1581,1519,339,60.9,44.2,29,15,11.3
qc00153313,1,1581,1581,1519,280,55,37,27.1,15,9.3
qc00000805,2,2015,1893,1862,110,15.5,3.61,2.6,1.6,3.7
qc00000805,1,2015,1991,1929,100,7,4,2.8,1.15,3.3
qc00000805,3,2015,1788,1757,58,6.4,4.7,3,1.5,1.9
