Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2014,23.8,10,10.8,23.6,13,9.4,14,11.7,0.0,17.3,N,4.0
02-Ene-2014,23.5,7.9,7.9,22.6,16.4,7.7,15.3,13.5,1.2,2.0,N,6.0
03-Ene-2014,21.8,7.8,11.8,19.2,17.2,10.5,13.6,13.2,0.0,0.0,N,6.0
04-Ene-2014,22.8,11.7,13.6,18.6,16.1,12.6,13.1,13.0,1.1,0.2,N,2.0
05-Ene-2014,22.5,11,11.5,20.9,17.4,10.8,13.9,13.2,7.8,0.0,N,6.0
06-Ene-2014,20.2,11.7,12.4,18.5,13.1,11.8,13.3,12.2,1.2,2.2,N,6.0
07-Ene-2014,21.2,11.6,11.8,18.4,17.2,11.4,13.4,12.8,9.5,2.6,N,2.0
08-Ene-2014,18.8,11.4,12.2,16.2,13.4,11.8,13,12.2,4.2,1.4,N,4.0
09-Ene-2014,22.4,12.4,12.6,21.8,15.8,12,14.2,12.2,0.1,0.0,N,4.0
10-Ene-2014,19.6,9.4,11.4,17.4,13.4,10.8,12.6,12.2,0.0,1.4,N,4.0
11-Ene-2014,19.2,11.4,12.6,16.8,14.7,11.6,13.6,12.2,0.0,0.5,N,4.0
12-Ene-2014,20.6,11.6,12.4,20.2,15.6,11.6,14.5,12.6,1.0,2.3,N,4.0
13-Ene-2014,23.8,11.2,12.8,16.4,16.6,12,12.4,13.0,0.1,0.0,N,2.0
14-Ene-2014,22.6,9.4,9.6,21,16.3,9.2,14.2,13.0,0.0,-888.0,N,4.0
15-Ene-2014,22.6,9.4,11.4,21.6,18.3,11,14.1,13.1,1.2,0.0,N,2.0
16-Ene-2014,19.2,11.5,13.3,18.1,12.7,12,13.9,11.9,0.0,3.5,N,4.0
17-Ene-2014,21.5,11.3,12.1,20.5,16.1,11.4,13.9,12.8,2.3,1.3,N,4.0
