Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2014,0,0.0
02-Ene-2014,0,0.0
03-Ene-2014,0,0.0
04-Ene-2014,0,3.2
05-Ene-2014,6.8,0.3
06-Ene-2014,-888,0.0
07-Ene-2014,0,3.4
08-Ene-2014,0,5.0
09-Ene-2014,-888,0.5
10-Ene-2014,0,0.0
11-Ene-2014,0,15.5
12-Ene-2014,-888,4.3
13-Ene-2014,-888,4.0
14-Ene-2014,0,3.5
15-Ene-2014,.5,4.0
16-Ene-2014,-888,5.6
17-Ene-2014,0,2.4
18-Ene-2014,-888,2.6
19-Ene-2014,.5,6.5
20-Ene-2014,0,5.0
21-Ene-2014,0,2.0
22-Ene-2014,0,-888.0
23-Ene-2014,0,0.0
24-Ene-2014,0,0.0
25-Ene-2014,0,0.0
26-Ene-2014,0,0.0
27-Ene-2014,0,0.0
28-Ene-2014,0,0.0
29-Ene-2014,0,0.0
30-Ene-2014,-888,-888.0
31-Ene-2014,-888,1.5
01-Feb-2014,1,2.0
02-Feb-2014,1,1.5
03-Feb-2014,-888,-888.0
04-Feb-2014,0,-888.0
05-Feb-2014,0,0.0
06-Feb-2014,0,0.0
07-Feb-2014,0,-888.0
08-Feb-2014,0,1.0
09-Feb-2014,-888,0.5
10-Feb-2014,-888,0.0
11-Feb-2014,0,-888.0
12-Feb-2014,0,0.0
13-Feb-2014,0,-888.0
14-Feb-2014,0,-888.0
15-Feb-2014,0,0.2
16-Feb-2014,-888,2.0
17-Feb-2014,1.5,0.0
18-Feb-2014,0,0.0
19-Feb-2014,0,0.0
20-Feb-2014,0,1.5
21-Feb-2014,0,1.0
22-Feb-2014,-888,2.6
23-Feb-2014,-888,2.8
24-Feb-2014,0,5.4
25-Feb-2014,-888,6.0
26-Feb-2014,2,3.5
27-Feb-2014,8,4.0
28-Feb-2014,-888,0.2
01-Mar-2014,.5,1.0
02-Mar-2014,0,2.5
03-Mar-2014,-888,4.0
04-Mar-2014,0,8.5
05-Mar-2014,.6,3.8
06-Mar-2014,2,7.0
07-Mar-2014,0,6.5
08-Mar-2014,.5,8.0
09-Mar-2014,0,5.5
10-Mar-2014,-888,4.0
11-Mar-2014,-888,6.4
12-Mar-2014,.2,5.6
13-Mar-2014,0,8.5
14-Mar-2014,.5,4.8
15-Mar-2014,-888,7.5
16-Mar-2014,1.5,10.3
17-Mar-2014,-888,8.5
18-Mar-2014,-888,2.0
19-Mar-2014,0,-888.0
20-Mar-2014,0,-888.0
21-Mar-2014,-888,1.0
22-Mar-2014,0,2.0
23-Mar-2014,0,0.5
24-Mar-2014,-888,3.0
25-Mar-2014,0,0.2
26-Mar-2014,.1,7.0
27-Mar-2014,1,9.2
28-Mar-2014,0,0.0
29-Mar-2014,0,0.0
30-Mar-2014,0,0.0
31-Mar-2014,0,0.0
01-Ene-2015,0,4.5
02-Ene-2015,0,5.0
03-Ene-2015,-888,7.2
04-Ene-2015,.5,5.5
05-Ene-2015,.2,4.2
06-Ene-2015,0,6.0
07-Ene-2015,0,5.2
08-Ene-2015,0,1.6
09-Ene-2015,0,0.5
10-Ene-2015,0,0.2
11-Ene-2015,0,0.0
12-Ene-2015,0,0.0
13-Ene-2015,0,0.0
14-Ene-2015,0,0.0
15-Ene-2015,0,0.0
16-Ene-2015,0,0.0
17-Ene-2015,0,0.0
18-Ene-2015,0,0.0
19-Ene-2015,0,-888.0
20-Ene-2015,0,0.5
21-Ene-2015,-888,8.0
22-Ene-2015,2,10.0
23-Ene-2015,.5,12.0
24-Ene-2015,-888,10.0
25-Ene-2015,.2,8.2
26-Ene-2015,-888,2.5
27-Ene-2015,-888,0.2
28-Ene-2015,0,-888.0
29-Ene-2015,0,0.3
30-Ene-2015,-888,-888.0
31-Ene-2015,0,0.0
01-Feb-2015,0,-888.0
02-Feb-2015,0,0.2
03-Feb-2015,0,2.5
04-Feb-2015,-888,5.0
05-Feb-2015,0,1.8
06-Feb-2015,.5,4.8
07-Feb-2015,-888,1.5
08-Feb-2015,0,3.6
09-Feb-2015,.2,5.5
10-Feb-2015,-888,3.8
11-Feb-2015,0,4.5
12-Feb-2015,-888,3.0
13-Feb-2015,0,3.5
14-Feb-2015,0,1.0
15-Feb-2015,0,2.0
16-Feb-2015,0,3.0
17-Feb-2015,0,0.0
18-Feb-2015,0,0.0
19-Feb-2015,0,0.0
20-Feb-2015,0,0.0
21-Feb-2015,0,-888.0
22-Feb-2015,0,1.2
23-Feb-2015,-888,2.0
24-Feb-2015,0,5.0
25-Feb-2015,2,2.0
26-Feb-2015,-888,1.5
27-Feb-2015,0,4.0
28-Feb-2015,0,3.0
01-Mar-2015,0,1.5
02-Mar-2015,0,0.5
03-Mar-2015,0,1.8
04-Mar-2015,0,8.5
05-Mar-2015,.5,-888.0
06-Mar-2015,0,0.0
07-Mar-2015,0,0.0
08-Mar-2015,0,0.0
09-Mar-2015,0,0.0
10-Mar-2015,0,4.2
11-Mar-2015,-888,3.0
12-Mar-2015,0,10.5
13-Mar-2015,0,1.0
14-Mar-2015,-888,0.5
15-Mar-2015,0,5.4
16-Mar-2015,0,3.5
17-Mar-2015,.5,8.4
18-Mar-2015,1.5,10.3
19-Mar-2015,-888,6.4
20-Mar-2015,2.8,5.8
21-Mar-2015,0,5.0
22-Mar-2015,1.5,8.0
23-Mar-2015,.4,6.3
24-Mar-2015,-888,10.2
25-Mar-2015,2,8.0
26-Mar-2015,3.1,4.2
27-Mar-2015,-888,2.2
28-Mar-2015,0,0.0
29-Mar-2015,0,0.0
30-Mar-2015,0,0.5
31-Mar-2015,0,-888.0
01-Ene-2016,0,0.0
02-Ene-2016,0,0.0
03-Ene-2016,-888,0.0
04-Ene-2016,0,0.0
05-Ene-2016,0,0.0
06-Ene-2016,0,0.0
07-Ene-2016,0,0.0
08-Ene-2016,0,0.0
09-Ene-2016,0,0.0
10-Ene-2016,0,0.0
11-Ene-2016,0,0.0
12-Ene-2016,0,0.0
13-Ene-2016,0,0.0
14-Ene-2016,0,0.0
15-Ene-2016,0,0.0
