Día/mes/año,Precipitacion (mm),Precipitacion (mm)
27-Ene-2016,0,0.0
28-Ene-2016,0,0.0
29-Ene-2016,0,3.6
30-Ene-2016,0,7.1
31-Ene-2016,.8,0.0
01-Feb-2016,0,1.0
02-Feb-2016,0,0.0
03-Feb-2016,0,6.1
04-Feb-2016,0,0.0
05-Feb-2016,0,0.0
06-Feb-2016,0,0.0
07-Feb-2016,0,2.6
08-Feb-2016,.1,1.2
09-Feb-2016,.4,8.4
10-Feb-2016,5.3,0.2
11-Feb-2016,0,1.8
12-Feb-2016,0,2.4
13-Feb-2016,0,2.2
14-Feb-2016,0,0.0
15-Feb-2016,0,0.0
16-Feb-2016,0,0.7
17-Feb-2016,0,6.5
18-Feb-2016,0,6.9
19-Feb-2016,.8,0.0
20-Feb-2016,0,0.3
21-Feb-2016,0,0.0
22-Feb-2016,1.7,0.1
23-Feb-2016,0,10.1
24-Feb-2016,4.8,5.1
25-Feb-2016,5.9,18.0
26-Feb-2016,.6,0.5
27-Feb-2016,0,0.0
28-Feb-2016,.2,10.7
29-Feb-2016,2.1,0.9
01-Mar-2016,1.7,0.9
02-Mar-2016,0,0.0
03-Mar-2016,0,0.0
04-Mar-2016,0,0.0
05-Mar-2016,0,5.1
06-Mar-2016,0,9.7
07-Mar-2016,6.3,5.8
08-Mar-2016,6.1,3.4
09-Mar-2016,4.5,0.0
10-Mar-2016,0,2.2
11-Mar-2016,.5,0.0
12-Mar-2016,.6,1.5
13-Mar-2016,0,0.0
14-Mar-2016,0,1.9
15-Mar-2016,0,0.0
16-Mar-2016,0,0.0
17-Mar-2016,0,0.0
18-Mar-2016,0,0.0
19-Mar-2016,0,0.0
20-Mar-2016,0,2.0
21-Mar-2016,0,2.3
22-Mar-2016,0,0.0
23-Mar-2016,0,0.0
24-Mar-2016,5.6,0.0
25-Mar-2016,0,0.0
26-Mar-2016,0,0.0
27-Mar-2016,0,2.9
28-Mar-2016,0,0.0
29-Mar-2016,0,0.0
30-Mar-2016,0,0.4
31-Mar-2016,.1,0.0
