Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2013,17.5,2,7.6,16.6,10.4,3.8,8.8,7.0,0.0,0.0,SE,2.0
02-Ene-2013,15.5,3.8,8.4,14,10,6.2,8,6.0,13.2,0.0,SE,2.0
03-Ene-2013,16.4,4,9,15.6,9,6,9,5.4,0.0,0.0,C,
04-Ene-2013,18,5,8.8,17,7.8,5.8,9.4,5.0,0.9,0.0,C,
05-Ene-2013,13,4.8,7.8,11.6,7.6,5,9.4,5.0,0.0,1.9,SE,2.0
06-Ene-2013,14,5.2,7,13.4,9.2,5.8,8.4,6.4,6.0,0.0,SE,2.0
07-Ene-2013,17.5,2.2,7.8,16,12,4.8,7,6.8,3.8,0.0,SE,2.0
08-Ene-2013,16.5,6.4,10.6,15.8,7.6,6,8.6,6.0,0.0,4.7,C,
09-Ene-2013,15.5,3.8,7.6,14,8.6,5.2,8.6,7.0,3.0,0.9,E,2.0
10-Ene-2013,17,6.2,8.6,15.4,9.2,6,9.2,7.0,2.4,2.0,C,
11-Ene-2013,14.8,6,7,13.4,7,5.8,8.6,5.4,4.4,9.0,C,
12-Ene-2013,15.5,5.8,7.8,15,7.6,5.4,9.4,5.0,0.0,10.2,E,2.0
13-Ene-2013,15,4.2,7,13.6,9,5.2,9.2,7.6,0.0,1.7,C,
14-Ene-2013,16,6,8,14.4,10,5.8,8.8,7.0,0.0,0.0,C,
15-Ene-2013,16.5,5.8,9,14.8,6.6,7,9,5.2,2.0,6.4,C,
16-Ene-2013,14.5,6,7.6,12.8,6.6,5.8,8.8,5.4,4.5,4.4,C,
17-Ene-2013,14,5.6,6.8,11.6,10,5.8,8.6,7.0,0.9,0.6,C,
18-Ene-2013,14,4.8,7.4,12.8,6.8,5,8.8,5.0,4.3,8.6,SE,2.0
19-Ene-2013,16.5,5.6,7.8,15.8,6,6,9.6,5.0,1.0,8.7,S,2.0
20-Ene-2013,16,3.8,6,14.4,10,4,8.4,6.8,1.9,0.0,C,
21-Ene-2013,15,5.2,8,13.4,7.2,3.6,7.4,6.0,0.0,4.2,S,2.0
22-Ene-2013,16,4,7.4,14.4,6,4.4,7.6,4.4,3.6,2.8,S,4.0
23-Ene-2013,16.4,5,7,13,10.4,5.2,7.8,7.2,0.0,0.0,S,2.0
24-Ene-2013,15,6,8,14,8.8,3.8,8.8,6.2,0.0,0.0,SE,2.0
25-Ene-2013,16.5,5.8,8.6,15.6,6.4,5.6,9.2,5.4,0.0,7.0,E,4.0
26-Ene-2013,16,3,6.6,14,10,5.2,8.8,5.4,3.0,5.7,SE,4.0
27-Ene-2013,16.8,3.2,6.8,15.6,9.6,5,8.6,5.6,0.6,0.0,S,2.0
28-Ene-2013,17,4.8,9.6,15.8,11,6,8.6,6.8,0.0,0.0,C,
29-Ene-2013,15.5,4.4,6,14.2,8.6,5,9.4,6.6,16.1,6.7,C,
30-Ene-2013,14.5,5.8,6.4,13.2,6.6,5.2,9.6,5.2,7.7,13.4,NE,2.0
31-Ene-2013,15.5,3.6,7,14,7.4,6,8.6,6.4,0.0,0.6,SE,4.0
01-Feb-2013,15,5,7.6,11.6,6.4,6.2,7,5.8,1.4,5.5,NE,2.0
02-Feb-2013,15.5,6.2,7.8,14,8,6,8.8,6.8,0.0,0.0,S,2.0
03-Feb-2013,13,7,8,12.6,8.6,6.8,9.2,6.4,1.5,1.4,SE,4.0
04-Feb-2013,15.5,7,8.4,13.8,8.8,6.2,8.6,7.4,0.0,0.0,SE,2.0
05-Feb-2013,15,6.4,8.2,14.2,9,6.2,9,7.2,0.0,0.9,C,
06-Feb-2013,14,6.8,7.6,13.4,8,6.4,8.8,6.8,0.6,2.6,S,2.0
07-Feb-2013,15.5,6.2,7.8,14.4,7.4,6,9.6,6.2,0.0,6.4,E,2.0
08-Feb-2013,16,6.4,7.6,14.2,9,6.6,9,5.4,2.6,13.7,S,2.0
09-Feb-2013,15.5,6,7.4,14.2,8.6,5,8.8,5.2,0.5,4.0,SE,2.0
10-Feb-2013,17.2,6.2,8,16,8,5.8,10,6.0,1.2,5.1,C,
11-Feb-2013,17,5.8,8.4,15.4,7.8,4.8,9.4,6.0,0.0,0.0,C,
12-Feb-2013,18,4,6.6,17,10.4,3,6,4.8,0.0,0.0,SE,2.0
