Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2013,16,6.6,9.4,15,10.4,7.6,13.6,9.2,1.6,0.0,,
02-Ene-2013,15.8,7,11,14.6,9.8,10,13,8.0,0.0,0.0,,
03-Ene-2013,16.2,6.8,11,15.4,10.2,9.6,14,8.8,0.0,0.0,,
04-Ene-2013,16.4,8.2,11.8,15.2,10,10,13.6,8.6,0.0,0.0,,
05-Ene-2013,14.2,5.8,9.8,13,10.4,8,12,9.2,6.4,0.0,,
06-Ene-2013,13.2,5.4,9.2,12.8,10,8,11.4,9.6,5.4,0.0,,
07-Ene-2013,15.4,6,10.4,13.8,9.6,8.6,12,8.0,3.2,0.0,,
08-Ene-2013,13.2,5.8,9.4,12.6,9.8,8,11,8.6,1.2,7.3,,
09-Ene-2013,14.2,5.2,9.8,13.8,9.4,8.4,11.8,7.8,16.6,0.0,,
10-Ene-2013,14,7,10.4,13.4,9,9,12,7.6,6.6,1.4,,
11-Ene-2013,13.6,6,9.4,13,9.2,8,11.8,8.0,12.0,0.0,,
12-Ene-2013,13.8,6.4,9.8,13.2,10,8.6,11.8,8.8,8.6,0.0,,
13-Ene-2013,14.2,6.8,10,13.6,9.8,8.4,12,7.8,9.0,0.0,,
14-Ene-2013,14,7.4,10.8,13.2,9,9,11.6,7.6,0.6,0.0,,
15-Ene-2013,14.6,6.8,9.2,13,9.8,8,11.8,8.0,3.9,0.0,,
16-Ene-2013,15.4,6.4,9,14.6,10.8,7.8,13,9.0,16.0,0.0,,
17-Ene-2013,15,5.6,9.8,14,9,8,12.6,7.6,5.8,0.0,,
18-Ene-2013,15.8,5,9,14.4,10,7.6,13.2,8.8,21.2,0.0,,
19-Ene-2013,15.4,7.2,10,14,9.8,8.8,12.8,8.0,0.8,0.0,,
20-Ene-2013,15,5,9.6,13.6,9.4,7.8,12,7.6,7.8,0.0,,
21-Ene-2013,15.2,5.2,9.2,14.6,10,8,13.2,8.8,0.0,0.0,,
22-Ene-2013,14.8,6.8,10,14.2,10.6,8.4,12.6,8.4,2.2,0.0,,
23-Ene-2013,15,7,10.6,14,9.6,8,12.8,8.0,0.0,0.0,,
24-Ene-2013,15.2,5.8,9.8,14.6,10,7,12.6,8.6,0.0,0.0,,
25-Ene-2013,16.2,6,9.8,15.4,10.6,7.4,13,8.4,0.0,0.0,,
26-Ene-2013,15.8,7,10.4,14.6,9.8,8.8,13.2,7.4,0.0,0.0,,
27-Ene-2013,16.4,6.8,9.6,15.4,9.6,7.8,12.8,8.0,0.0,0.0,,
28-Ene-2013,16.8,7,10.2,15,10,8.4,13.4,8.6,0.0,0.0,,
29-Ene-2013,15.8,6.6,9.8,14.2,9.6,7.8,13,8.0,8.4,0.0,,
30-Ene-2013,15.6,5.2,8.8,13.6,9.8,7,11.8,7.6,19.6,0.0,,
31-Ene-2013,15.8,6.6,9.4,14,8.8,7.2,12.6,7.0,0.4,0.0,,
01-Feb-2013,15.4,7.2,10.2,14.8,10.6,8.8,13,9.0,0.0,3.0,,
02-Feb-2013,15.8,7.8,10.6,14.4,9.8,9,12.6,8.0,0.0,0.0,,
03-Feb-2013,16.6,7.6,11.2,15.6,10.6,10.8,14,9.6,1.0,0.5,,
04-Feb-2013,16.8,8,11.6,15.8,11.8,10,14.6,10.0,0.0,0.0,,
05-Feb-2013,15,7,10.2,14.4,10,8.8,13,8.4,0.0,0.0,,
06-Feb-2013,15.2,5.8,9.8,14,9.6,8,12.8,8.0,12.4,0.0,,
07-Feb-2013,15.8,6,9.4,15.2,11,7.8,14,9.4,10.0,0.0,,
08-Feb-2013,15.2,6.2,8.4,14,10,7,12.8,9.0,17.8,0.0,,
09-Feb-2013,14.8,5,8,13.6,9.4,6.8,12,7.8,14.4,0.0,,
10-Feb-2013,15,6.8,9,14.4,11,7.8,13,9.8,7.1,0.0,,
11-Feb-2013,15.2,6,9.4,14.2,10,8,12.8,8.2,3.8,0.0,,
12-Feb-2013,15.4,6.8,11,15,11.2,9.6,13,9.8,2.0,0.0,,
13-Feb-2013,15,6.4,9.2,14.4,10.4,7.8,13.4,9.2,2.6,0.0,,
14-Feb-2013,15.8,5,9.8,14.8,10.4,8,12.6,9.0,10.2,0.0,,
15-Feb-2013,15.4,6,9,12.8,9,7,11,7.4,17.8,4.8,,
16-Feb-2013,15,6.4,9.6,12.4,9.2,7.4,10.8,7.6,15.0,0.0,,
17-Feb-2013,14.8,5.4,9.8,13.4,10.4,7.8,12,9.0,5.6,10.0,,
18-Feb-2013,15.6,6,10.6,14,10,8.4,12.4,9.6,0.0,0.0,,
19-Feb-2013,15.2,6.8,10.8,14.8,9.8,8.2,13,8.0,3.8,0.0,,
20-Feb-2013,15.8,6.4,9.2,15.4,11,8,14,9.8,3.2,0.0,,
21-Feb-2013,15,7,9.8,14.6,11.4,7.8,13,10.0,6.0,2.6,,
22-Feb-2013,15.6,6.8,10.2,14.6,11,8,13.2,9.8,5.0,0.0,,
23-Feb-2013,16,7,10.4,14.4,10,9,13,9.0,0.3,0.0,,
24-Feb-2013,17,8,11,16.6,11.2,9.2,14.4,10.0,0.0,0.0,,
25-Feb-2013,17.6,8.6,11.4,16.8,10.8,10,15,9.0,0.0,0.0,,
26-Feb-2013,15.8,8,10.6,14,10,9.2,12.2,8.8,0.0,0.0,,
