Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2014,20.2,6.6,7.2,18,13,5.8,11.6,9.0,0.0,0.0,NE,2.0
02-Ene-2014,21.4,5,6,18.6,10.6,4.6,12,8.4,0.0,3.2,NE,3.0
03-Ene-2014,19.6,5.4,6,18.4,12.8,4.6,12.2,9.0,0.7,0.0,SW,3.0
04-Ene-2014,16.8,7.4,7.8,14.6,11,6.6,11.8,8.6,0.0,0.0,NE,2.0
05-Ene-2014,17.6,8,8.6,14.4,10.4,8.2,11.4,8.4,7.9,6.8,NE,3.0
06-Ene-2014,17.8,6.4,7,15.8,10.8,5.8,11.6,9.4,0.0,5.8,NW,3.0
07-Ene-2014,17.4,7.2,7.8,15.8,11.8,7,12,9.4,3.9,1.7,NE,4.0
08-Ene-2014,18.4,7.8,8.4,17.2,10,7.4,12.6,8.8,3.4,2.0,SE,4.0
09-Ene-2014,17.8,7.4,8,16,11,7,11.8,9.2,0.6,0.0,NE,5.0
10-Ene-2014,13.2,8,8.6,12.4,9.2,7.8,10,9.2,0.0,8.8,NE,2.0
11-Ene-2014,18.4,8.2,8.8,16.6,11.6,7.8,12,8.6,4.5,0.5,NE,3.0
12-Ene-2014,19,4.8,6.2,17,11,5,11.6,9.0,0.0,2.1,NW,2.0
13-Ene-2014,16,7.6,8.2,13.6,9,7.2,11.4,7.8,3.5,7.1,NW,4.0
14-Ene-2014,18.6,8,8.6,17.4,12,7.8,11.4,9.2,2.6,0.0,NW,2.0
15-Ene-2014,19.6,8.4,8.6,17.8,10.6,7.8,12,9.4,0.0,3.7,NW,2.0
16-Ene-2014,16.4,8.6,9,14.8,9,8.2,11.6,8.0,2.6,8.2,NE,3.0
