Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2013,-999,21,22.4,29.8,24.6,20.8,24.6,23.0,3.5,0.0,NW,2.0
02-Ene-2013,-999,21.2,23.2,29.4,23.2,21.2,24.2,21.2,0.0,0.0,NE,2.0
03-Ene-2013,-999,20.8,21.6,29.6,22,21.2,24,21.0,0.0,26.2,C,
04-Ene-2013,-999,21.2,21.4,29,24.8,21,24.2,23.6,20.0,0.0,C,
05-Ene-2013,-999,21,22.6,31.6,24.2,21.2,25,22.2,0.0,0.0,NE,6.0
06-Ene-2013,-999,21.4,22,29.2,23.2,21,24,21.8,0.0,0.0,C,
07-Ene-2013,-999,21.8,23,27,24.2,21.6,23.2,22.2,0.0,0.0,C,
08-Ene-2013,-999,21.4,22.6,29.2,24,21.4,24,22.0,0.0,0.0,C,
09-Ene-2013,-999,21.2,22,28.6,23.2,21.4,24.6,21.2,1.5,0.0,C,
10-Ene-2013,-999,21.4,22.4,28.2,25.2,21.2,23.2,22.8,0.0,1.7,C,
11-Ene-2013,-999,20,22.2,26.2,23.2,22,23,22.6,1.2,0.0,NE,2.0
12-Ene-2013,-999,21.8,22.6,30,25,22.2,25,23.6,13.4,0.0,SE,2.0
13-Ene-2013,-999,20.8,22.4,31.2,25.2,22,25.6,23.6,0.0,0.0,NE,4.0
14-Ene-2013,-999,22.2,22.8,25,23,22.4,22.6,21.2,0.0,14.2,C,
15-Ene-2013,-999,21,22.4,29.2,23.2,21.8,25.4,22.0,0.0,0.0,C,
16-Ene-2013,-999,20.2,22.2,30.2,24.2,22,25,22.2,0.0,0.0,C,
17-Ene-2013,-999,21.8,23,25.4,23.2,22.4,22.6,22.2,0.0,9.2,C,
18-Ene-2013,-999,20,21,29.2,24.6,20.8,24.6,23.4,14.3,0.0,SE,2.0
19-Ene-2013,-999,19.8,22,29.8,26,21.6,24.6,23.4,0.0,0.0,NE,2.0
20-Ene-2013,-999,21.2,23,25.8,23.4,22.2,22.8,22.6,0.0,6.6,C,
21-Ene-2013,-999,22.2,22.6,29.2,25.2,22.4,24,23.4,3.4,0.0,C,
22-Ene-2013,-999,22,22.4,23.8,22.2,22.2,22.4,21.8,15.2,46.4,C,
23-Ene-2013,-999,20.4,20.6,28.2,22.8,20.4,23.2,21.6,14.6,0.0,C,
24-Ene-2013,-999,20.2,21.4,32,26.6,21.2,24.8,23.8,0.0,0.0,SE,2.0
25-Ene-2013,-999,20.8,22,31.4,22.2,21.8,25.4,21.4,0.0,1.2,SE,2.0
26-Ene-2013,-999,21.2,22.2,30.2,25.4,21.8,24.4,23.2,0.0,0.0,NE,4.0
27-Ene-2013,-999,20.4,21,32.8,26,20.8,25,24.2,0.0,0.0,NW,4.0
28-Ene-2013,-999,21.2,21.8,27,23.6,21.6,23.2,22.6,4.0,0.0,NW,2.0
29-Ene-2013,-999,21,22,29.2,25.2,21.6,25.4,23.2,0.0,0.0,C,
30-Ene-2013,-999,19,20.8,33,25.8,20.2,26,23.6,0.0,0.0,SE,4.0
31-Ene-2013,-999,20.4,22,32.8,26.6,21.2,25.6,24.0,0.0,0.0,NE,4.0
01-Feb-2013,-999,20.8,23.2,29.8,25,22.4,24,23.4,0.0,0.0,NE,2.0
02-Feb-2013,-999,21.2,23.4,32.6,25.2,22.6,25,22.8,0.0,0.0,NE,2.0
03-Feb-2013,-999,22.4,23.6,29.6,26.2,22.4,24.4,23.6,0.0,0.0,NE,2.0
04-Feb-2013,-999,22,22.4,23.8,22.8,22.2,22.4,21.6,2.5,24.2,C,
05-Feb-2013,-999,21.8,22.2,27.2,22.4,22,23.6,21.4,0.0,1.2,C,
06-Feb-2013,-999,21.2,21.8,30.8,25.2,21.6,25.4,23.8,0.5,0.0,NE,4.0
07-Feb-2013,-999,20,21.4,28.2,23.8,21,24.2,21.8,0.0,0.0,NE,4.0
08-Feb-2013,-999,22,22.4,28.8,23.2,22.2,24.2,22.4,0.0,0.0,C,
09-Feb-2013,26.2,22.2,22.8,23,22.2,22.6,22.8,21.0,2.0,13.5,C,
10-Feb-2013,30.6,21.2,21.4,30,25.6,21.2,24.8,23.4,1.2,0.0,SE,4.0
11-Feb-2013,29,22.2,23,28.2,23.4,22,24.4,22.0,0.0,0.0,NE,2.0
12-Feb-2013,30.4,21.4,22,31,24,21.2,24,22.2,0.0,0.0,NE,4.0
13-Feb-2013,33,22.6,23.8,32,26.2,21.6,25.6,23.8,0.0,0.0,NE,4.0
14-Feb-2013,32.4,22.4,23.4,30.4,25.4,21.4,25.2,23.4,0.0,0.0,NE,2.0
15-Feb-2013,29.2,19.8,21,25.4,23.4,20.4,23,22.4,0.0,7.0,C,
16-Feb-2013,29.6,19,20,28.4,22.6,19.4,23.6,21.4,0.0,0.0,NE,4.0
17-Feb-2013,32.8,19.6,21,31.8,23,20.2,24.8,22.2,0.0,2.0,NE,6.0
18-Feb-2013,31.4,19.8,21.8,29,25.2,21.2,24.2,21.8,0.0,0.0,NE,8.0
19-Feb-2013,32.4,21.4,22,30.8,22.4,21.4,24.8,21.0,0.0,14.2,NE,8.0
20-Feb-2013,31,21.2,22.2,29.6,22.8,21.2,24.6,21.6,0.0,0.0,NW,2.0
21-Feb-2013,32.6,19,22.4,30,26,21,25,23.2,0.0,0.0,C,
22-Feb-2013,31,22.2,22.6,30.8,24.6,21.6,25.2,23.2,0.0,0.0,NE,2.0
23-Feb-2013,28,21.8,22,27,22.2,21.6,24.4,21.0,7.7,2.0,C,
24-Feb-2013,32.2,19.8,21.2,31.4,26.4,21,25.2,23.4,0.0,1.7,NE,2.0
25-Feb-2013,33.2,20.4,22,28.6,24.8,21.4,24.8,23.6,0.0,0.0,NW,4.0
26-Feb-2013,29,21,22.4,24.6,24.2,21.6,22.6,23.0,0.0,5.3,C,
27-Feb-2013,32,21.8,22.2,29,25.4,21.8,25,23.0,0.0,0.0,NE,2.0
28-Feb-2013,31.2,21.4,22.6,30.6,24,21.6,25.2,23.0,0.0,8.5,NE,2.0
01-Mar-2013,31.4,21.6,22.4,29,25.8,22,24.6,24.0,0.0,4.7,NE,4.0
02-Mar-2013,31,20.4,22,28.8,25.2,21.4,25,23.6,2.0,0.0,NE,2.0
03-Mar-2013,30.6,22,22.6,25.4,24,22.2,23.6,23.0,2.7,13.0,C,
04-Mar-2013,28.8,21.8,22,24.6,24.2,21.6,22.6,22.8,1.5,2.0,C,
05-Mar-2013,30.6,20.2,21.4,29.8,24.4,21.2,24.8,23.2,6.8,0.0,SE,2.0
06-Mar-2013,33.4,21.2,22.6,33,26.8,22,26.6,24.2,0.0,0.0,NW,6.0
07-Mar-2013,32.4,20.8,22.4,32,26.2,22.2,25.8,23.6,0.0,0.0,NE,2.0
08-Mar-2013,27.8,22.2,22.2,26.4,23.8,21.4,23.2,22.0,0.0,0.0,NE,2.0
09-Mar-2013,33,20,21.4,31,27.2,21.2,25.2,24.2,0.0,0.0,C,
10-Mar-2013,33.2,21,23,31.2,27,22.4,25.6,24.2,0.0,0.0,NE,4.0
11-Mar-2013,30.6,22.2,22.6,29.6,25.6,22.4,24.2,23.8,6.7,0.0,C,
12-Mar-2013,34.4,21.8,22.8,33.8,27.2,21.2,25.4,24.6,0.0,0.0,NE,4.0
