Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Feb-2012,21.5,15,15.4,18.6,17.8,15,16.4,16.6,7.4,0.0,E,4.0
02-Feb-2012,20,14.5,15,17.6,16.2,14.6,15.6,15.8,22.6,2.5,S,8.0
03-Feb-2012,17,14.6,14.8,16.6,15.4,14.4,15.4,15.0,16.6,0.5,C,
04-Feb-2012,18,14.5,15.2,17.4,15.4,15,15.4,14.8,4.3,4.6,S,6.0
05-Feb-2012,18.5,14.8,15,17,15.2,14.8,16,14.8,4.4,3.9,SE,10.0
06-Feb-2012,19,14.5,14.8,17.6,15.4,14.6,15.2,14.8,0.0,3.2,C,
07-Feb-2012,20.5,14,14.4,20,16.2,14.2,16.8,15.4,1.2,6.3,C,
08-Feb-2012,20.5,14.4,14.8,19.4,16.4,14.2,16.8,15.6,0.3,0.0,SE,4.0
09-Feb-2012,22.8,14,14.6,22,16.6,14.4,17.4,16.2,0.8,0.0,SE,18.0
10-Feb-2012,23,14.5,15.4,22.6,18,15.2,17,16.2,5.0,0.0,SW,6.0
11-Feb-2012,21.4,14.5,15.2,20.6,17.8,14.8,16.8,16.0,7.0,0.0,C,
12-Feb-2012,23.2,14.5,14.4,23,16.8,13.6,17.4,15.0,0.2,2.5,C,
13-Feb-2012,24.4,14.4,17.6,20.2,18.8,14,17,14.6,0.0,0.0,N,10.0
14-Feb-2012,23.5,14,15.2,20.2,18.4,12.8,16.6,14.0,0.0,0.0,S,6.0
15-Feb-2012,25,13,15.2,24.2,18.8,11.2,17.6,16.0,0.0,0.0,SW,10.0
16-Feb-2012,23.5,13,14.4,22.2,17.4,11.2,16.2,13.6,0.0,0.4,S,6.0
17-Feb-2012,24.5,11,12,24,17.6,9.4,16,14.6,0.0,0.0,E,20.0
18-Feb-2012,25,12,14,24.6,18.4,11.6,16.6,13.4,0.0,0.0,SE,14.0
19-Feb-2012,22.5,13,14.4,22,14.8,11.4,15.6,14.2,0.0,7.2,C,
20-Feb-2012,21.2,13,14.4,19.6,17,13.2,15.6,14.0,0.1,0.6,C,
21-Feb-2012,23.5,12.5,13.6,22.6,16.8,11.6,16.4,15.0,0.0,0.0,SE,6.0
