Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2014,13.2,6.4,7.4,11.6,7.8,6.2,10.2,7.0,2.9,0.6,NW,4.0
02-Ene-2014,13.8,4.8,5.8,13,8.4,4.6,12.2,7.6,0.0,0.7,NW,2.0
03-Ene-2014,13.4,5.2,6.4,12.6,8,5,11.8,7.2,0.0,2.4,NE,4.0
04-Ene-2014,11.8,6.2,7.4,11.2,6.8,6.2,10.4,6.0,6.2,12.6,NW,4.0
05-Ene-2014,12,6,7,11.4,8.2,6.2,10.6,7.0,0.4,0.0,NW,4.0
06-Ene-2014,13.2,6.6,7.4,12.6,7.8,6.8,11.4,7.0,4.2,3.3,NW,6.0
07-Ene-2014,11.2,6.2,7.4,9.8,7.8,6.4,9,7.2,5.9,1.2,NW,4.0
08-Ene-2014,14.4,5,6.6,12.4,9.2,5,11.2,8.4,0.0,1.2,NW,4.0
09-Ene-2014,13.6,6.6,7.6,11.8,8.8,6.8,10.6,8.0,0.4,7.9,NW,2.0
10-Ene-2014,11.8,6,7,11.4,7.8,6.4,10.6,7.0,1.5,3.0,NW,4.0
11-Ene-2014,16.6,3.8,5.2,15.6,10.6,3.8,14,9.8,0.0,0.0,NE,6.0
12-Ene-2014,11,7,7.8,10.6,7.4,7,9.8,6.2,0.0,0.3,NW,2.0
13-Ene-2014,12.2,5,5.8,11.6,7.4,5,10.4,6.6,0.0,0.0,NW,2.0
14-Ene-2014,14.6,5.4,6.6,13.6,8.8,6.6,13.6,8.8,0.0,0.4,NW,4.0
15-Ene-2014,14.7,6.2,7.4,13.4,9,6,11.6,8.2,3.9,7.4,NW,4.0
16-Ene-2014,11.4,6.2,7.4,10.8,7.4,6.2,9.6,6.6,4.0,5.9,NW,2.0
17-Ene-2014,11.8,6,7.2,10.4,7.8,6,9.2,7.0,3.7,0.2,NW,4.0
18-Ene-2014,12.2,7,7.8,11.8,7.2,7,10.4,6.4,2.6,0.4,NW,2.0
19-Ene-2014,14,7.4,8.6,12.8,9.8,7.4,11.6,8.8,3.7,0.2,NW,4.0
20-Ene-2014,15.8,6.8,7.8,14.2,10,6.6,13,9.2,3.1,0.0,NE,4.0
21-Ene-2014,13.6,6,7.4,12.8,8.2,6,11.6,7.4,0.0,0.7,NW,4.0
22-Ene-2014,13.2,6.2,7.2,12.6,7.8,6,11.8,7.0,0.0,2.3,NE,4.0
23-Ene-2014,11.4,6,7,11,6.6,6,10.2,6.0,0.9,0.7,NW,4.0
24-Ene-2014,13.6,5.8,7,13,7.8,5.8,12.2,7.0,0.7,0.7,NE,6.0
25-Ene-2014,14.2,6.2,7.4,13.4,8.2,6.2,11.8,7.4,0.0,0.0,NW,4.0
26-Ene-2014,10,6.8,8,9.8,6.6,7,8.4,6.0,0.0,6.5,NW,2.0
27-Ene-2014,10.2,6.6,7.8,9.8,6.8,6.4,8.6,6.0,0.4,6.1,NW,4.0
28-Ene-2014,13.4,6.2,7.4,12.8,7.8,6,11.4,7.0,2.9,1.8,NW,2.0
29-Ene-2014,13.2,6.4,7.6,12.6,8.4,6.4,10.8,7.2,1.1,2.9,NE,2.0
30-Ene-2014,11,6.6,7.8,10.6,7,6.6,9.8,6.2,0.0,1.1,NW,2.0
31-Ene-2014,11.2,6,7.4,11,6.8,6.2,10.2,6.0,0.0,3.7,NW,2.0
01-Feb-2014,10.8,6.6,7.8,10.2,7.2,6.6,9,6.4,0.0,5.7,NW,
02-Feb-2014,13.6,6.8,7.8,12.4,7.8,6.8,11,7.0,0.7,0.5,NW,
03-Feb-2014,14.6,4.6,6,13.8,8.4,4.8,12,7.6,0.0,0.0,NW,
04-Feb-2014,13.4,4.8,6,11.6,8,4.8,10.8,7.2,0.0,0.0,NW,
05-Feb-2014,14.2,4.2,5.4,13.6,8.2,4,11.8,7.4,0.0,0.5,NW,
06-Feb-2014,12.8,6.4,7.8,11,7.8,6.2,10.2,7.0,0.4,7.8,NW,
07-Feb-2014,12.6,6.8,8,11.4,7.6,6.8,9.8,7.0,1.0,3.6,NW,
08-Feb-2014,12,3.6,4.8,10.8,7.8,3.4,9.6,7.0,1.3,0.9,NW,
09-Feb-2014,14.4,6.4,7.2,13.6,8.8,6.4,11.8,8.0,1.2,0.5,NE,
10-Feb-2014,11.4,6.6,7.8,11,6.8,6.6,10.2,6.0,0.0,7.2,NW,
11-Feb-2014,11.6,6.2,7.4,11,6.8,6,10.2,6.0,0.0,3.1,NW,
12-Feb-2014,12,5.2,6.4,11,7.8,5.2,10.2,7.0,0.0,0.4,NW,
13-Feb-2014,11.8,5.4,6.6,11,6.8,5.4,9.8,6.0,0.0,4.2,NW,
14-Feb-2014,9.8,6.8,7.6,9.6,6.2,6.6,9,5.6,3.4,16.0,NW,
15-Feb-2014,12.4,6.2,7,12,7.6,6.2,10.8,6.4,0.6,0.5,NW,
16-Feb-2014,13.4,5.2,6.4,12.2,7.8,5.2,10.6,7.0,0.0,1.1,NW,
17-Feb-2014,13,6.2,7.6,12,8,6.4,10.8,7.2,2.4,1.1,N,
18-Feb-2014,13,7.2,8.4,12.2,7.8,7.2,10,7.0,1.7,0.0,NW,
19-Feb-2014,15.6,7.4,8.8,14.2,10,7.2,12.6,9.2,0.4,0.0,NW,
20-Feb-2014,11.6,6.6,7.8,10.8,7.2,6.6,9.8,6.4,6.4,0.0,NW,
21-Feb-2014,13.4,5.8,7,12,8,6,10.8,7.2,0.0,0.5,NW,
22-Feb-2014,12,7.2,8.4,11,7.8,7.2,9.8,7.0,0.0,2.8,NW,
23-Feb-2014,13.8,5,6.4,12.2,8.8,5.2,10.8,8.0,0.4,0.0,NE,
24-Feb-2014,15.8,6.8,8.2,13.8,10.2,6.6,12,9.4,2.6,0.0,NE,
25-Feb-2014,16.4,5.8,6.8,14.6,10.8,5.8,12.8,9.8,0.0,0.0,NE,
26-Feb-2014,13.2,6.2,7.4,11.8,8,6,10.2,7.2,0.0,7.3,NW,
27-Feb-2014,13.2,3.8,5,12.8,7.8,3.6,11.8,7.0,0.0,1.1,NE,
28-Feb-2014,15.8,4.2,5,13.8,10.2,4.2,12,9.2,0.0,0.0,NE,
01-Mar-2014,17.2,4.6,5.8,15.4,10.2,4.6,13.6,9.4,0.0,0.0,NW,4.0
02-Mar-2014,16.8,6.2,7.6,15,9.8,6.4,13.2,9.0,0.0,0.0,NE,2.0
03-Mar-2014,11,5.4,6.6,10,7.2,5.6,9.2,6.4,0.0,0.7,NW,2.0
04-Mar-2014,12.4,5.2,6.4,11.6,7.8,5.2,10,7.0,0.0,0.1,NW,4.0
05-Mar-2014,12,7,8.4,11,7.8,7,10.2,6.6,0.6,0.9,NW,4.0
06-Mar-2014,15.4,7.4,8.6,13.8,10,7.4,12,9.2,3.2,0.3,NE,2.0
07-Mar-2014,14,6,7.4,12.8,8.8,6,10.6,8.0,0.0,0.9,NW,4.0
08-Mar-2014,14.6,7,8.4,13,9,7.2,11.6,8.2,2.5,0.0,NW,4.0
09-Mar-2014,16,4.6,6,14.4,9.8,4.6,12.8,9.0,0.0,0.0,NE,4.0
10-Mar-2014,16.6,6.2,7.4,14.8,9.6,6.2,12.6,8.8,0.0,0.0,NE,4.0
11-Mar-2014,15.4,6,7.4,13.6,9.2,6.2,11.8,8.4,0.0,0.0,NE,8.0
12-Mar-2014,10.6,7.2,8.6,10,7.2,7.2,9.2,6.4,3.3,0.8,NW,2.0
13-Mar-2014,14.8,6.6,7.8,13,9,6.6,11.6,8.2,0.0,0.2,NW,2.0
14-Mar-2014,15,6.4,7.8,13.2,9.8,6.6,11.4,9.0,10.2,0.0,NE,4.0
15-Mar-2014,13,7,8.8,12,8,7.2,10.6,7.0,0.0,3.5,NW,2.0
16-Mar-2014,14.4,4,6.6,13.2,9,4.2,11.4,8.2,0.0,0.0,NE,4.0
17-Mar-2014,14.6,5.8,7,12.8,8.8,6,11,8.0,2.1,0.1,NW,4.0
18-Mar-2014,12.6,5.8,7,11,7.4,5.8,10.2,6.6,9.2,5.2,NW,2.0
19-Mar-2014,12.6,6.4,7.8,11,7.8,6.6,9.8,7.0,0.0,1.9,NW,2.0
20-Mar-2014,12.8,6.6,7.8,10.8,7.6,6.6,9.8,6.8,4.2,1.0,NE,2.0
21-Mar-2014,13,5.8,7,11.2,8.8,6,10,8.0,0.0,0.0,NW,4.0
22-Mar-2014,12,7.8,8.6,10.6,7.6,7.8,9.4,6.8,2.6,7.7,NW,2.0
23-Mar-2014,12.8,6.6,7.8,11.8,8,6.6,10,7.2,0.4,1.3,NW,2.0
24-Mar-2014,16,5.2,6.8,14.4,9.8,5.2,12.6,9.0,0.0,0.0,NE,6.0
25-Mar-2014,15.4,5,6.6,13.8,9.4,5.2,11.6,8.6,0.0,0.0,NE,4.0
26-Mar-2014,12.6,7.2,8.6,11.8,7.8,7.2,10,7.0,0.6,1.6,NE,2.0
27-Mar-2014,11.6,6.2,7.4,10.8,7.2,6,9.6,6.0,0.3,0.6,NW,2.0
28-Mar-2014,11.6,6.8,8,11,7.6,7.6,10.2,6.8,5.5,5.1,NW,2.0
29-Mar-2014,14.2,4.6,5.8,13.2,8.8,4.8,11.6,8.0,0.0,0.0,NE,4.0
30-Mar-2014,14.4,4.4,5.8,12.8,8.8,4.6,10.6,8.0,0.0,0.0,NE,4.0
