Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
29-Ene-2014,23,9,9.2,22.2,14.8,7.8,17.2,12.4,0.0,0.0,N,4.4
30-Ene-2014,16,10,10.6,15.6,11.6,1.02,13.6,11.0,0.0,0.0,N,2.5
31-Ene-2014,17.5,10.5,11.2,15.2,12.8,10,13.8,12.2,0.0,0.0,W,1.1
01-Feb-2014,23.5,10.5,11,22.8,13,10.4,18,11.4,0.0,0.0,E,4.9
02-Feb-2014,24.2,10.8,11.8,23,16,11,17,14.0,0.0,0.0,N,4.4
03-Feb-2014,25,11,13,24,15.6,11.8,18.4,12.6,0.0,0.0,E,4.4
04-Feb-2014,21.5,10,10,20.2,11.8,8,16.2,11.2,0.0,0.0,E,4.4
05-Feb-2014,22,8,8.2,21.6,11.2,7.4,17.2,10.6,0.0,5.5,N,4.4
06-Feb-2014,21.5,10,10.8,20.2,13,10.2,16,12.0,9.5,0.0,W,4.4
07-Feb-2014,21,10.5,11.4,20.2,12.6,10.8,15.8,11.8,0.0,0.0,N,4.4
08-Feb-2014,23,10.8,11,21.6,13.4,10.8,17.2,12.2,0.0,0.0,N,4.4
09-Feb-2014,24.2,10.5,11,23.6,15.2,10.2,19.8,13.6,0.0,0.0,N,4.4
10-Feb-2014,24.5,11.2,12,24,16,11,19.2,13.0,0.0,0.0,N,4.4
11-Feb-2014,24,11,12.2,22.4,14.2,11.8,16.4,12.6,0.0,0.0,N,4.4
12-Feb-2014,21.5,11,12.8,19.6,13.6,11.6,16,13.0,0.0,3.4,E,4.4
13-Feb-2014,23.5,10,10.6,20.2,15,9.6,16.8,14.0,0.0,0.0,N,4.4
14-Feb-2014,23.5,9.5,10.2,22.6,14.8,9.6,18,12.6,0.0,0.0,N,4.4
