Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2014,19.2,13.6,15,19,15.4,14.2,16,14.6,0.0,4.5,NE,2.0
02-Ene-2014,21.4,14.2,16,19,15.6,15.2,17.2,14.2,0.0,0.0,C,
03-Ene-2014,19.2,14.8,15.4,18.8,16,15,16.8,15.0,4.9,2.0,C,
04-Ene-2014,19.4,14.4,14.8,17.4,15,14.6,16.2,14.8,7.4,19.8,C,
05-Ene-2014,19.6,14.4,14.8,19,16.2,14.6,16.8,15.4,0.8,2.7,NE,4.0
06-Ene-2014,19.6,14.6,15,16,15.8,14.8,15.6,15.4,18.5,20.6,C,
07-Ene-2014,20.4,13.8,14.4,19.2,15.6,14.2,16.4,14.6,0.4,20.7,C,
08-Ene-2014,20.2,14,14.6,19.6,16.4,14.4,17.6,15.6,3.0,0.8,C,
09-Ene-2014,20.4,14.2,15,16.6,15.2,14.6,15.4,14.8,0.0,9.5,C,
10-Ene-2014,18.4,14.2,14.6,18,15.4,14.4,16,14.6,1.0,6.7,C,
11-Ene-2014,18.6,12.8,13.2,18.4,15.8,12.8,15.8,14.6,4.9,0.0,C,
12-Ene-2014,17.2,13.5,14,16.2,14.2,13.6,14.2,13.8,0.0,1.8,C,
13-Ene-2014,19,12.6,15.6,18.6,16.2,13.4,16.8,15.4,0.0,0.0,C,
14-Ene-2014,21.4,14,14.6,21,16.8,14.2,17,15.6,1.1,0.0,C,
15-Ene-2014,21.2,14.2,15,20,16,14.8,17,15.6,1.4,0.0,NE,8.0
16-Ene-2014,21,14,15.4,20.4,16.6,14.6,17.6,15.0,0.0,16.9,C,
17-Ene-2014,17.8,14.2,14.8,17,15.4,14.4,15.8,14.4,8.1,1.2,C,
18-Ene-2014,18.4,14,14.8,18,16.2,14.2,16,15.6,5.6,8.6,NE,8.0
19-Ene-2014,20.2,14.2,15.6,18.6,16.6,15,16.2,15.6,11.5,0.0,NE,4.0
20-Ene-2014,20.4,14.2,15.2,19.4,16.8,14.6,16.6,16.2,0.0,3.4,NE,2.0
21-Ene-2014,20.8,14.4,15,19,15.8,14.6,16.6,14.8,0.0,0.0,C,
22-Ene-2014,23.8,15,15.4,21,17.8,15.2,17.8,16.8,0.0,3.4,C,
23-Ene-2014,19.8,14.8,15.2,19.6,16.8,15,16.4,16.2,0.0,2.3,SW,6.0
24-Ene-2014,23.2,14.5,15,19,18.4,14.2,17.6,17.2,0.0,6.8,C,
25-Ene-2014,23.8,13.6,14,21.4,19,13.6,18.6,17.6,0.0,0.0,SW,2.0
26-Ene-2014,23,14.5,15.8,22.6,17.6,15.2,17.8,15.8,0.0,0.0,C,
