Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,15,5.2,6.4,14.6,9.6,5.4,12.2,9.0,0.0,0.0,NE,6.0
02-Ene-2017,13.6,4.2,7.8,11.2,6.4,4.6,10,5.8,0.0,1.6,NE,4.0
03-Ene-2017,12,5.2,7,11,8,5.8,10.2,7.2,0.0,2.4,NE,4.0
04-Ene-2017,14.4,4.2,6.2,13.6,8.8,5,11.4,8.0,0.0,1.2,NE,4.0
05-Ene-2017,13.8,5,7,12,8.6,5.2,10.2,7.8,0.0,3.0,SW,8.0
06-Ene-2017,12.2,6,7.6,11,8.8,6.4,10.2,8.0,2.4,2.8,NW,2.0
07-Ene-2017,13.2,6.2,8,11.2,9.2,6.8,9.6,8.4,6.3,0.0,NE,4.0
08-Ene-2017,10.2,5.8,8,9.2,8.6,6.8,8.4,8.0,1.9,2.2,NW,4.0
09-Ene-2017,12.2,5.6,7.8,11,8,6.6,10.2,7.2,0.0,0.0,NE,4.0
10-Ene-2017,14.4,4.8,5.4,12.2,8.8,4.6,10.4,8.0,0.0,0.7,NE,4.0
11-Ene-2017,11,5,5.4,9.4,8,4.6,8.2,7.0,0.0,0.0,NE,2.0
12-Ene-2017,12.8,5.2,6.8,12,8.2,5.4,10.2,7.4,0.4,2.2,NW,2.0
13-Ene-2017,13.4,6.2,7,12.8,8.2,6.2,10.6,7.0,3.3,3.5,NW,2.0
14-Ene-2017,11,5.4,7,9.8,7.8,5.8,9,7.0,3.6,8.7,NW,2.0
15-Ene-2017,14.4,5,7.8,13,9,6.6,11.4,8.2,2.7,0.4,NW,2.0
16-Ene-2017,13.4,5.8,7.2,13,8,6,11.6,7.2,0.0,1.5,NE,4.0
17-Ene-2017,12.8,5,6.2,10.2,8,5.2,9,7.0,0.0,3.5,NW,4.0
18-Ene-2017,13.8,5.4,7.8,11.8,8.2,6,10.2,7.4,0.0,5.3,NE,4.0
19-Ene-2017,11.8,6,7.4,10.8,7.6,6.2,9.8,7.0,0.0,0.0,NE,6.0
20-Ene-2017,12.6,3.8,5.8,11.4,9.8,4.8,10.6,9.0,0.0,0.0,NE,2.0
21-Ene-2017,12.8,5,7,12,8,5.6,10.8,7.2,0.0,0.0,NE,2.0
22-Ene-2017,10.2,5.8,6.8,8.6,8.4,5.6,7.6,7.0,0.8,8.0,NE,2.0
23-Ene-2017,14.6,3.6,5,13,9,3.8,11.6,8.2,0.0,0.0,NE,8.0
24-Ene-2017,12.4,5,7.8,11,7.8,6.2,10.2,7.0,0.0,3.0,NE,4.0
25-Ene-2017,10.8,4.8,5.8,9.6,7.8,4.6,9,7.2,6.9,2.5,NW,2.0
26-Ene-2017,10,5.4,6.6,8,6.8,5.6,7,6.0,3.3,1.5,NW,2.0
27-Ene-2017,12,4.2,5,11.4,7.8,4,10.2,7.0,2.9,0.0,NE,2.0
28-Ene-2017,13,4.6,8,10,7.8,6.4,9.2,7.0,0.0,0.4,NE,2.0
29-Ene-2017,14.6,4,6,14,9,5.4,12.8,8.2,0.4,0.0,NE,4.0
30-Ene-2017,15.6,3.2,7.8,14,8.2,5.8,12.8,7.0,0.0,0.0,NE,4.0
31-Ene-2017,15.8,2.6,4,13.8,8.8,3,12,8.0,0.0,0.0,NE,4.0
01-Feb-2017,16,3.8,5.6,14.4,8.4,4.2,12.6,7.2,0.0,0.0,NE,8.0
02-Feb-2017,14.8,4.6,5.6,12.4,7.8,4.6,10.8,7.0,0.0,0.0,NE,6.0
03-Feb-2017,15,3.6,5,13.6,9.2,3.8,11.4,8.4,0.0,0.0,NE,6.0
04-Feb-2017,15.8,4,5.8,13.6,8,4.4,11.4,7.2,0.0,0.0,NE,6.0
05-Feb-2017,13.6,4.6,7.4,12,7.6,5.4,10.2,6.8,0.0,0.9,NE,4.0
06-Feb-2017,14.6,5.2,7.4,12.2,9.2,5.8,10.6,8.4,0.0,0.9,NE,4.0
07-Feb-2017,14.6,6.6,7.8,11.6,10,6.6,10.2,9.4,1.6,0.0,NE,4.0
08-Feb-2017,15.8,6.6,8,15.2,10.8,7.6,13.4,9.8,0.0,0.0,NE,6.0
09-Feb-2017,16.4,6.2,8,16,9,6.8,14.4,8.2,0.2,0.0,NE,6.0
10-Feb-2017,17.4,6,8.8,16,7.6,7.4,14.6,6.8,0.0,0.0,NE,8.0
