Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Feb-2017,18.2,12.5,12.6,15,13.5,12.6,14.8,13.4,,2.2,C,
02-Feb-2017,18,12.2,12.3,16.6,13.3,12.2,15.3,13.3,1.4,0.5,SW,3.0
03-Feb-2017,17.7,11.4,11.5,16.8,13.6,11.2,16.1,13.5,0.1,-888.0,SW,3.5
04-Feb-2017,19.2,11.2,12.1,18.5,14.8,11,15.8,14.4,0.0,0.0,S,3.8
05-Feb-2017,20,12.2,12.3,19.9,14.6,12.1,17,14.2,-888.0,1.5,S,2.0
06-Feb-2017,20,12.1,12.8,16.9,15,12.2,15.8,14.9,0.1,1.4,S,2.0
07-Feb-2017,19.8,12.4,12.7,17.5,14.2,12.2,16.6,13.8,0.1,0.6,S,2.0
08-Feb-2017,19.2,13,13.2,15.8,14.2,12.6,15.2,13.2,0.5,0.1,S,2.0
09-Feb-2017,18.6,12.6,13,17.2,14.4,12.2,16.2,13.6,0.0,0.1,S,1.0
10-Feb-2017,17.5,12.9,13.3,13.4,11.4,13,13.4,11.4,0.4,5.8,C,
11-Feb-2017,15,11,11,11.6,11.2,11,11.4,11.2,3.0,2.0,C,
12-Feb-2017,14.2,10.2,10.2,12.2,11.4,10.2,12.1,11.4,0.2,0.5,C,
13-Feb-2017,19.5,10.8,10.8,13.4,12,10.8,13,12.0,0.8,-888.0,S,1.5
14-Feb-2017,14.6,10.6,11,11.4,10,10.8,11.4,10.0,1.4,3.5,C,
15-Feb-2017,15.6,10.5,11.4,13.1,10.2,11.2,13,10.2,0.6,1.7,S,1.0
16-Feb-2017,17.3,10.6,11.6,14.4,11.8,11.4,14,11.8,-888.0,0.7,C,
17-Feb-2017,14.5,11,11.4,12.6,12,11.2,12.4,11.8,0.4,5.5,C,
18-Feb-2017,15.6,10.6,11.2,12.7,11.6,11,12.5,11.6,0.1,1.1,C,
19-Feb-2017,20.5,10.5,10.7,16.2,12.4,10.4,14.8,12.4,0.1,-888.0,S,1.0
20-Feb-2017,19,11,11.2,18.3,13,10.6,16.2,12.8,-888.0,0.0,S,3.0
21-Feb-2017,17.5,10.5,12.2,15.2,13.2,11.6,14.2,12.4,-888.0,0.4,S,3.0
22-Feb-2017,17.6,10.5,11,15.3,10.8,10.2,14.4,10.8,0.1,4.2,S,2.5
23-Feb-2017,16.5,10.8,11.4,15.3,12.2,11,14.6,12.0,8.2,-888.0,S,1.0
24-Feb-2017,17.2,11.5,11.8,16.1,13,11.6,15.4,13.0,0.2,1.0,S,1.0
25-Feb-2017,17.5,12,12.2,15.3,11.8,12.1,14.6,11.8,0.2,2.5,S,1.0
26-Feb-2017,16.5,11.2,11.4,12.8,11,11.4,12.6,11.0,1.5,6.8,W,1.0
27-Feb-2017,16,10.5,10.6,15.2,11.4,10.4,13.4,11.4,2.0,1.5,S,1.5
28-Feb-2017,18,11,11.2,16.4,13,10.8,15.2,13.0,0.1,4.0,S,3.0
01-Mar-2017,17.5,11.8,11.8,15,13.4,11.8,14.6,13.0,1.5,7.2,S,1.0
02-Mar-2017,16.9,12,12,16.5,12.9,11.9,15.6,12.9,6.4,2.3,S,3.1
03-Mar-2017,15,12.2,12.3,13.6,12.2,12,13.4,12.1,-888.0,8.8,C,
04-Mar-2017,17,11.8,11.9,16.2,12.7,11.8,15.5,12.5,1.8,5.3,S,3.0
05-Mar-2017,17.6,12.1,12.9,15,13.3,12.5,14.6,13.2,6.8,3.5,S,2.5
06-Mar-2017,18.6,13.3,13.8,18.2,14.7,12.9,17,14.4,0.4,0.0,S,1.2
07-Mar-2017,19,12.6,12.8,18.6,14.4,12.4,16.7,14.4,0.0,0.0,S,3.8
08-Mar-2017,18.9,13.6,13.8,18.4,13.6,13.3,17.2,13.5,0.0,0.0,S,2.8
09-Mar-2017,18.8,12.8,12.9,16.3,12.9,12.8,15.9,12.9,-888.0,-888.0,S,3.0
10-Mar-2017,17,12,12.2,15.5,13.4,12,15,13.0,0.5,4.4,S,1.8
11-Mar-2017,19,11.5,11.6,18.8,14,11.2,16.4,13.8,0.2,4.0,SW,3.0
12-Mar-2017,18.4,12,12.4,17,13.7,12,16.5,13.6,0.7,6.7,SW,3.0
13-Mar-2017,18.5,13.2,13.3,15.4,13,13.2,15.2,13.0,0.8,7.9,SW,3.2
14-Mar-2017,14.4,12.3,12.6,13.4,12.2,12.6,13.3,12.2,3.0,16.0,C,
15-Mar-2017,15.4,11.3,11.5,13.6,12.2,11.5,13.5,12.0,16.2,7.9,S,3.0
16-Mar-2017,15,11.3,11.8,14.4,12.4,11,14.1,12.4,5.2,12.3,SE,1.2
17-Mar-2017,17.5,10.7,11.6,15,12.8,11.2,15,12.8,-888.0,0.5,S,2.0
18-Mar-2017,17.8,10.9,11,14.6,12.4,10.4,14,12.4,0.7,2.5,S,2.0
19-Mar-2017,17.2,11,11.2,13.8,12.4,11.2,13.4,12.4,1.7,1.6,S,1.0
20-Mar-2017,15,12.2,12.2,13.3,12.6,12.2,13.2,12.6,1.4,3.5,S,1.0
21-Mar-2017,18,12.5,12.6,15.2,15,12.6,15,14.6,0.9,0.9,C,
22-Mar-2017,17.6,13,13.4,16.4,13.8,13.2,15.2,13.6,-888.0,0.0,S,2.0
23-Mar-2017,17.5,11.8,12.2,13.5,12.8,11.4,13.2,12.8,0.6,1.7,C,
24-Mar-2017,18,11.5,11.8,15.7,13,11.2,14.8,13.0,0.5,0.5,S,2.0
25-Mar-2017,18.5,12.5,13,15.8,13,12.4,14.8,13.0,1.0,-888.0,S,1.5
26-Mar-2017,18.2,12,12.6,16,12.6,10.8,15.4,12.6,-888.0,-888.0,S,2.0
27-Mar-2017,17.5,10.3,10.5,15.2,13.4,10.4,14.6,13.2,-888.0,-888.0,S,2.5
28-Mar-2017,18,12,12.4,13.8,12.8,12.4,13.6,12.8,0.3,1.5,S,1.5
29-Mar-2017,18.5,11.7,12.5,15.8,14.4,10.8,15.4,14.4,0.1,0.0,S,1.5
30-Mar-2017,18.5,11,11.2,16.6,13.8,10.4,15.4,13.4,0.1,0.0,S,2.5
31-Mar-2017,18.5,12.2,12.4,17.6,11.8,10.2,15.2,11.4,-888.0,4.0,S,2.0
01-Ene-2018,19.5,11,11.6,15.6,11.8,11.6,13.6,11.0,0.0,-888.0,S,2.5
02-Ene-2018,19,11,12,15.6,12.2,10.2,13.4,12.0,0.0,0.0,S,2.5
03-Ene-2018,20.5,12,14,19.4,13.8,10.2,14.2,11.4,0.0,0.0,S,2.5
04-Ene-2018,20.5,12.5,14,19.2,14,9.6,14.8,11.6,0.0,0.0,S,2.5
05-Ene-2018,20,12,13.2,15.8,12.8,11.2,13.6,10.0,0.0,-888.0,S,2.5
06-Ene-2018,20,11,11,13,11.6,9.8,12,11.6,0.0,-888.0,E,2.5
07-Ene-2018,20.5,10.5,10.8,16.2,12.8,10.6,13.6,11.6,-888.0,0.0,S,2.5
08-Ene-2018,20.5,11.5,12,14.6,12,10.4,13.4,12.6,0.0,2.8,SW,2.0
09-Ene-2018,19,10.5,10.8,17.7,11.4,10.3,15.5,11.4,1.4,0.8,SW,3.0
10-Ene-2018,14.5,11,11.4,13.6,11.8,11.4,13.2,11.8,0.1,-888.0,S,2.0
11-Ene-2018,22.5,10.4,11.4,15.6,12.4,10.8,13.9,12.2,0.1,0.3,SW,3.0
12-Ene-2018,21,12,12.5,16.5,13.4,11,14.8,12.6,0.0,-888.0,SW,3.8
13-Ene-2018,19.5,10.8,11,18.8,13.2,10.2,15.6,12.2,0.0,0.0,S,3.0
14-Ene-2018,20.5,11,11.2,16.8,11,10,14.4,11.0,0.0,0.5,S,2.5
15-Ene-2018,21,9.3,9.4,15.9,11.2,9.4,14.2,11.2,0.8,0.2,SW,3.5
16-Ene-2018,18.5,9,9.3,16.7,12.6,9.2,14.4,12.4,0.0,0.0,S,2.8
17-Ene-2018,18,10.5,10.6,14.9,11.6,10,13.6,11.6,0.0,2.6,SW,3.0
18-Ene-2018,17.5,11.4,11.5,13.6,13.8,11.2,13.5,12.6,0.9,9.4,SW,2.2
19-Ene-2018,17.6,11.2,11.2,15.4,13.6,11.2,14.2,12.6,0.3,-888.0,SW,1.9
20-Ene-2018,15.5,12,12.2,15.2,13.4,11.8,14,12.6,0.7,-888.0,SW,2.0
21-Ene-2018,19.5,11.5,13.8,18.6,14.8,12.6,16,11.7,0.0,-888.0,SW,2.0
22-Ene-2018,20,12.5,13.2,16.1,13.4,11.9,14.6,12.6,0.0,4.0,S,1.0
23-Ene-2018,19,12.6,13.5,16.7,13.3,12,15,13.2,0.2,0.9,S,2.8
24-Ene-2018,18.5,12.2,12.4,16.9,13.4,11.8,15.4,12.8,0.2,0.0,S,3.8
25-Ene-2018,19.8,12,12.3,16.8,14.6,10.4,15.2,13.4,0.0,-888.0,W,2.0
26-Ene-2018,21,13.5,14.6,18.5,13.6,11.8,17.2,12.2,0.0,-888.0,S,2.5
27-Ene-2018,21.5,13.5,14.6,18.5,13.6,11.8,17.2,12.2,0.0,0.0,S,2.0
28-Ene-2018,21.2,13,14.4,20.1,15.2,12.2,18.8,14.2,0.0,0.0,S,2.0
29-Ene-2018,22,11.8,14.2,19.9,15,11.2,18.2,14.6,-888.0,0.0,S,2.0
30-Ene-2018,19.5,10.9,11,18.4,14.6,10.8,16.6,14.0,-888.0,0.0,SW,4.5
31-Ene-2018,20.5,11.4,11.6,19.2,14.2,10.2,16.8,13.8,0.0,0.0,S,2.0
01-Feb-2018,20,13.4,14.3,19,14.9,12.8,16.8,13.4,0.0,0.0,S,2.0
02-Feb-2018,20.8,13.2,13.8,20.2,14.9,12.4,16.8,14.2,0.0,-888.0,S,3.5
03-Feb-2018,19,12.4,12.6,18,14.4,12,16.5,13.6,0.0,0.0,SW,3.0
04-Feb-2018,19.6,13.8,14.2,18.2,12.7,10.2,16.6,12.5,0.0,0.0,S,3.8
05-Feb-2018,20,12.3,12.8,17.3,14.4,11.7,16,13.6,0.0,0.0,S,3.0
06-Feb-2018,19.3,11.2,12.2,17.3,12.4,11.6,15.8,12.2,0.5,0.1,SW,5.0
07-Feb-2018,19.5,11.2,13.4,18,13.9,12.2,15.8,12.6,-888.0,0.0,SW,3.0
08-Feb-2018,20,12,13.8,18.8,13.2,12.2,16.2,13.0,0.0,0.0,S,2.5
09-Feb-2018,21.5,11.5,12.9,20.5,14.2,11.6,17.2,13.6,0.0,0.0,S,3.0
10-Feb-2018,19,10.6,11.1,16.4,13,10,15.2,12.4,-888.0,0.0,S,1.5
11-Feb-2018,21.5,12.1,12.3,18.5,16.3,12.2,16.8,15.2,-888.0,0.0,S,1.0
12-Feb-2018,19.2,11.3,12.8,17.6,13.4,11.6,16.2,13.0,0.0,0.0,S,2.5
13-Feb-2018,18.5,11.9,12.1,17.9,13,12,14.8,12.8,-888.0,-888.0,S,2.5
14-Feb-2018,18.5,11.5,12.6,14.4,13.2,12.6,13.6,13.2,-888.0,-888.0,S,2.5
15-Feb-2018,17,11.5,12.6,15.2,13.2,12.6,14.4,13.2,-888.0,2.6,S,1.0
16-Feb-2018,16,11.6,12,13.7,12.3,12,12.8,12.2,4.5,3.0,S,2.0
17-Feb-2018,17,12,12.3,15.8,13.8,12.3,15,13.8,0.8,0.0,S,2.0
18-Feb-2018,17.5,12.5,12.6,13.2,12.4,12.6,13.1,12.4,0.1,1.4,S,1.0
19-Feb-2018,15,11.5,11.8,12.9,12,11.8,12.8,12.0,0.2,0.1,C,
20-Feb-2018,17.5,10.3,10.8,13.8,12.4,10.4,13.4,12.4,0.1,3.0,S,1.0
21-Feb-2018,18.5,10.4,11.3,17.4,13,11.3,14.2,12.6,0.1,0.2,S,2.5
22-Feb-2018,19,11,12.8,17.8,12.9,9.6,15.4,12.4,0.1,0.0,S,3.0
23-Feb-2018,18.8,11,11.8,17.4,13.2,10.2,14.6,12.4,0.0,0.0,S,3.0
24-Feb-2018,18.5,10.2,10.6,16.9,12.2,9,14.2,11.8,0.0,0.0,S,4.0
25-Feb-2018,,9,10.8,14.9,11.7,8.6,13.2,11.6,0.0,3.2,S,2.0
26-Feb-2018,16.5,11,11.6,13.8,11.2,10.8,12.8,11.2,0.2,4.4,S,1.5
27-Feb-2018,16.5,10,11.2,11.6,10.2,10.2,11.4,9.8,2.2,1.9,S,2.5
28-Feb-2018,14,10,10.8,13.2,12,9.6,12.6,12.0,0.2,0.6,S,1.5
01-Mar-2018,17.5,10,11.8,16.4,12.6,11.6,14.6,12.6,0.3,0.2,S,2.5
02-Mar-2018,19.5,10,12.6,18.6,13.6,11.4,16.4,13.2,-888.0,0.0,S,2.5
03-Mar-2018,19.5,10.5,13,18,12.4,12.8,15.8,12.4,0.0,7.4,S,1.5
04-Mar-2018,19.5,12,12.4,14.6,13.2,12.2,14,13.2,0.3,2.1,S,1.5
05-Mar-2018,19.6,12,12.1,12.7,12,12.1,12.7,12.0,0.1,0.5,S,1.0
06-Mar-2018,18,12.2,13,15.2,12.8,12.4,14.6,12.8,-888.0,0.2,S,1.5
07-Mar-2018,19,12.5,13.4,15.8,13.8,12.4,14.6,13.4,-888.0,0.2,S,2.5
08-Mar-2018,19,13.5,13.6,17.8,15.4,13.6,17.8,15.4,1.4,0.9,S,1.5
09-Mar-2018,20.5,13.8,14,18.6,15.4,12,15.6,14.8,0.0,-888.0,S,2.0
10-Mar-2018,19.5,13.5,13.8,18.6,14.6,12.2,15.6,13.8,0.0,0.0,S,1.0
11-Mar-2018,21,14,14.4,17.8,14.2,12.6,15.8,13.6,0.0,0.0,S,1.0
12-Mar-2018,20.5,13.8,14.2,19,14.4,13.2,16.2,13.6,4.6,0.0,S,3.0
13-Mar-2018,19.2,13.5,13.6,17.8,14.6,12.4,16,13.2,0.0,0.0,S,1.0
14-Mar-2018,19,12.5,13.3,18.4,13.5,11.8,16.2,13.0,0.0,0.0,S,2.5
15-Mar-2018,20.5,12.4,12.5,19.2,12.8,11.4,14.8,12.8,0.0,0.0,S,2.0
16-Mar-2018,20,12,12.4,16.8,12.8,12.2,15.2,12.8,1.4,3.7,SW,3.2
17-Mar-2018,20,11.5,12.4,15,12.8,12,14.2,12.8,0.6,0.0,S,2.5
18-Mar-2018,20,11.8,12,15.4,13.6,11.6,14.2,12.8,-888.0,0.4,S,1.5
19-Mar-2018,20.5,12,13,16.6,13.2,11.4,15.2,13.2,0.2,0.0,S,1.5
20-Mar-2018,18.5,11.8,12,17.2,13.2,11.2,15.4,13.0,0.0,0.5,S,2.5
21-Mar-2018,18,12.3,12.4,15.8,15,11.8,15,14.0,-888.0,0.2,S,2.0
22-Mar-2018,19.5,12.9,13.8,16.2,13.6,12.4,15,13.5,0.0,1.3,C,
23-Mar-2018,17.6,13,13.2,15.4,13.2,12.5,14.6,13.2,0.5,1.5,W,3.0
24-Mar-2018,17.5,12.4,12.5,15.4,12.5,12.3,14.2,12.4,-888.0,0.4,W,1.5
25-Mar-2018,18.5,12.5,12.8,17.6,14.6,12.6,16.2,14.0,0.5,-888.0,S,1.0
26-Mar-2018,20.5,12.5,12.8,19.6,14.8,11.4,17.2,14.4,-888.0,0.0,S,2.0
27-Mar-2018,20.2,13.2,13.4,19,14.2,12.4,16.6,14.2,0.0,0.3,S,3.0
28-Mar-2018,20,12.5,13,18,14.6,12.6,14.8,13.6,0.3,0.0,S,1.5
29-Mar-2018,20,11.5,12,18,14.8,10,16.4,13.8,0.0,0.0,S,2.5
30-Mar-2018,19.5,11,11.2,18.4,13.6,10.4,16,13.2,0.0,0.0,S,1.5
31-Mar-2018,20,10,11.2,17.6,13.4,8.2,15,13.0,0.0,0.0,S,2.5
