dma,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s),pp,p99,p95,p90,p75
20-feb-17,17.4,2.4,4.6,16.4,11.3,3.9,11,9,3.7,4.3,S,4,8,27.5,20,15.6,10
21-feb-17,18.4,4.2,3.6,16.4,11.4,2.4,12.2,10.2,0,11,S,4,11,27.5,20,15.6,10
22-feb-17,16.8,5.4,6.6,14.3,10,5.3,9.9,8.7,0,0,C,,0,27.5,20,15.6,10
23-feb-17,17.4,3.6,7.4,16.3,11.4,6.8,11.4,10,9,0,W,4,9,27.5,20,15.6,10
24-feb-17,17.2,1.6,6.4,16,10.3,5.3,11.4,9.8,11,0,W,3,11,27.5,20,15.6,10
25-feb-17,14,2,7.9,14.6,9.1,5,9.8,7.8,0,0,S,4,0,27.5,20,15.6,10
26-feb-17,14,2,6,12.6,9.6,5.9,11.8,8.7,7.5,0,N,8,7.5,27.5,20,15.6,10
27-feb-17,14.2,3.2,6.4,13.4,9.4,5.6,9.9,8.7,9.3,0,W,4,9.3,27.5,20,15.6,10
28-feb-17,16.3,3.6,7.8,15.3,7,7.3,13,6.8,0,9.3,W,3,9.3,27.5,20,15.6,10
01-mar-17,17.2,1.8,6.1,16.5,9.8,5.1,13.3,8,0,8.6,S,2,8.6,25.3,18.5,14,9.5
02-mar-17,14.2,3.8,7.6,11.1,11.1,7,9.2,9.9,0,4.4,W,1,4.4,25.3,18.5,14,9.5
03-mar-17,14,4.4,8.8,13.8,9.8,7.2,11.3,8.2,4.6,0,S,2,4.6,25.3,18.5,14,9.5
04-mar-17,15.5,5,8.2,15.5,10,7.2,12.2,8.9,0,0,S,2,0,25.3,18.5,14,9.5
05-mar-17,14.8,4.6,8.1,15,10.2,7.1,10.5,9,0,0,N,2,0,25.3,18.5,14,9.5
06-mar-17,15,5,8.6,10.8,11.4,7.1,9.4,8.3,1.5,0,N,6,1.5,25.3,18.5,14,9.5
07-mar-17,17,4.3,7.8,16.4,10,7.1,12.3,9.8,0,0,NE,4,0,25.3,18.5,14,9.5
08-mar-17,11.4,3.2,6.4,11.4,9,5.9,10.1,8.7,16.5,1.3,N,2,17.8,25.3,18.5,14,9.5
09-mar-17,15.4,3.3,8.3,11.1,11.9,7.5,9.4,10,1.6,0,E,2,1.6,25.3,18.5,14,9.5
10-mar-17,12.9,3.6,7,10.4,10.6,6.6,9.2,9,5.9,2,C,,7.9,25.3,18.5,14,9.5
11-mar-17,13.6,3.2,7.8,13,9.9,6.9,9.6,8.9,0,0,E,2,0,25.3,18.5,14,9.5
12-mar-17,16.2,1.6,5.6,15.4,11.4,4.4,12.2,9.8,0,0,E,2,0,25.3,18.5,14,9.5
13-mar-17,15.6,1.8,6.6,13,11.2,5,10.8,9.4,0,0,C,,0,25.3,18.5,14,9.5
14-mar-17,13.4,3.6,7,12.6,10.4,6.8,10.4,9,9.1,0,S,2,9.1,25.3,18.5,14,9.5
15-mar-17,14.6,4.2,9.1,13,8.8,8.1,10.1,7.8,0,3.5,C,,3.5,25.3,18.5,14,9.5
16-mar-17,14,3.2,6.6,13.8,9.9,5.8,11.4,8.4,2,0,C,,2,25.3,18.5,14,9.5
17-mar-17,14.3,3.4,6.4,13.8,7,5.8,10.9,6.8,0,5.9,W,2,5.9,25.3,18.5,14,9.5
18-mar-17,14.5,3.6,7.4,12.6,10.4,6.2,10.3,8.4,0,0,S,2,0,25.3,18.5,14,9.5
19-mar-17,14.9,4.4,7.6,13.8,9,6.7,10.6,8,0,0,S,3,0,25.3,18.5,14,9.5
20-mar-17,16.1,1.6,7.1,15,10.4,6.2,9.4,8.6,0,0,E,6,0,25.3,18.5,14,9.5
21-mar-17,16.1,2.8,6.6,15.2,10.6,4.8,11.2,8.9,0,0,E,6,0,25.3,18.5,14,9.5
22-mar-17,16.6,3,7.4,15.2,9.9,6.2,11,8.4,0,0,S,4,0,25.3,18.5,14,9.5
23-mar-17,14.6,4.4,7.8,12.6,10.2,6.9,9.1,8.4,0,0,S,2,0,25.3,18.5,14,9.5
24-mar-17,14.9,2,5,13.6,8.9,4.6,9.8,7.4,0,3.4,N,6,3.4,25.3,18.5,14,9.5
25-mar-17,14.8,2.2,6,12.9,10.6,5.6,9.9,9,0,1.2,N,1,1.2,25.3,18.5,14,9.5
26-mar-17,15,3.4,6.6,13.6,7.6,5.9,12,6.2,12,3.7,NE,2,15.7,25.3,18.5,14,9.5
27-mar-17,16.2,3.8,8.6,15.2,9.9,7.6,12.9,8.4,0,3.3,E,3,3.3,25.3,18.5,14,9.5
28-mar-17,11.6,4.2,7.1,11.4,10,6.8,10,9.2,7.1,3.5,S,2,10.6,25.3,18.5,14,9.5
29-mar-17,16.4,3.6,6.8,15.4,7.8,6.4,13.4,6.9,3.3,4.2,N,2,7.5,25.3,18.5,14,9.5
30-mar-17,15.2,4.1,7.6,14,8.6,6.9,12.2,7.9,0,0,E,3,0,25.3,18.5,14,9.5
31-mar-17,12.6,4.4,7.1,9.8,8.6,6.9,8.6,7.9,3.6,6.9,E,2,10.5,25.3,18.5,14,9.5
01-ene-18,13.8,3,7,13.2,8.2,6,10.4,5.6,7.7,1.4,S,4,9.1,25,19.5,15.8,11
02-ene-18,15.4,4.4,8.2,14.2,8,6,9.8,7.6,0,3.4,NE,2,3.4,25,19.5,15.8,11
03-ene-18,15.7,3.2,6.8,15.4,7.7,6,10,6.9,5,4.8,W,4,9.8,25,19.5,15.8,11
04-ene-18,15.4,3.2,7.4,13.8,10.4,6.6,9.2,8.2,0,0,E,2,0,25,19.5,15.8,11
05-ene-18,14.8,4.6,8.8,13.4,11.2,7.6,10,8.8,0,2.2,S,4,2.2,25,19.5,15.8,11
06-ene-18,12.2,5,8.6,12,7.8,7.8,10,6.8,0,14.8,E,2,14.8,25,19.5,15.8,11
07-ene-18,14.2,0.8,6.2,13,8.6,5.2,10,7.8,6.2,0,N,4,6.2,25,19.5,15.8,11
08-ene-18,14.4,3.2,6,10.4,9.6,5.4,7.8,7,10,4,C,,14,25,19.5,15.8,11
09-ene-18,13.4,3.2,8,13,8.6,6.8,11,8,0,0,N,6,0,25,19.5,15.8,11
10-ene-18,15.2,2,8,14,9.8,6.6,11.2,8.6,0,0,NE,6,0,25,19.5,15.8,11
11-ene-18,13.2,3.2,6.4,11.8,9.6,5.8,8.6,7.4,9.8,0,N,4,9.8,25,19.5,15.8,11
12-ene-18,15.2,2.6,8.2,13.6,8.4,6.6,9.4,6.8,0,5.5,S,2,5.5,25,19.5,15.8,11
13-ene-18,17.2,2.6,7.2,16.6,11.2,6.8,11.4,9.4,0,0,C,,0,25,19.5,15.8,11
14-ene-18,17.8,0.2,7.4,16,9.6,4.8,8.8,8,0,2.2,NE,6,2.2,25,19.5,15.8,11
15-ene-18,10.2,3.8,6.8,8.4,8,6,7.8,7.6,3.2,7.2,C,,10.4,25,19.5,15.8,11
16-ene-18,12.2,4.2,8,11.2,9.6,6.8,9.2,8.6,0,2.8,N,2,2.8,25,19.5,15.8,11
17-ene-18,14.6,2.6,5,13,11.4,4.6,10,9,3.3,0,E,2,3.3,25,19.5,15.8,11
18-ene-18,12.2,3.4,6,10.6,10.4,5.8,9.4,9.6,8.4,0,E,4,8.4,25,19.5,15.8,11
19-ene-18,14.2,4.6,7.8,13,11,7.2,10.8,8.8,2.4,0,S,2,2.4,25,19.5,15.8,11
20-ene-18,12.6,2.8,5.6,11.2,9.8,5.4,9.4,8,11.8,0,S,2,11.8,25,19.5,15.8,11
21-ene-18,15.4,1.2,7,14.2,10.6,5.6,10.4,8.8,0,0,W,2,0,25,19.5,15.8,11
