Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2014,21.6,13,14.2,19.4,14.4,13.6,17.8,13.0,0.0,0.0,SW,5.0
02-Ene-2014,19.8,12.1,12.6,18.6,14.9,12.3,17,13.7,0.0,0.0,SW,7.0
03-Ene-2014,22,10.4,11.2,20.8,15,10.5,19,13.7,0.0,0.0,SW,6.0
04-Ene-2014,22.3,11.4,12.9,21.4,16,12,19.5,14.6,0.0,5.2,SW,6.0
05-Ene-2014,21.7,12.9,14.2,21.4,15.9,13.7,19.5,14.5,2.3,0.0,SW,6.0
06-Ene-2014,22,12,13.5,20.2,15.5,12.5,18.3,14.0,0.0,0.0,SW,7.0
07-Ene-2014,18.5,12.2,13.2,16.5,12.8,12.4,15,11.7,0.0,7.4,SW,4.0
08-Ene-2014,16.5,11.7,12.4,15.3,12.5,12,14,11.4,0.0,1.0,SW,5.0
09-Ene-2014,19.2,11.5,12.2,17.8,12.3,11.6,16,11.0,0.5,0.0,SW,6.0
10-Ene-2014,18.6,11.6,13.2,17.4,13.8,12.5,15.8,12.6,0.0,5.2,SW,5.0
11-Ene-2014,20.6,10.9,11.6,18.9,14.7,11,17.2,13.4,0.0,1.5,SW,5.0
12-Ene-2014,20.4,11.6,12.8,19.5,15,12.3,17.4,13.8,0.0,0.0,SW,5.0
13-Ene-2014,20.5,12,13.5,19.7,15,12.8,17.9,13.7,0.0,1.3,SW,6.0
14-Ene-2014,19.5,11.5,12.6,18,15.2,11.7,16.5,13.8,0.0,3.9,SW,6.0
15-Ene-2014,20.8,11,12,19.8,14.5,11,17.9,13.2,0.9,4.0,SW,5.0
16-Ene-2014,20.5,11.7,13.6,19.6,15.2,13,17.8,13.8,1.2,0.0,SW,6.0
17-Ene-2014,21.2,12.5,13.2,20.7,14.8,12.6,18.6,13.4,0.0,2.3,SW,6.0
18-Ene-2014,21.4,13,15.4,20.8,15.2,14.4,18.9,13.8,0.0,2.2,SW,6.0
19-Ene-2014,21,10.9,11.9,19.8,15.8,11,18.2,14.4,0.0,0.6,SW,5.0
20-Ene-2014,21.3,11.5,13.6,20.5,15.2,13.2,18.8,13.8,0.0,1.1,SW,6.0
21-Ene-2014,22,10.4,13.6,21.2,14.8,10.9,18.9,13.5,0.0,2.8,SW,5.0
22-Ene-2014,19.2,10.8,11.7,17.5,14.9,11,15.8,13.5,0.0,0.0,SW,5.0
23-Ene-2014,19,10.9,11.5,17.3,14.5,10.9,15.7,13.3,0.0,0.0,SW,4.0
24-Ene-2014,21.2,11.8,13.5,20.3,13.9,12.8,18.5,12.6,0.0,0.0,SW,5.0
25-Ene-2014,20.9,11.4,12.3,20.4,14.8,11.6,18.5,13.4,0.0,0.0,SW,6.0
26-Ene-2014,19.7,9.8,10.6,19.4,14.8,10.2,17.5,13.5,0.0,0.0,SW,6.0
27-Ene-2014,20.6,9,9.6,19.6,13.9,9.2,17.8,12.6,0.0,0.0,SW,6.0
28-Ene-2014,19.7,9.8,11.6,17.8,14.5,11,16.3,13.3,0.0,0.0,SW,6.0
29-Ene-2014,21.6,10.3,10.8,21,14.9,10.4,18.9,13.5,0.0,1.7,SW,6.0
30-Ene-2014,20.5,10.9,12.4,18.6,12.9,11.8,16.8,11.8,0.0,0.2,SW,5.0
31-Ene-2014,20.3,11.2,11.9,17.8,13.6,11.4,16.5,12.4,0.0,1.6,SW,6.0
01-Feb-2014,19,11.7,13.2,17.9,14.3,12.5,16.2,13.2,0.0,0.3,SW,5.0
02-Feb-2014,22.7,11.5,12.2,21.9,14.8,11.6,19.8,13.5,0.9,0.0,SW,6.0
03-Feb-2014,23.5,12.2,14.8,22.6,16.5,14.3,20.5,15.2,0.0,0.0,SW,7.0
04-Feb-2014,20,9.6,10.4,18.9,13.8,9.8,17.2,12.5,0.0,0.0,SW,5.0
05-Feb-2014,19.5,10.9,12.2,17.4,13,11.8,15.9,11.9,0.0,1.3,SW,5.0
06-Feb-2014,18,10.4,11,17.4,12.9,10.6,16,11.8,2.9,0.8,SW,6.0
07-Feb-2014,18.3,11.2,12.4,16.6,13.4,11.8,15,12.3,0.0,0.0,SW,4.0
08-Feb-2014,19.8,12,12.8,19.3,14.9,12.2,17.5,13.6,0.0,0.0,SW,3.0
09-Feb-2014,22.8,13,13.8,22.3,15.8,13.4,20,14.4,0.0,0.0,SW,6.0
10-Feb-2014,20.4,12.5,13.2,19.8,14,12.6,17.8,12.8,0.0,0.5,SW,5.0
11-Feb-2014,21.6,12.2,13.5,20.6,13.9,13,18.7,12.6,0.0,1.7,SW,5.0
12-Feb-2014,21.8,12.6,13,19.7,15.8,12.8,17.9,14.5,0.0,0.0,SW,5.0
13-Feb-2014,22.5,12.8,13.4,21.4,15.4,13,19.5,14.0,0.0,0.0,SW,6.0
14-Feb-2014,19.8,12,12.8,18.4,14.9,12.2,16.7,13.6,0.0,0.0,SW,5.0
15-Feb-2014,21,12.3,13,18.4,13.9,12.5,16.7,12.7,0.0,1.4,SW,5.0
16-Feb-2014,20.6,11.9,13.3,18.6,14.7,12.3,17,13.4,0.0,0.0,SW,5.0
17-Feb-2014,20,11.7,12.8,19.4,14.8,12.2,17.7,13.6,0.0,0.5,SW,6.0
18-Feb-2014,20.9,11.2,12.5,19.6,14.6,11.8,18,13.4,0.0,0.7,SW,6.0
19-Feb-2014,21.3,11.4,12.8,21,15.7,11.9,19.2,14.3,0.0,0.4,SW,6.0
20-Feb-2014,20.5,11.2,12.7,19.4,14.7,11.8,17.6,13.4,0.0,0.0,SW,5.0
21-Feb-2014,20,12.4,14.2,17.9,14.6,13.2,16.2,13.2,0.0,0.0,SW,5.0
22-Feb-2014,21.4,11,12.2,20.8,15,11.4,19,13.7,0.0,1.3,SW,5.0
23-Feb-2014,19.9,12,12.8,19.6,14.9,12,17.9,13.6,0.0,1.9,SW,6.0
24-Feb-2014,15.2,12.5,13,14.6,13.8,13,14.6,13.8,0.7,7.3,C,
25-Feb-2014,19.4,11.8,12.6,17.2,13.9,12,15.9,12.8,0.9,2.3,SW,5.0
26-Feb-2014,21,10.9,11.5,19.3,13.7,11,17.6,12.6,1.0,5.8,SW,5.0
27-Feb-2014,21.4,11.7,13.7,19.5,14,13,18,13.0,1.2,2.5,SW,6.0
28-Feb-2014,19.9,13.2,14.4,19.6,14.7,13.6,17.9,13.6,0.7,0.0,SW,5.0
01-Mar-2014,15.8,12.4,12.9,15.3,13.7,12.5,14,12.9,0.0,0.7,SW,5.0
02-Mar-2014,15,11.5,12.4,14.8,14.2,11.7,13.5,13.7,0.0,0.8,SW,5.0
03-Mar-2014,16.3,11.2,12.5,15.6,14,11.4,14.2,13.3,0.0,0.7,SW,5.0
04-Mar-2014,18.4,11.6,12.8,17.9,14.3,11.7,16.3,13.2,0.5,0.4,SW,5.0
05-Mar-2014,18.6,11,11.6,17.5,14,11.2,16,12.8,0.0,1.0,SW,6.0
06-Mar-2014,19,11.3,12,18.6,14.3,11.6,16.9,12.2,1.5,7.3,SW,5.0
07-Mar-2014,19.5,10.5,11,16.9,13.7,10.6,15.7,12.8,0.5,6.8,SW,5.0
08-Mar-2014,17,11.7,13.2,15.8,13.7,12.5,14.3,12.5,0.0,1.4,SW,5.0
09-Mar-2014,17.2,11.6,12.8,15.8,13.7,11.9,14.5,12.6,0.0,5.2,SW,4.0
10-Mar-2014,15.2,11,11.8,14.4,12.8,11.4,13.2,11.9,0.9,0.0,SW,4.0
11-Mar-2014,16.8,11.5,11.8,15.4,13.2,11.6,13.9,12.2,1.6,0.0,SW,4.0
12-Mar-2014,17,11.9,12.6,16.3,14.3,12.2,15,13.2,0.0,0.0,SW,5.0
13-Mar-2014,18.5,12.3,12.8,17.8,13.7,12.4,16.5,12.5,0.8,3.8,SW,5.0
14-Mar-2014,18.8,11.4,12.6,17.2,13.9,11.8,15.7,12.8,6.1,1.6,SW,5.0
15-Mar-2014,18,12.8,13.8,17.4,13.9,13.2,15.9,12.7,0.0,0.0,SW,5.0
16-Mar-2014,18.2,8.7,9.6,17.4,14.3,8.8,15.8,13.2,0.0,0.4,SW,5.0
17-Mar-2014,19.8,9.8,12.9,19.3,13.8,12.3,17.5,12.4,0.0,3.1,SW,5.0
18-Mar-2014,20,11,12.3,17.4,15.2,11.6,15.8,13.9,0.0,0.6,SW,6.0
19-Mar-2014,20.5,12.6,13.5,17.8,15,12.8,16,13.6,0.0,1.2,SW,5.0
20-Mar-2014,22.3,12,13,21.5,16,12.4,19.6,14.7,0.0,0.0,SW,6.0
21-Mar-2014,22.5,13.2,14.2,21.4,15,13.5,19.8,13.9,0.0,0.0,SW,6.0
22-Mar-2014,20.7,12.7,13.6,19.2,15.7,12.8,17.5,14.3,0.0,3.7,SW,6.0
23-Mar-2014,21.5,13,13.6,20.8,15.2,13.2,19,13.9,0.0,0.0,SW,5.0
24-Mar-2014,22,11,11.7,21.4,14.8,11.2,19.5,13.5,3.8,0.5,SW,6.0
25-Mar-2014,17.4,11.6,14,16.5,13.9,13.4,15,12.7,1.9,0.3,SW,6.0
26-Mar-2014,21,10.5,11,19.4,14.4,10.6,17.8,13.2,0.8,2.2,SW,6.0
