Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,20.8,12,13.3,19.4,14.4,12.3,14.4,12.9,7.9,0.2,N,2.0
02-Ene-2017,22.3,12.6,13.3,20.8,16.7,12.3,15.1,13.6,0.5,0.0,N,4.0
03-Ene-2017,21.6,13.3,13.9,18.6,14.4,12.7,14.2,12.6,0.0,0.5,N,4.0
04-Ene-2017,21,10.6,12,19.4,12.7,10.7,14.7,12.0,0.3,6.1,N,4.0
05-Ene-2017,18.9,11.9,12.8,18.2,15.2,12,13.6,12.5,0.3,0.0,N,4.0
06-Ene-2017,21.5,11.8,12.3,18.1,14.6,11.1,13.3,13.2,2.1,1.1,NE,6.0
07-Ene-2017,20.9,11.4,12.5,19.1,15.3,11.6,14.4,13.4,6.9,1.0,NE,4.0
08-Ene-2017,24.1,11.5,12.3,23,14.5,11.6,15.6,12.7,1.1,0.7,N,4.0
09-Ene-2017,20.6,10.6,11,17,16.1,10,12.8,12.2,-888.0,0.0,N,4.0
10-Ene-2017,17.6,10.7,12.3,17.1,12.8,11.6,13.4,11.5,6.3,0.5,N,8.0
11-Ene-2017,21.8,10.8,12.3,19.5,14.8,11.3,14.8,12.8,0.2,0.7,N,6.0
12-Ene-2017,19.8,12,12.6,18.6,15.6,12.1,13.8,13.8,9.4,2.6,N,6.0
13-Ene-2017,19.4,12.5,13,18.3,15.1,11.8,14.8,14.1,0.0,1.9,N,2.0
14-Ene-2017,21.1,9.8,10.6,20.4,16.1,10.2,14.6,13.1,5.6,0.0,N,2.0
15-Ene-2017,16.5,10.7,12.2,12.9,14.4,11.6,11.3,12.4,15.0,3.6,N,4.0
16-Ene-2017,19.3,11.9,12.5,18.5,13.9,11.5,14.4,12.5,4.1,5.2,N,2.0
17-Ene-2017,16.9,10.4,10.9,13.5,14.9,10.4,12.4,13.5,0.9,3.8,C,
18-Ene-2017,24.7,10.8,12.8,24.4,16.9,12,15.4,13.8,0.0,0.0,N,4.0
19-Ene-2017,23.2,10.2,11.3,20.8,17.6,10.3,14.2,12.8,0.0,0.0,C,
