Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2014,0,0.0
02-Ene-2014,0,0.0
03-Ene-2014,0,0.0
04-Ene-2014,2.1,1.7
05-Ene-2014,0,0.0
06-Ene-2014,1.5,0.0
07-Ene-2014,0,1.1
08-Ene-2014,0,0.0
09-Ene-2014,0,0.0
10-Ene-2014,0,0.0
11-Ene-2014,0,0.0
12-Ene-2014,0,0.0
13-Ene-2014,0,2.3
14-Ene-2014,1.2,0.0
15-Ene-2014,0,0.0
16-Ene-2014,1.9,0.0
17-Ene-2014,0,0.0
18-Ene-2014,0,0.0
19-Ene-2014,0,0.0
20-Ene-2014,0,0.0
21-Ene-2014,0,0.0
22-Ene-2014,0,0.0
23-Ene-2014,0,0.0
24-Ene-2014,0,0.0
25-Ene-2014,0,0.0
26-Ene-2014,0,0.0
27-Ene-2014,0,0.0
28-Ene-2014,0,0.0
29-Ene-2014,0,0.0
30-Ene-2014,0,0.0
31-Ene-2014,0,0.0
01-Feb-2014,0,0.0
02-Feb-2014,0,0.0
03-Feb-2014,0,0.0
04-Feb-2014,0,0.0
05-Feb-2014,0,0.0
06-Feb-2014,0,0.0
07-Feb-2014,0,0.0
08-Feb-2014,0,0.0
09-Feb-2014,0,0.0
10-Feb-2014,0,0.0
11-Feb-2014,0,0.0
12-Feb-2014,0,0.0
13-Feb-2014,0,2.9
14-Feb-2014,0,0.0
15-Feb-2014,1.5,0.0
16-Feb-2014,0,3.2
17-Feb-2014,0,0.0
18-Feb-2014,1.1,0.0
19-Feb-2014,0,1.3
20-Feb-2014,0,0.0
21-Feb-2014,0,2.7
22-Feb-2014,5.8,4.5
23-Feb-2014,6.7,2.6
24-Feb-2014,7.2,3.3
25-Feb-2014,3.5,2.0
26-Feb-2014,1.9,5.9
27-Feb-2014,6.2,1.5
28-Feb-2014,4.5,2.8
01-Mar-2014,0,1.8
02-Mar-2014,2.7,2.5
03-Mar-2014,0,1.9
04-Mar-2014,1.2,2.3
05-Mar-2014,1.6,3.3
06-Mar-2014,3,2.5
07-Mar-2014,2.2,4.6
08-Mar-2014,5.3,6.7
09-Mar-2014,2.1,3.3
10-Mar-2014,0,1.1
11-Mar-2014,0,0.0
12-Mar-2014,3.2,0.0
13-Mar-2014,1.3,4.9
14-Mar-2014,0,0.0
15-Mar-2014,0,1.1
16-Mar-2014,0,2.8
17-Mar-2014,3.2,1.2
18-Mar-2014,2.1,4.6
19-Mar-2014,1.9,3.5
20-Mar-2014,1.2,2.0
21-Mar-2014,5.3,2.2
22-Mar-2014,3.7,3.2
23-Mar-2014,0,0.0
24-Mar-2014,0,0.0
25-Mar-2014,0,0.0
26-Mar-2014,1.1,0.0
27-Mar-2014,0,1.5
28-Mar-2014,0,0.0
29-Mar-2014,0,0.0
30-Mar-2014,0,0.0
31-Mar-2014,0,0.0
01-Ene-2015,0,0.0
02-Ene-2015,0,0.0
03-Ene-2015,0,0.0
04-Ene-2015,0,0.0
05-Ene-2015,0,0.0
06-Ene-2015,0,0.0
07-Ene-2015,0,0.0
08-Ene-2015,0,0.0
09-Ene-2015,0,0.0
10-Ene-2015,0,0.0
11-Ene-2015,0,0.0
12-Ene-2015,0,0.0
13-Ene-2015,0,0.0
14-Ene-2015,0,0.0
15-Ene-2015,0,0.0
16-Ene-2015,0,0.0
17-Ene-2015,0,0.0
18-Ene-2015,0,0.0
19-Ene-2015,0,0.0
20-Ene-2015,0,0.0
21-Ene-2015,0,0.0
22-Ene-2015,9.1,1.2
23-Ene-2015,3.4,0.0
24-Ene-2015,3.1,0.0
25-Ene-2015,2.9,0.0
26-Ene-2015,0,0.0
27-Ene-2015,0,0.0
28-Ene-2015,0,0.0
29-Ene-2015,1.8,0.0
30-Ene-2015,2.3,0.0
31-Ene-2015,0,0.0
01-Feb-2015,0,0.0
02-Feb-2015,0,0.0
03-Feb-2015,0,0.0
04-Feb-2015,0,0.0
05-Feb-2015,0,0.0
06-Feb-2015,2.3,0.0
07-Feb-2015,5.2,0.0
08-Feb-2015,5.7,0.0
09-Feb-2015,6.2,0.0
10-Feb-2015,6.1,0.0
11-Feb-2015,0,0.0
12-Feb-2015,0,0.0
13-Feb-2015,0,0.0
14-Feb-2015,2.3,0.0
15-Feb-2015,1.1,0.0
16-Feb-2015,0,0.0
17-Feb-2015,0,2.0
18-Feb-2015,3.2,0.0
19-Feb-2015,0,1.1
20-Feb-2015,0,0.0
21-Feb-2015,0,0.0
22-Feb-2015,0,0.0
23-Feb-2015,0,0.0
24-Feb-2015,0,2.1
25-Feb-2015,2.1,0.0
26-Feb-2015,3.7,0.0
27-Feb-2015,6.2,1.1
28-Feb-2015,0,0.0
01-Mar-2015,0,0.0
02-Mar-2015,5.2,0.0
03-Mar-2015,0,6.2
04-Mar-2015,6.1,0.0
05-Mar-2015,0,3.2
06-Mar-2015,0,10.0
07-Mar-2015,0,0.0
08-Mar-2015,0,0.0
09-Mar-2015,0,2.3
10-Mar-2015,0,0.0
11-Mar-2015,0,0.0
12-Mar-2015,0,2.3
13-Mar-2015,0,0.0
14-Mar-2015,0,2.1
15-Mar-2015,0,0.0
16-Mar-2015,0,2.2
17-Mar-2015,0,2.1
18-Mar-2015,0,8.1
19-Mar-2015,0,10.9
20-Mar-2015,0,10.2
21-Mar-2015,0,10.7
22-Mar-2015,0,10.5
23-Mar-2015,0,10.8
24-Mar-2015,0,7.0
25-Mar-2015,0,0.0
26-Mar-2015,0,0.0
27-Mar-2015,0,0.0
28-Mar-2015,0,0.0
29-Mar-2015,0,0.0
30-Mar-2015,0,0.0
31-Mar-2015,0,0.0
01-Ene-2016,0,0.0
02-Ene-2016,0,0.0
03-Ene-2016,0,0.0
04-Ene-2016,0,0.0
05-Ene-2016,0,0.0
06-Ene-2016,0,0.0
07-Ene-2016,0,0.0
08-Ene-2016,0,0.0
09-Ene-2016,0,0.0
10-Ene-2016,0,0.0
11-Ene-2016,0,0.0
12-Ene-2016,0,0.0
13-Ene-2016,0,0.0
14-Ene-2016,0,0.0
15-Ene-2016,2.2,4.0
