Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,9.4,3.0
02-Ene-2017,0,1.8
03-Ene-2017,0,2.3
04-Ene-2017,0,1.4
05-Ene-2017,0,0.0
06-Ene-2017,0,4.6
07-Ene-2017,0,3.5
08-Ene-2017,0,0.0
09-Ene-2017,0,6.0
10-Ene-2017,0,2.0
11-Ene-2017,0,3.0
12-Ene-2017,0,2.5
13-Ene-2017,0,1.5
14-Ene-2017,0,2.0
15-Ene-2017,3,4.0
16-Ene-2017,0,2.0
17-Ene-2017,0,3.0
18-Ene-2017,0,2.4
19-Ene-2017,0,1.8
20-Ene-2017,0,2.0
21-Ene-2017,0,8.0
22-Ene-2017,4,12.0
23-Ene-2017,2,4.0
24-Ene-2017,1,2.0
25-Ene-2017,0,3.2
26-Ene-2017,0,1.8
27-Ene-2017,0,2.6
28-Ene-2017,0,3.0
29-Ene-2017,0,2.8
30-Ene-2017,0,9.0
31-Ene-2017,6.5,11.2
01-Feb-2017,3,8.0
02-Feb-2017,0,2.9
03-Feb-2017,4,4.4
04-Feb-2017,8,5.2
05-Feb-2017,3,3.2
06-Feb-2017,0,1.5
07-Feb-2017,0,4.6
08-Feb-2017,0,8.8
09-Feb-2017,0,8.2
10-Feb-2017,0,7.4
11-Feb-2017,0,3.6
12-Feb-2017,0,1.4
13-Feb-2017,0,1.2
14-Feb-2017,0,4.8
15-Feb-2017,0,7.5
16-Feb-2017,3.2,9.4
17-Feb-2017,2.6,8.6
18-Feb-2017,6.2,2.2
19-Feb-2017,1.2,3.0
20-Feb-2017,0,1.8
21-Feb-2017,0,3.0
22-Feb-2017,0,7.2
23-Feb-2017,0,2.4
24-Feb-2017,4,5.0
25-Feb-2017,0,4.1
26-Feb-2017,3,6.0
27-Feb-2017,0,2.0
28-Feb-2017,0,1.6
01-Mar-2017,0,5.0
02-Mar-2017,0,5.6
03-Mar-2017,4,7.2
04-Mar-2017,3,2.0
05-Mar-2017,4,8.4
06-Mar-2017,4,8.2
07-Mar-2017,0,7.5
08-Mar-2017,0,6.3
09-Mar-2017,7.1,6.8
10-Mar-2017,0,5.0
11-Mar-2017,6.2,8.8
12-Mar-2017,0,7.5
13-Mar-2017,8.2,9.4
14-Mar-2017,6.2,8.5
15-Mar-2017,9.6,12.2
16-Mar-2017,2.6,7.6
17-Mar-2017,3.2,13.2
18-Mar-2017,6.3,6.9
19-Mar-2017,2.7,5.0
20-Mar-2017,0,5.8
21-Mar-2017,4.5,0.0
22-Mar-2017,6.7,1.9
23-Mar-2017,4,1.6
24-Mar-2017,0,7.0
25-Mar-2017,0,2.8
26-Mar-2017,0,4.6
27-Mar-2017,0,4.5
28-Mar-2017,0,2.5
29-Mar-2017,0,1.8
30-Mar-2017,0,1.6
31-Mar-2017,0,2.4
01-Ene-2018,0,0.0
02-Ene-2018,0,0.0
03-Ene-2018,0,0.0
04-Ene-2018,0,0.0
05-Ene-2018,0,0.0
06-Ene-2018,0,0.0
07-Ene-2018,0,0.0
08-Ene-2018,0,3.7
09-Ene-2018,6.3,4.0
10-Ene-2018,2,3.0
11-Ene-2018,2.4,1.8
12-Ene-2018,0,0.0
13-Ene-2018,0,0.0
14-Ene-2018,0,0.0
15-Ene-2018,0,1.4
16-Ene-2018,0,2.2
17-Ene-2018,0,6.0
18-Ene-2018,0,7.4
19-Ene-2018,3.6,1.6
20-Ene-2018,3.4,8.0
21-Ene-2018,4,6.5
22-Ene-2018,3.9,2.3
23-Ene-2018,0,0.0
24-Ene-2018,0,0.0
25-Ene-2018,0,8.5
26-Ene-2018,0,0.0
27-Ene-2018,0,0.0
28-Ene-2018,0,0.0
29-Ene-2018,0,0.0
30-Ene-2018,0,0.0
31-Ene-2018,0,0.0
01-Feb-2018,0,0.0
02-Feb-2018,0,0.0
03-Feb-2018,0,0.0
04-Feb-2018,0,0.0
05-Feb-2018,0,0.0
06-Feb-2018,0,0.0
07-Feb-2018,0,0.0
08-Feb-2018,0,0.0
09-Feb-2018,0,0.0
10-Feb-2018,0,0.0
11-Feb-2018,0,0.0
12-Feb-2018,0,0.0
13-Feb-2018,0,3.5
14-Feb-2018,0,5.6
15-Feb-2018,0,8.6
16-Feb-2018,10.2,3.2
17-Feb-2018,0,0.0
18-Feb-2018,0,0.0
19-Feb-2018,0,0.0
20-Feb-2018,0,0.0
21-Feb-2018,0,0.0
22-Feb-2018,0,0.0
23-Feb-2018,0,0.0
24-Feb-2018,0,0.0
25-Feb-2018,0,3.6
26-Feb-2018,0,3.5
27-Feb-2018,0,1.6
28-Feb-2018,0,2.0
01-Mar-2018,0,0.0
02-Mar-2018,0,2.8
03-Mar-2018,0,2.6
04-Mar-2018,0,6.5
05-Mar-2018,0,0.0
06-Mar-2018,0,5.2
07-Mar-2018,4.7,0.0
08-Mar-2018,3,0.0
09-Mar-2018,0,5.6
10-Mar-2018,0,0.0
11-Mar-2018,0,0.0
12-Mar-2018,0,1.2
13-Mar-2018,0,0.0
14-Mar-2018,0,0.0
15-Mar-2018,0,0.0
16-Mar-2018,0,0.0
17-Mar-2018,0,5.8
18-Mar-2018,0,2.6
19-Mar-2018,0,1.8
20-Mar-2018,0,0.0
21-Mar-2018,2.2,0.0
22-Mar-2018,0,0.0
23-Mar-2018,0,2.0
24-Mar-2018,0,0.0
25-Mar-2018,0,0.0
26-Mar-2018,0,2.4
27-Mar-2018,0,10.4
28-Mar-2018,5.6,0.0
29-Mar-2018,0,0.0
30-Mar-2018,0,0.0
31-Mar-2018,0,0.0
