Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2018,34.1,21.7,23.8,33.4,26,22.6,28,24.3,0.0,0.0,S,2.0
02-Ene-2018,35,23.2,25,34.3,27,24.2,30.5,25.3,0.0,0.0,C,
03-Ene-2018,34.3,22.4,23.7,33.7,26.2,22.8,28.3,24.0,0.0,0.0,C,
04-Ene-2018,28.8,22.2,23.6,28.2,23.7,23,24.3,22.8,0.0,13.5,NE,2.0
05-Ene-2018,32.3,21.5,22,31.6,23.2,21.7,25.4,22.5,0.0,0.0,NE,4.0
06-Ene-2018,33,21,21.8,32.4,24.5,21.3,26.2,22.7,0.0,0.0,C,
07-Ene-2018,32.1,19.8,21,31.7,24.3,20.8,26,22.6,0.0,0.0,W,4.0
08-Ene-2018,28,20.2,22.1,27.3,22,21.4,24.6,21.3,9.7,2.7,S,4.0
09-Ene-2018,27,21.2,21.8,26.2,22.5,21.4,23.3,21.6,35.2,18.8,C,
10-Ene-2018,29.4,20.6,21.2,27.4,23.5,20.8,24,21.7,4.2,6.7,C,
11-Ene-2018,27.5,20,21,26.3,22,20.3,23.1,21.6,2.0,12.5,N,4.0
12-Ene-2018,30.6,20.4,21.2,29.6,23.4,20.7,25.3,21.5,0.0,0.0,W,2.0
13-Ene-2018,32,20.3,21.7,31.4,23.5,21,25.3,21.8,0.0,0.0,NE,2.0
14-Ene-2018,34.3,21,22.4,32,24.1,21.6,26.2,22.7,0.0,0.0,S,4.0
15-Ene-2018,28.1,22,24.1,27.3,22.6,23.4,23.1,22.2,0.0,20.8,N,2.0
16-Ene-2018,31.3,19.4,20.2,29.3,23.5,19.8,24.1,21.2,0.0,0.0,E,2.0
17-Ene-2018,32.1,20,21.3,31,23.3,20.8,25.1,21.5,0.0,3.5,SE,2.0
18-Ene-2018,33,20.6,21.4,32.6,25.2,20.8,27.3,23.0,0.0,0.0,C,
19-Ene-2018,34.6,21.4,22,33.5,26.4,21.8,28.2,24.3,0.0,0.0,C,
20-Ene-2018,32.5,20.3,21,31.7,24,20.7,26.4,22.3,0.0,0.0,NE,2.0
21-Ene-2018,32.4,20.6,21.7,30.3,22.3,21,25.6,21.4,0.0,24.3,NE,2.0
22-Ene-2018,32.2,21,21.8,31.3,23,21.5,25.6,21.7,0.0,4.7,W,4.0
23-Ene-2018,29,18.7,19.5,28.2,22.3,19,24.3,20.1,0.0,15.3,C,
24-Ene-2018,31,18.2,19,30,24.1,18.6,25.2,23.4,0.0,0.0,C,
25-Ene-2018,33.4,19.2,20.8,31.5,23,19.8,25.8,21.5,0.0,0.0,C,
26-Ene-2018,32.2,20.5,21.2,30.5,24,20.7,25.1,22.4,0.0,0.0,E,2.0
27-Ene-2018,35.3,21.2,22.3,33.5,26.2,21.4,28.7,24.1,0.0,0.0,C,
28-Ene-2018,34,22,23.3,32.7,25.1,22.8,27.4,25.1,0.0,0.0,E,2.0
29-Ene-2018,34.3,21.6,22.4,33.6,26.4,22,28.7,24.5,0.0,0.0,N,4.0
30-Ene-2018,33.4,22,23.2,32,25.7,22.5,27.2,23.3,0.0,4.2,E,2.0
31-Ene-2018,32.6,22.7,24,31.7,23.2,23,25.3,22.8,0.0,3.6,NE,4.0
01-Feb-2018,35.4,23.1,24.5,34.2,27.4,23.7,29.5,25.2,0.0,0.0,NE,4.0
02-Feb-2018,34.6,22.1,23,33.8,26.2,22.7,28.4,24.5,0.0,0.0,SE,2.0
03-Feb-2018,35.7,22.4,23.1,34,28.2,22.8,31.3,26.4,0.0,0.0,C,
04-Feb-2018,31.6,21.8,22.5,30.4,23,22,25.1,22.7,0.0,25.3,E,2.0
05-Feb-2018,32,22.5,23.4,31.5,23.2,22.8,25,22.6,0.0,0.0,NE,2.0
06-Feb-2018,27.5,22,23.3,26.2,22.8,22.4,23.5,22.3,28.6,45.3,N,4.0
07-Feb-2018,32.3,21.6,22.8,30.4,23.1,21.8,24.2,22.0,0.0,0.0,NE,2.0
08-Feb-2018,33.7,20.2,21.6,32.5,24.2,20.8,26.2,22.5,0.0,0.0,NE,4.0
09-Feb-2018,29.3,22,22.7,27,23.4,22.5,24.2,22.8,4.7,0.0,C,
10-Feb-2018,33,20.8,21.4,31.5,23,21,25.2,21.6,0.0,0.0,C,
11-Feb-2018,34.7,20.2,21,33.6,26.2,20.6,28.3,24.1,0.0,0.0,SE,2.0
12-Feb-2018,33.2,21,22.3,31,23.1,21.5,25.1,21.7,0.0,0.0,C,
13-Feb-2018,33.6,21.2,22,32.4,25,21.4,27.1,23.2,1.6,0.0,NE,4.0
14-Feb-2018,28,21.6,22.8,27.3,24.6,21.8,24.2,22.3,0.0,0.0,C,
15-Feb-2018,30.8,20.3,21.5,30.3,24,20.7,26.2,23.6,0.0,0.0,C,
16-Feb-2018,29.3,20.5,22,28.6,22.3,21.7,23.5,21.2,0.0,3.4,NE,2.0
17-Feb-2018,32.2,20.2,21,31.2,24.3,20.6,25.1,22.5,0.0,0.0,C,
18-Feb-2018,34.5,20,21.3,33.2,25,20.4,28.3,23.4,0.0,0.0,C,
19-Feb-2018,34,22.1,25,33.7,25.1,23.2,28.5,23.4,0.0,0.0,S,4.0
20-Feb-2018,31.8,21.5,22.7,31.5,23.2,21.8,25.3,21.7,11.6,0.0,E,1.1
21-Feb-2018,33.3,19.7,20.6,32,25.1,20,27.5,23.3,0.0,0.0,N,2.5
22-Feb-2018,33.2,20.3,21.6,31,23.6,21,24.1,21.8,0.0,0.0,NE,2.5
23-Feb-2018,31.2,21.6,22.4,29.3,22.5,22,24.2,21.8,0.0,0.0,S,1.1
24-Feb-2018,35.2,21,22.7,34,27.1,21.7,31.3,25.2,0.0,0.0,SE,2.5
25-Feb-2018,28.3,22.1,23.5,27.3,22.8,22.6,23.5,22.4,0.0,53.7,C,
26-Feb-2018,31,19.4,21,30.4,23.6,20.2,25.2,22.7,0.0,0.0,NE,1.1
27-Feb-2018,32.4,19.2,20,31.6,25.5,19.8,26.8,24.0,0.0,0.0,W,1.1
28-Feb-2018,33,20,22.3,32.1,24.3,21.2,26.5,22.1,5.4,0.0,W,1.1
01-Mar-2018,32.6,22,23.2,31.7,23.4,21.8,25,21.6,0.0,0.0,N,1.1
02-Mar-2018,27.3,20.4,21.6,26.5,22.4,20.8,24.2,21.8,0.0,36.4,C,
03-Mar-2018,32.8,20,21.2,32.3,24.1,20.7,26.4,22.2,0.0,2.4,NE,1.1
04-Mar-2018,32.2,21.3,22,31,23.1,21.8,25.3,21.7,0.0,0.0,W,1.1
05-Mar-2018,34.3,20.2,21.2,33.8,26.2,20.5,28,24.1,0.0,0.0,C,
06-Mar-2018,24.8,21.2,22.6,24.2,22,21.8,23.4,21.5,14.2,60.0,C,
07-Mar-2018,30.8,19.4,20.2,30.4,24,19.7,25.3,22.8,0.0,0.0,C,
08-Mar-2018,27.6,19.8,21.5,25.6,22.8,20.4,23.1,21.7,0.0,32.4,SE,1.1
09-Mar-2018,32.3,19,20.1,31,24.5,19.6,25.3,22.7,0.0,0.0,N,1.1
10-Mar-2018,34,19.3,21.4,33.7,26.3,20.2,28.3,24.5,0.0,0.0,C,
11-Mar-2018,30.5,21,22.3,29.6,22.1,21.3,24.2,21.7,17.7,0.0,SE,1.1
12-Mar-2018,27.3,20.3,21.6,24.6,22.4,20.8,23.2,21.8,0.0,10.3,C,
13-Mar-2018,33,21.1,22,32.3,24.1,21.5,26,22.4,0.0,0.0,W,1.1
14-Mar-2018,35.2,20.8,21.7,34.2,26.3,21.3,28.1,24.0,0.0,0.0,S,1.1
15-Mar-2018,34.4,21.6,22.3,33.5,26.2,22,27.3,24.2,0.0,0.0,N,1.1
16-Mar-2018,32.8,20.5,21,32.3,25.7,20.8,26.2,23.6,0.0,8.0,W,1.1
17-Mar-2018,33,20.3,21.8,31.4,23.1,20.6,25.5,22.0,0.0,0.0,SE,1.1
18-Mar-2018,33.5,21.5,22.8,32,25,21.8,26.3,23.4,0.0,0.0,E,1.1
