Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,18.4,7,10.8,16.8,11.2,9.8,15,9.8,0.0,0.0,,
02-Ene-2017,17.2,6.4,10.4,14.8,10,9.2,13.2,8.8,3.2,0.0,,
03-Ene-2017,18.6,7,11.6,16.4,12.6,10.2,15,11.0,6.2,0.0,,
04-Ene-2017,15.8,7.2,10,14.4,11,9,13,9.8,0.0,0.0,,
05-Ene-2017,16.4,6.8,10.8,15.6,11.8,9.4,14.2,10.2,0.0,0.0,,
06-Ene-2017,15.2,6.4,9.4,13.8,9.8,8.6,12.6,8.8,0.0,2.0,,
07-Ene-2017,14.8,6,9.2,13.6,9.6,8,12.4,8.2,3.2,0.0,,
08-Ene-2017,15.8,5.8,10,14.4,11.2,8.8,13,10.0,4.6,0.0,,
09-Ene-2017,15,6.6,9,13.8,11,8,12.6,10.0,11.4,0.0,,
10-Ene-2017,15.4,6.2,10,14.8,11.6,8.6,13.4,10.6,3.8,0.0,,
11-Ene-2017,14.8,5.8,8.8,14,10.4,7.4,12.8,9.2,7.9,0.0,,
12-Ene-2017,15.6,7,11.2,15.2,11.4,9.6,14,10.2,0.0,0.0,,
13-Ene-2017,15.8,6.8,10,14.6,10.8,9,13,9.2,2.2,0.0,,
14-Ene-2017,16,7.2,9.8,15.2,11,8.8,14,9.8,3.4,0.0,,
15-Ene-2017,16.6,6.6,9.4,15.8,11.6,8.2,14.4,10.2,0.2,0.0,,
16-Ene-2017,16.8,7,11.4,16.2,13,10,15,11.8,0.0,0.0,,
17-Ene-2017,17.4,7.4,11.2,14.8,10,10.2,13.4,8.8,3.4,0.0,,
18-Ene-2017,16,7.2,11.8,15.4,10.6,10.6,14,9.4,0.0,0.0,,
19-Ene-2017,15.6,7,11.2,15,12.4,9.8,14.2,11.0,0.0,5.2,,
20-Ene-2017,16.2,6.6,11,15.6,10.4,10,13.6,9.0,0.0,0.0,,
21-Ene-2017,16.4,6.2,10.8,15.8,12.6,9.6,14.4,11.0,0.0,0.0,,
22-Ene-2017,16.8,7,11.4,16.2,11.8,9.8,15,10.2,0.0,0.0,,
23-Ene-2017,16.2,6.8,10,15.8,10.2,8.8,13.6,8.8,7.4,0.0,,
24-Ene-2017,15,5,9.6,14,10.6,8,13,9.0,16.3,0.0,,
25-Ene-2017,14.6,5.4,9.8,13.8,10,8.4,12.2,8.8,11.2,0.0,,
26-Ene-2017,14.2,5.2,9,13.4,9.4,8,12,8.0,18.8,8.0,,
27-Ene-2017,14.8,5.8,9.6,14.2,10,8.4,13,8.8,22.4,0.0,,
28-Ene-2017,15.8,5,10.2,15,10.6,8.8,13.6,9.4,4.8,0.0,,
29-Ene-2017,16,6.6,9.4,15.6,10.8,8,14,9.0,0.0,0.0,,
30-Ene-2017,16.8,7.4,10.8,16,11.2,9.2,14.4,9.2,0.0,0.0,,
31-Ene-2017,17.2,6.2,9.4,16.6,11.8,7.8,14.8,9.8,0.0,0.0,,
01-Feb-2017,17.8,5,10.8,16.4,11.2,9,15,9.8,0.0,0.0,,
02-Feb-2017,17,7,11.2,16,10.8,9.8,14.4,9.0,0.0,0.0,,
03-Feb-2017,17.8,6.6,11.4,17,13.2,10,15.2,11.8,0.0,0.0,,
04-Feb-2017,19.8,7,12,18.4,13.6,10.4,16.2,12.0,0.0,0.0,,
05-Feb-2017,18.8,7.4,12,17.2,13,10.8,15,12.2,0.0,0.0,,
06-Feb-2017,18.2,7,11.6,17,12,10,15.8,10.6,0.0,0.0,,
07-Feb-2017,18.4,7.6,12.2,17.6,12.8,10.6,16.4,11.6,0.0,0.0,,
08-Feb-2017,17.8,7.8,11.6,17.2,12.6,10,15.4,11.0,0.0,0.0,,
09-Feb-2017,19.6,7.6,12.2,18,13.2,10.6,16.6,11.8,0.0,0.0,,
10-Feb-2017,19,8,11.8,17.6,12.4,10,16,11.0,0.0,0.0,,
11-Feb-2017,18.6,7.6,11.2,16.8,11.2,9.4,15.6,9.8,0.0,0.0,,
12-Feb-2017,18,8.2,10.4,15.2,10.4,9,14,9.0,0.0,0.0,,
13-Feb-2017,18.8,7.4,11.8,16.8,11,10.4,15.2,10.0,0.0,0.0,,
14-Feb-2017,18.4,7.2,12.2,17.4,12.2,10.2,15.6,10.4,0.0,0.0,,
15-Feb-2017,18,7.6,10.6,17.2,13.4,9.2,16,12.0,0.0,0.0,,
16-Feb-2017,17.4,7.4,10.4,16,10.8,8.8,14.4,9.2,0.0,0.0,,
17-Feb-2017,17.2,7.8,11,15.2,11.8,9.6,14,10.0,0.0,0.0,,
18-Feb-2017,16.4,6.6,11.4,15.8,10.2,10,14.8,8.8,6.0,5.2,,
19-Feb-2017,15,5.2,9.8,14.2,9.8,8.2,12.8,8.0,8.8,0.0,,
20-Feb-2017,14.4,6,9.4,14,9,8,12.2,7.8,15.2,0.0,,
21-Feb-2017,15.8,5.4,9,13.8,8.8,7.6,12.2,7.6,10.0,0.0,,
22-Feb-2017,16.4,6.6,9.4,13.2,10,8,12,9.0,1.2,0.0,,
23-Feb-2017,17.6,7,11,14.4,11,10,13,9.8,0.0,0.0,,
24-Feb-2017,17,6.8,10.4,14.8,11.8,9,13.2,10.4,0.0,0.0,,
25-Feb-2017,15.2,6.4,9.8,12.8,10.2,8.2,11.6,8.8,16.8,9.2,,
26-Feb-2017,14.6,6,9.4,13.2,9.6,8,12,8.4,14.8,0.0,,
27-Feb-2017,13.8,5.8,10,12.6,10.2,8.2,11.4,9.0,18.2,0.0,,
28-Feb-2017,14,5.2,9.8,12.8,9.4,8.6,11.6,8.0,5.2,3.0,,
01-Mar-2017,14.4,5,9.4,13.8,10,8,12.6,9.0,8.6,0.0,,
02-Mar-2017,14.8,6.2,9.8,13.4,10.2,8.4,12,8.8,21.6,0.0,,
03-Mar-2017,15.2,6.6,10.6,14.8,11,9,13.2,9.8,0.0,0.0,,
04-Mar-2017,14.8,5,9,13,10.2,7.8,12,9.0,28.4,15.0,,
05-Mar-2017,14.6,5.6,10.2,13.6,10.4,9,12.4,9.2,4.6,0.0,,
06-Mar-2017,15.6,6.8,10.8,14.8,11.6,9.4,13.6,10.2,0.0,0.0,,
07-Mar-2017,15,6,9.8,14.2,10,8.2,13,8.8,0.0,0.0,,
08-Mar-2017,15.6,7.2,11.6,14.8,11.4,10,13.4,10.0,8.8,0.0,,
09-Mar-2017,14.4,6,9.8,13,11.6,8.2,12,10.2,0.0,2.4,,
10-Mar-2017,14.8,5.2,8.8,14.2,10.8,7.4,13.2,9.4,4.7,2.4,,
11-Mar-2017,16,5.2,9.4,15,11,8,13.6,9.8,1.6,0.0,,
12-Mar-2017,16.4,6,10.8,15.4,10.2,9.2,14,9.0,0.0,2.0,,
13-Mar-2017,15.8,6.6,10,14,9.8,8.8,12.8,8.4,1.2,0.0,,
14-Mar-2017,15.6,5.4,10.4,14.8,10.4,9,13.4,8.8,4.8,0.0,,
15-Mar-2017,15.4,6,10.6,14.4,10,9.2,13,8.2,0.0,0.0,,
16-Mar-2017,14.8,5,9.2,14,10.6,8,13,8.8,8.2,0.0,,
17-Mar-2017,16.8,5.8,8.8,13.6,9.4,7.8,12.4,8.0,24.4,0.0,,
18-Mar-2017,15.8,5.2,11.4,15.2,10.8,10,14,9.2,0.0,0.0,,
19-Mar-2017,16.2,7.2,11.8,15.6,11.2,10.4,14.2,10.0,0.0,0.0,,
20-Mar-2017,17,7,11.2,15.4,11.6,10,13.8,9.6,0.0,0.0,,
21-Mar-2017,17.4,6.8,10.4,15,10,9,13.2,8.8,0.0,0.0,,
22-Mar-2017,16,6.2,9.6,14.8,10.6,8.2,13.8,9.4,0.0,0.0,,
23-Mar-2017,15.2,5.4,9.8,13.6,11,8.6,12.8,10.0,3.8,5.0,,
24-Mar-2017,15.4,5,8.8,13.8,9.8,7.4,12.4,8.6,5.6,5.2,,
25-Mar-2017,15,5.8,9.4,13.2,9.4,8,12,8.0,3.2,0.0,,
26-Mar-2017,16.2,5.6,10,14.8,11.2,8.4,13.2,10.0,3.4,0.0,,
27-Mar-2017,15,6,10.6,14.6,11,9.2,13,9.6,0.0,0.0,,
28-Mar-2017,15.2,7.2,10,13.8,10.8,9,12.4,9.8,0.2,0.0,,
29-Mar-2017,13.8,5.4,9.8,13.2,10,8,12,8.8,16.2,0.0,,
30-Mar-2017,15.8,5,10.2,15,11,9,13.4,10.0,4.4,0.0,,
31-Mar-2017,15.4,5.6,9.8,14,10.6,8.9,12.8,9.2,3.4,0.0,,
01-Ene-2018,15.2,5,10,14.6,9.8,8.8,13.2,8.6,0.0,0.0,,
02-Ene-2018,16,4.2,9.8,15,10.2,8,13.6,9.0,2.0,0.0,,
03-Ene-2018,16.6,5.4,9.8,15.2,11,8.4,14,9.8,1.2,0.0,,
04-Ene-2018,15.2,4.2,10,14.8,11.6,9,13.4,10.0,17.2,0.0,,
05-Ene-2018,17.8,7.6,11.2,17.2,13,9.6,15.8,11.8,0.0,0.0,,
06-Ene-2018,17.6,8,12,16.2,11.8,11,15,10.2,0.0,0.0,,
07-Ene-2018,18,5.4,9.4,14.6,10.2,8.2,13.2,9.0,13.8,0.0,,
08-Ene-2018,18.2,4,10,13.6,9.4,9,12.4,8.0,42.6,5.0,,
09-Ene-2018,17.4,5.8,10.6,14.8,10.2,9.2,13.2,9.0,4.8,0.0,,
10-Ene-2018,17.8,5.4,10.8,15.8,9.6,9,14.4,8.2,1.8,0.0,,
11-Ene-2018,18.2,4.4,9,14.6,8.8,8,13.4,7.6,12.6,10.0,,
12-Ene-2018,14.8,4,8,13.8,10.2,7,12.4,8.8,15.8,2.4,,
13-Ene-2018,15.6,4.6,9.8,14.6,9.8,8.4,13.2,8.2,3.2,0.0,,
