Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2014,0,0.0
02-Ene-2014,0,0.0
03-Ene-2014,0,0.0
04-Ene-2014,0,0.0
05-Ene-2014,0,0.0
06-Ene-2014,0,0.0
07-Ene-2014,0,0.0
08-Ene-2014,0,5.0
09-Ene-2014,1,2.3
10-Ene-2014,0,4.2
11-Ene-2014,0,2.1
12-Ene-2014,0,0.5
13-Ene-2014,0,6.2
14-Ene-2014,.5,2.9
15-Ene-2014,0,0.0
16-Ene-2014,0,0.0
17-Ene-2014,0,4.0
18-Ene-2014,0,5.2
19-Ene-2014,0,0.0
20-Ene-2014,0,0.0
21-Ene-2014,0,0.0
22-Ene-2014,0,0.0
23-Ene-2014,0,0.0
24-Ene-2014,0,0.0
25-Ene-2014,0,0.0
26-Ene-2014,0,0.0
27-Ene-2014,0,0.0
28-Ene-2014,0,0.0
29-Ene-2014,0,0.0
30-Ene-2014,0,3.6
31-Ene-2014,.6,1.7
01-Feb-2014,0,0.0
02-Feb-2014,1.2,0.0
03-Feb-2014,0,0.0
04-Feb-2014,0,4.8
05-Feb-2014,0,11.0
06-Feb-2014,1.8,7.3
07-Feb-2014,0,3.2
08-Feb-2014,0,0.0
09-Feb-2014,0,0.0
10-Feb-2014,0,0.0
11-Feb-2014,0,0.0
12-Feb-2014,0,0.0
13-Feb-2014,0,0.0
14-Feb-2014,0,0.0
15-Feb-2014,0,0.0
16-Feb-2014,0,0.0
17-Feb-2014,0,0.0
18-Feb-2014,0,2.7
19-Feb-2014,0,0.0
20-Feb-2014,0,0.0
21-Feb-2014,0,0.0
22-Feb-2014,0,0.0
23-Feb-2014,0,2.5
24-Feb-2014,3,5.5
25-Feb-2014,0,1.9
26-Feb-2014,1.8,3.7
27-Feb-2014,1.9,0.8
28-Feb-2014,0,0.9
01-Mar-2014,.9,10.7
02-Mar-2014,4.6,22.0
03-Mar-2014,1.7,10.0
04-Mar-2014,1.8,0.0
05-Mar-2014,.4,8.7
06-Mar-2014,0,7.8
07-Mar-2014,1,8.4
08-Mar-2014,1,13.1
09-Mar-2014,.8,4.6
10-Mar-2014,1.6,4.3
11-Mar-2014,.4,2.8
12-Mar-2014,0,0.0
13-Mar-2014,0,0.3
14-Mar-2014,3.5,0.2
15-Mar-2014,0,0.0
16-Mar-2014,0,0.0
17-Mar-2014,0,2.4
18-Mar-2014,0,0.0
19-Mar-2014,0,0.0
20-Mar-2014,0,0.0
21-Mar-2014,0,0.0
22-Mar-2014,0,0.0
23-Mar-2014,0,0.8
24-Mar-2014,0,0.6
25-Mar-2014,0,0.5
26-Mar-2014,0,0.0
27-Mar-2014,0,0.0
28-Mar-2014,0,0.0
29-Mar-2014,0,0.0
30-Mar-2014,0,0.0
31-Mar-2014,0,0.0
01-Ene-2015,0,0.0
02-Ene-2015,0,0.0
03-Ene-2015,0,1.1
04-Ene-2015,0,1.6
05-Ene-2015,0,0.0
06-Ene-2015,0,8.6
07-Ene-2015,0,0.0
08-Ene-2015,0,0.0
09-Ene-2015,0,0.0
10-Ene-2015,0,0.0
11-Ene-2015,0,0.0
12-Ene-2015,0,0.0
13-Ene-2015,0,0.0
14-Ene-2015,0,0.0
15-Ene-2015,0,0.0
16-Ene-2015,0,0.0
17-Ene-2015,0,0.0
18-Ene-2015,0,3.7
19-Ene-2015,.5,0.0
20-Ene-2015,0,0.0
21-Ene-2015,0,0.0
22-Ene-2015,0,12.0
23-Ene-2015,1.7,4.7
24-Ene-2015,0,1.7
25-Ene-2015,0,0.0
26-Ene-2015,0,0.0
27-Ene-2015,0,0.0
28-Ene-2015,0,0.0
29-Ene-2015,0,0.0
30-Ene-2015,0,0.0
31-Ene-2015,0,12.7
01-Feb-2015,2.7,0.0
02-Feb-2015,0,1.5
03-Feb-2015,0,0.0
04-Feb-2015,0,0.0
05-Feb-2015,0,0.8
06-Feb-2015,0,0.0
07-Feb-2015,0,5.5
08-Feb-2015,0,4.6
09-Feb-2015,0,9.8
10-Feb-2015,1.1,1.3
11-Feb-2015,0,0.0
12-Feb-2015,0,0.0
13-Feb-2015,0,0.0
14-Feb-2015,0,0.0
15-Feb-2015,.5,0.0
16-Feb-2015,0,0.0
17-Feb-2015,0,0.0
18-Feb-2015,0,0.0
19-Feb-2015,0,0.0
20-Feb-2015,0,4.1
21-Feb-2015,0,12.2
22-Feb-2015,2,1.0
23-Feb-2015,0,0.5
24-Feb-2015,0,6.6
25-Feb-2015,1,3.0
26-Feb-2015,.5,0.0
27-Feb-2015,0,0.0
28-Feb-2015,0,17.2
01-Mar-2015,0,4.3
02-Mar-2015,1.6,3.3
03-Mar-2015,0,5.5
04-Mar-2015,1.8,1.5
05-Mar-2015,1.4,0.0
06-Mar-2015,0,2.3
07-Mar-2015,0,0.0
08-Mar-2015,0,2.0
09-Mar-2015,0,0.8
10-Mar-2015,0,0.0
11-Mar-2015,0,4.0
12-Mar-2015,.8,2.8
13-Mar-2015,0,1.5
14-Mar-2015,0,1.0
15-Mar-2015,0,0.0
16-Mar-2015,3.8,12.7
17-Mar-2015,0,14.6
18-Mar-2015,9.5,3.6
19-Mar-2015,5.6,11.0
20-Mar-2015,6.5,7.0
21-Mar-2015,8.8,4.3
22-Mar-2015,4.3,2.2
23-Mar-2015,0,37.0
24-Mar-2015,0,1.7
25-Mar-2015,.5,0.0
26-Mar-2015,0,0.0
27-Mar-2015,0,0.0
28-Mar-2015,0,0.0
29-Mar-2015,0,2.7
30-Mar-2015,0,5.0
31-Mar-2015,0,0.0
01-Ene-2016,0,0.0
02-Ene-2016,0,0.0
03-Ene-2016,0,0.0
04-Ene-2016,0,0.0
05-Ene-2016,0,0.0
06-Ene-2016,0,0.0
07-Ene-2016,0,0.0
08-Ene-2016,0,0.0
09-Ene-2016,0,0.0
10-Ene-2016,0,0.0
11-Ene-2016,0,0.0
12-Ene-2016,0,0.0
13-Ene-2016,0,0.0
14-Ene-2016,0,0.0
15-Ene-2016,0,0.0
16-Ene-2016,0,0.0
17-Ene-2016,0,0.0
