Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,19.6,8.2,11.8,14.3,12.4,11.2,13.8,11.6,0.0,12.2,,
02-Ene-2017,18.4,7.8,10.2,13.2,11.6,10,12,10.8,3.8,7.2,,
03-Ene-2017,19.2,8.6,10.4,13.6,12.8,10.2,12.8,11.4,0.0,4.6,,
04-Ene-2017,20,9.4,11.8,14.2,13.2,10.4,12.6,12.6,0.0,6.6,,
05-Ene-2017,19.8,9,12.5,13.8,12.2,11.6,12.4,11.4,5.4,8.6,,
06-Ene-2017,20.2,9.6,10.8,15.2,12,10.6,14.8,11.6,0.0,5.8,,
07-Ene-2017,21.6,10.2,11.2,14.4,12.6,10.2,12.5,11.4,0.0,0.0,,
08-Ene-2017,22.8,10.6,13.2,17.6,14.2,11.8,15.4,12.8,0.0,0.0,,
09-Ene-2017,20.6,8.8,12.5,14.8,13.6,11.4,13.2,12.4,0.0,7.3,,
10-Ene-2017,19,8.2,13.4,15.2,14.4,12.2,13,12.8,0.0,8.0,,
11-Ene-2017,20.8,9.8,10,13.4,12,9.8,13.2,11.6,7.2,5.8,,
12-Ene-2017,20,9.2,11,13.2,11.8,10.8,13,10.4,4.4,6.6,,
13-Ene-2017,19.2,8.4,10.8,16,12.8,10.2,15.2,12.0,0.0,8.8,,
14-Ene-2017,17.8,7.6,11.4,16.4,13,10.6,15.6,12.8,6.8,7.6,,
15-Ene-2017,18.2,8,11.2,17.6,13.4,10.8,15.2,13.0,8.2,9.8,,
16-Ene-2017,16.6,7.8,10.6,15.8,13.2,10.2,15,12.6,7.6,8.2,,
17-Ene-2017,20.4,8.6,11.6,19.4,14,11.2,16.5,13.4,8.8,2.2,,
18-Ene-2017,19.8,9,12.2,18.6,13.6,11.8,15.4,12.2,6.4,2.6,,
19-Ene-2017,20.2,9.4,13.2,18,13.8,12.8,16.8,12.6,0.0,6.8,,
20-Ene-2017,18.6,8.8,12.4,17.2,13.6,12,15.2,12.4,8.4,4.2,,
21-Ene-2017,18.4,8.2,10.2,14.2,13.2,9.8,13.4,11.6,10.2,9.5,,
22-Ene-2017,17.2,7.6,11.4,13.6,12,10.2,12.6,11.4,7.4,6.5,,
23-Ene-2017,18.2,8.8,11.6,13.2,12.2,10,12.4,11.1,9.4,7.2,,
24-Ene-2017,19.6,9,10,14.4,13.6,9.6,13.2,11.7,8.6,7.4,,
25-Ene-2017,20.8,8.4,10.4,13.8,12.4,9.4,12.6,11.1,9.2,6.2,,
26-Ene-2017,19.2,9.6,11.6,14.6,13,10.4,13,11.7,3.2,0.0,,
27-Ene-2017,18.6,8,10.8,14.2,13.2,9.6,13.4,11.7,4.4,6.0,,
28-Ene-2017,19.8,7.4,10.2,13.6,12.4,9.4,12.4,11.1,3.8,0.0,,
29-Ene-2017,17.6,8.6,11.4,14.4,13.6,10.2,13.2,11.9,5.6,8.0,,
30-Ene-2017,18.2,9.2,10.6,13.8,12,9.4,11.8,10.9,4.8,6.5,,
31-Ene-2017,19.4,10,11.8,14.2,12.8,10.6,12.8,11.7,4.2,7.2,,
01-Feb-2017,18.4,8.8,12.4,16.2,13.6,11.2,14.8,12.2,0.0,7.6,E,1.1
02-Feb-2017,16.8,7.6,11.6,15.3,12.4,10.8,13.6,11.4,9.2,9.6,N,2.5
03-Feb-2017,18,9.2,11.8,15.2,12.8,10.4,14.4,11.6,8.4,2.8,N,1.1
04-Feb-2017,19.8,10.4,12.2,14.8,13,11.6,13.2,12.4,6.2,0.0,N,4.4
05-Feb-2017,20.2,9.6,12.4,15.6,13.8,11,14.4,12.8,0.0,3.0,E,1.1
06-Feb-2017,20.8,8.6,12.6,15,13.4,11.6,13.6,11.9,0.0,5.8,N,2.5
07-Feb-2017,18.6,8.2,12.5,14.8,13.6,11.4,13.8,12.0,0.0,9.8,N,4.4
08-Feb-2017,19.4,9,11.2,15.4,12.8,10.2,14.2,11.6,0.0,7.6,N,1.1
09-Feb-2017,18.8,8.4,13.4,16.6,14.2,12.6,15.4,13.4,8.9,4.4,N,2.5
10-Feb-2017,17.6,7.8,11.8,15.4,12.4,10.4,14.9,10.8,0.0,9.8,E,4.4
11-Feb-2017,17.2,7,12.2,15.4,13,11.6,14.2,12.4,10.4,8.6,N,4.4
12-Feb-2017,16.8,6.8,11.8,14.6,12.6,10.4,13.4,11.8,9.4,6.2,N,1.1
13-Feb-2017,17.6,7.2,12.6,15.2,13.2,11.8,14,12.4,8.8,5.6,N,2.5
14-Feb-2017,18,8.2,12.4,16.4,13.6,11.2,14.8,12.8,6.6,8.2,E,1.1
15-Feb-2017,17.8,9.4,12.6,15.6,13,11.8,13.6,12.2,7.2,4.6,N,2.5
16-Feb-2017,19.2,10.2,12.8,17.2,13.2,10.8,16.2,12.4,6.6,5.8,N,4.4
17-Feb-2017,19.6,9.8,11.6,16.8,12.4,10.6,15.4,11.6,7.6,6.2,N,1.1
18-Feb-2017,18.4,10.4,13.2,17.4,14.6,12.4,16,13.4,2.6,7.4,E,2.5
19-Feb-2017,17.2,8.6,11.8,15.6,12.4,10.6,14.8,11.8,6.6,4.8,N,4.4
20-Feb-2017,16.8,8.8,11.2,14.4,12.6,10.2,13.6,11.4,0.0,3.2,N,1.1
21-Feb-2017,19.2,9.6,12.8,16.8,13.2,11.6,15,11.8,0.0,5.8,E,2.5
22-Feb-2017,18.6,10.4,11.6,15.4,12.4,10.2,14.2,11.6,0.0,8.6,N,1.1
23-Feb-2017,18.2,8.6,12.4,16.2,13.8,11.6,15.4,12.4,12.5,7.2,N,4.4
24-Feb-2017,17.8,8.2,12.2,15,13.2,11.8,14.4,12.6,6.8,4.4,E,1.1
25-Feb-2017,19,9.8,13.4,16.4,14.6,12.6,15.2,13.8,0.0,5.4,N,1.1
26-Feb-2017,17.2,8.4,12.8,15.6,13.4,11.4,14.8,12.4,9.6,6.8,N,2.5
27-Feb-2017,17.6,8,13.2,15.2,14.6,12.4,14.6,13.6,13.2,9.8,N,4.4
28-Feb-2017,16.8,7.8,12.6,14.8,13.8,11.8,13.4,12.6,0.0,5.2,N,1.1
01-Mar-2017,17.6,8.8,12.4,16,13.2,11.2,15.2,12.4,0.0,10.8,N,2.5
02-Mar-2017,18.4,7.2,11.6,15.8,12.6,10.4,14.6,11.8,0.0,6.2,N,1.1
03-Mar-2017,16.8,7,12,14.6,13.4,11.6,13.2,12.6,3.4,9.8,E,1.1
04-Mar-2017,17.4,6.2,11.8,15.2,12.6,10.2,14,11.2,5.6,8.8,N,2.5
05-Mar-2017,16.8,7.6,12.2,14.8,13,11,13.2,12.8,8.4,9.2,N,2.5
06-Mar-2017,18.6,7.8,12.6,16.4,13.2,11.2,15.4,12.6,3.6,0.0,N,4.4
07-Mar-2017,19.2,8.8,12.8,17.2,13.4,11.6,16.6,12.2,0.0,0.0,E,2.5
08-Mar-2017,16.8,6.4,11.6,15.2,12.2,10.4,14.8,11.6,8.2,12.8,N,1.1
09-Mar-2017,16.6,7.2,11.2,14.6,12.8,10.2,13.4,11.4,9.8,8.8,N,4.4
10-Mar-2017,17.2,8.2,11.4,15.2,12.6,10.6,14.8,11.8,10.4,7.6,N,1.1
11-Mar-2017,18,7.4,12,14.2,13.4,11.6,13.6,12.8,0.0,9.4,N,2.5
12-Mar-2017,17.8,8.4,11.8,13.6,12.6,10.8,12.8,11.6,8.8,12.4,N,1.1
13-Mar-2017,16.2,6.6,12.8,14,13.2,11.4,13.2,12.4,9.4,14.6,N,2.5
14-Mar-2017,17,7,12,14.2,13.8,13.8,13.6,12.2,13.8,12.8,N,4.4
15-Mar-2017,15.8,6.8,13.4,15.8,14.2,12.2,14.4,13.4,14.0,13.6,N,2.5
16-Mar-2017,16.4,6.4,13.2,15.2,14,12.6,14.6,13.8,12.7,10.4,E,1.1
17-Mar-2017,17.6,7.2,14,16.4,15.2,13.2,15.2,14.2,8.8,4.6,C,
18-Mar-2017,17.4,8,13.6,15.8,14.2,12.4,14.6,13.6,6.2,8.4,N,2.5
19-Mar-2017,16.8,7.6,12,14.6,13.6,11.6,13.8,12.8,10.6,9.2,E,2.5
20-Mar-2017,17.2,6.2,12.6,16.2,13.2,11.8,15.4,12.6,12.4,10.8,N,1.1
21-Mar-2017,18.4,7.8,10,17.4,11.6,9.6,16.2,10.8,8.2,6.2,N,2.5
22-Mar-2017,19.2,8.2,11.6,16.8,12.2,10.2,15.4,11.4,5.6,4.8,E,1.1
23-Mar-2017,18.6,8.4,10.8,15.6,11.4,9.8,14.6,10.6,6.0,7.4,C,
24-Mar-2017,18.8,9.2,11.4,16.4,12.2,10.6,15.8,11.8,8.6,0.0,N,1.1
25-Mar-2017,17.2,7.2,11.6,15.6,12.8,10.8,14.4,11.6,14.8,0.0,N,4.4
26-Mar-2017,17.6,8,12.2,15.8,13.4,11.4,14.6,12.8,13.6,12.4,E,2.5
27-Mar-2017,18,8.6,12.8,16.2,13.6,11.6,15.4,12.4,0.0,10.2,N,1.1
28-Mar-2017,17.8,7.4,11.2,15.4,12.6,10.4,14.2,11.8,12.8,6.6,N,2.5
29-Mar-2017,19.2,8.8,13.6,16.2,14.2,12.8,15.8,13.6,0.0,0.0,N,4.4
30-Mar-2017,20.4,9.6,14.2,17,15.6,13.4,16.6,14.8,0.0,0.0,N,2.5
31-Mar-2017,19.8,10.2,11,16.2,12.8,10.6,15.8,11.6,0.0,5.2,E,1.1
01-Ene-2018,18.8,8.2,12.4,17.4,13.2,11,15.6,12.4,0.0,4.2,N,2.5
02-Ene-2018,17.6,9.4,11.6,16.2,12.8,9.8,15.4,10.6,0.0,5.6,N,1.1
03-Ene-2018,18.2,7.8,12.2,17.6,13.4,10.6,16.2,11.8,0.0,0.0,N,1.1
04-Ene-2018,19.4,8.6,13.2,18,14.4,11.8,16.8,12.6,0.0,0.0,E,2.5
05-Ene-2018,18.6,7.2,11.6,16.8,12.8,10.2,15.2,11.4,0.0,6.4,N,2.5
06-Ene-2018,16.2,6.8,12.4,15.2,13.2,10.8,14,11.8,0.0,5.6,E,4.4
07-Ene-2018,18.2,7.4,12.6,17.4,13.4,11.2,16.4,12.2,6.8,0.0,N,2.5
08-Ene-2018,17.4,8.8,12.4,16.6,13.8,10.6,15.2,12.4,0.0,7.2,N,2.5
09-Ene-2018,18.4,9.2,13.2,17.2,14.4,11.8,16.4,12.8,8.6,7.8,N,1.1
10-Ene-2018,18.2,8.2,12.2,16.8,13,11.2,15.4,12.2,9.2,8.6,E,4.4
11-Ene-2018,16.8,6.6,11.4,15.2,12.6,10.2,14,11.4,10.4,8.8,N,2.5
12-Ene-2018,18.8,7.2,12.2,17.4,13.4,10.8,16.2,11.8,9.6,0.0,N,2.5
13-Ene-2018,19.4,9.6,13.4,18.2,14.2,11.8,16.6,12.6,0.0,7.8,N,1.1
14-Ene-2018,18,8.2,12.8,16.6,13.2,11.6,15.2,12.2,0.0,8.4,N,2.5
15-Ene-2018,17.6,7.8,12.2,16.2,13.4,10.2,15.4,11.8,0.0,8.8,N,4.4
16-Ene-2018,18.2,9.2,13.4,17.4,14.2,11.6,16.2,12.6,0.0,0.0,E,2.5
17-Ene-2018,17.2,8.4,12.4,16.2,13.6,10.8,14.6,11.6,0.0,9.2,N,4.4
18-Ene-2018,18.2,9.4,11.6,17.6,12.8,9.4,15.4,10.4,10.8,12.6,E,4.4
19-Ene-2018,17.8,8.6,12.8,16.4,13.2,11.2,14.8,12.6,7.6,10.2,N,4.4
20-Ene-2018,18.4,8.8,13.2,17,14.6,12.4,15.6,13.2,0.0,6.4,N,2.5
21-Ene-2018,17.2,8.2,12.8,16.4,13.4,11.2,15.2,12.6,7.8,5.6,N,2.5
22-Ene-2018,16.6,6.4,11.8,15.2,12.6,10.4,14,11.2,9.8,8.4,E,2.5
23-Ene-2018,15.8,7.2,11.6,14.2,12.8,10.2,12.4,11.6,0.0,14.6,N,4.4
24-Ene-2018,17.6,8.4,12.6,16.4,13.6,11.4,14.6,12.2,0.0,0.0,E,2.5
25-Ene-2018,18.4,9.2,13.4,17.2,14.2,12.2,15.6,13.4,0.0,8.6,N,4.4
26-Ene-2018,21.4,10.2,14.2,19.8,15.6,13.6,18.2,14.2,0.0,7.2,E,2.5
27-Ene-2018,21.8,11.4,13.8,19.2,14.4,12.4,18.6,13.2,0.0,0.0,N,4.4
28-Ene-2018,22.6,12.2,12.8,20.4,13.6,11.4,18.8,12.2,0.0,0.0,N,4.4
29-Ene-2018,23.2,11.8,14.2,21.6,15.2,12.8,18.6,13.4,0.0,0.0,N,2.5
30-Ene-2018,23.8,12.4,13.6,20.8,14.4,11.6,18.2,12.6,0.0,0.0,N,4.4
31-Ene-2018,22.4,10.6,14.8,19.6,15.4,13.2,17.8,13.2,0.0,0.0,N,4.4
01-Feb-2018,19.6,12.2,13.6,17.2,14.2,12.4,15.4,13.4,0.0,4.6,N,4.4
02-Feb-2018,20.4,11.8,14.4,18.4,15.2,12.6,16.8,13.8,0.0,0.0,N,4.4
03-Feb-2018,21.8,12.6,14.6,19,15.8,12.8,17.2,13.6,0.0,0.0,E,4.4
04-Feb-2018,20.6,11.2,13.8,18.6,14.6,11.6,16.6,12.8,0.0,0.0,N,2.5
05-Feb-2018,23.6,12.8,14.6,20.8,15.2,12.8,18.2,13.4,0.0,0.0,E,4.4
06-Feb-2018,22.4,12.6,13.4,19.6,14.8,11.6,17.4,12.8,0.0,0.0,E,2.5
07-Feb-2018,21.6,10.8,13.8,20.2,14.2,12.2,18.2,13.4,0.0,3.6,N,2.5
08-Feb-2018,23.2,11.4,14.6,21.4,15.4,12.6,19.4,13.8,0.0,0.0,N,4.4
09-Feb-2018,23.6,12.4,14.2,22.2,15.6,13.2,20.2,14.2,0.0,0.0,N,2.5
10-Feb-2018,22.8,11.8,13.6,19.8,14.8,11.4,17.6,12.6,0.0,0.0,N,4.4
11-Feb-2018,21.4,12.2,13.2,20.2,14.2,11.8,18.4,12.8,0.0,0.0,N,2.5
12-Feb-2018,22.2,11.6,14,19.8,15.4,12.6,17.6,13.4,0.0,0.0,N,2.5
13-Feb-2018,19.8,10.6,13.8,17.6,14.2,11.6,15.4,12.8,0.0,0.0,N,1.1
14-Feb-2018,18.2,8.4,13.2,17.4,14.4,12.2,15.6,13.2,0.0,3.6,N,2.5
15-Feb-2018,16.8,7.2,12.2,15.6,13.2,10.8,13.4,11.6,4.8,7.2,N,4.4
16-Feb-2018,15.2,6.8,11.4,14.2,12.6,9.6,12.8,10.4,0.0,0.0,E,2.5
17-Feb-2018,16.2,6.4,12.8,15,13.2,10.4,13.6,11.2,10.8,0.0,N,4.4
18-Feb-2018,15.4,6.6,13.2,14.8,14.4,11.6,13.4,12.8,12.6,14.8,E,2.5
19-Feb-2018,16,5.8,12.8,15.2,13.6,10.4,13.6,11.6,10.6,4.6,N,4.4
20-Feb-2018,16.8,7.2,12.4,15.4,13.4,10.6,13.8,11.8,8.4,3.8,N,2.5
21-Feb-2018,17.4,8.8,13.2,16.8,14.6,11.4,14.6,12.4,6.2,5.8,N,2.5
22-Feb-2018,18.4,8.2,13,17.2,14.4,11.8,15.2,12.6,6.6,0.0,N,1.1
23-Feb-2018,21.8,9.6,14.4,19.8,15.2,12.6,17.4,13.4,0.0,0.0,E,1.1
24-Feb-2018,20.6,10.2,14.6,18.6,15.4,11.8,16.2,12.6,0.0,0.0,N,2.5
25-Feb-2018,19.4,8.8,13.4,17.8,14.2,12.6,16,13.2,0.0,9.8,E,2.5
26-Feb-2018,16.4,6.2,12.6,15.2,13.2,11.2,14.4,12.4,10.6,7.4,N,1.1
27-Feb-2018,15.8,5.6,12.4,14.6,13.6,11,13.8,12.6,9.8,8.2,N,1.1
28-Feb-2018,16.2,6.4,13.6,15.4,14.4,11.8,14.2,12.4,6.2,7.2,N,1.1
01-Mar-2018,16.6,7.2,11.4,15.2,12.8,10.2,14.4,11.6,0.0,11.2,N,2.5
02-Mar-2018,17.4,6.8,12.2,16.4,13.4,11.4,15.2,12.2,0.0,10.8,N,1.1
03-Mar-2018,15.2,7.4,11.2,14.6,12.4,10.4,13,11.2,9.6,16.8,E,1.1
04-Mar-2018,17.2,6.6,12.2,15.8,13.6,11.2,14.2,12.4,9.8,12.4,N,2.5
05-Mar-2018,16.4,7,11.8,15.2,12.4,10.4,14.6,11.2,0.0,10.6,E,2.5
06-Mar-2018,16.2,5.2,12.2,15.4,13.2,11.2,13.8,12.4,8.6,9.2,N,4.4
07-Mar-2018,15.8,6.8,11.4,14.2,12.6,10.2,13.2,11.2,12.2,6.4,N,2.5
08-Mar-2018,17.6,7.4,12.6,16.2,13.4,11.4,14.8,12.8,4.8,5.2,E,2.5
09-Mar-2018,18.4,8.2,12.8,17.6,13.6,11.6,15.4,12.2,4.8,2.6,N,1.1
