Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,0,1.9
02-Ene-2017,0,2.2
03-Ene-2017,0,2.6
04-Ene-2017,0,0.0
05-Ene-2017,0,0.0
06-Ene-2017,.5,1.0
07-Ene-2017,.8,3.1
08-Ene-2017,0,2.9
09-Ene-2017,0,0.0
10-Ene-2017,.4,10.2
11-Ene-2017,4.1,5.9
12-Ene-2017,0,8.6
13-Ene-2017,1.3,3.8
14-Ene-2017,3.3,10.1
15-Ene-2017,1.1,7.1
16-Ene-2017,4.5,9.8
17-Ene-2017,.9,7.7
18-Ene-2017,.4,0.0
19-Ene-2017,.5,1.3
20-Ene-2017,3.7,0.0
21-Ene-2017,0,2.5
22-Ene-2017,0,3.9
23-Ene-2017,4.9,1.8
24-Ene-2017,2.7,4.0
25-Ene-2017,5.3,6.7
26-Ene-2017,24.4,4.1
27-Ene-2017,5.8,5.5
28-Ene-2017,0,0.0
29-Ene-2017,0,0.0
30-Ene-2017,.2,5.1
31-Ene-2017,4.2,6.2
01-Feb-2017,2.1,4.8
02-Feb-2017,3,3.2
03-Feb-2017,.9,8.6
04-Feb-2017,.1,7.4
05-Feb-2017,0,4.1
06-Feb-2017,0,0.0
07-Feb-2017,6.3,1.2
08-Feb-2017,.7,12.8
09-Feb-2017,.5,0.0
10-Feb-2017,0,6.7
11-Feb-2017,.2,2.1
12-Feb-2017,.4,4.1
13-Feb-2017,1.3,0.0
14-Feb-2017,1,7.0
15-Feb-2017,5.7,0.0
16-Feb-2017,0,0.0
17-Feb-2017,4.1,4.0
18-Feb-2017,0,5.8
19-Feb-2017,0,10.0
20-Feb-2017,0,0.6
21-Feb-2017,.4,2.4
22-Feb-2017,0,2.0
23-Feb-2017,2.2,0.4
24-Feb-2017,.2,0.5
25-Feb-2017,1.8,13.5
26-Feb-2017,4.1,10.8
27-Feb-2017,5.6,2.8
28-Feb-2017,.7,0.2
01-Mar-2017,.1,1.1
02-Mar-2017,1.8,1.3
03-Mar-2017,1.6,6.6
04-Mar-2017,1.4,3.3
05-Mar-2017,1.5,8.6
06-Mar-2017,4.6,5.6
07-Mar-2017,0,5.3
08-Mar-2017,0,14.1
09-Mar-2017,1.4,4.3
10-Mar-2017,5.7,12.0
11-Mar-2017,1,5.7
12-Mar-2017,1.4,0.5
13-Mar-2017,2.2,0.0
14-Mar-2017,4.8,4.7
15-Mar-2017,5.2,5.0
16-Mar-2017,3.9,2.1
17-Mar-2017,7.4,0.2
18-Mar-2017,2.6,0.0
19-Mar-2017,5.9,0.0
20-Mar-2017,3.8,1.5
21-Mar-2017,3.5,0.0
22-Mar-2017,3.2,3.5
23-Mar-2017,0,11.8
24-Mar-2017,2.2,0.0
25-Mar-2017,0,1.7
26-Mar-2017,0,0.0
27-Mar-2017,4,4.7
28-Mar-2017,2.3,4.3
29-Mar-2017,0,3.8
30-Mar-2017,1.3,5.2
31-Mar-2017,0,6.4
01-Ene-2018,0,0.0
02-Ene-2018,0,0.0
03-Ene-2018,0,0.0
04-Ene-2018,0,0.0
05-Ene-2018,0,0.0
06-Ene-2018,0,3.5
07-Ene-2018,.4,0.1
08-Ene-2018,0,5.9
09-Ene-2018,.3,3.9
10-Ene-2018,1,3.3
11-Ene-2018,1.2,5.5
12-Ene-2018,8.4,1.0
13-Ene-2018,0,0.0
14-Ene-2018,0,0.0
15-Ene-2018,0,0.0
