Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2018,33.8,20,20.8,31.2,25.6,20.4,24.2,23.4,0.0,0.0,NW,6.0
02-Ene-2018,36,19,20.4,34,26,20,26.2,24.0,0.0,0.0,NE,8.0
03-Ene-2018,34.6,21.6,22.6,33.4,26.4,22.2,25.4,23.6,0.0,0.0,NE,8.0
04-Ene-2018,27,20,20.4,24.6,22,20.2,22.4,21.0,0.0,17.2,C,
05-Ene-2018,30.6,19.2,20,29,23.6,19.6,23.4,22.2,2.0,1.5,C,
06-Ene-2018,33,20.2,21.4,32.6,22.6,21,24.8,21.8,0.0,2.5,NW,6.0
07-Ene-2018,32.8,19,20,32.2,23.4,19.6,24.2,22.2,0.0,0.0,NE,4.0
08-Ene-2018,27.8,18.4,19.8,23.6,22.2,19.2,21.6,21.0,4.8,35.4,C,
09-Ene-2018,25.6,17.8,19,23.2,22.4,18.4,22,20.6,45.6,25.2,C,
10-Ene-2018,26.2,17,19.4,23.6,22.2,18.2,22.2,20.4,10.4,16.8,C,
11-Ene-2018,26,18.2,20,23.8,21.4,19.4,22.4,20.8,3.5,18.2,C,
12-Ene-2018,27.6,17.6,19.4,26.2,22.4,19,22.2,21.0,0.0,2.0,C,
13-Ene-2018,30,19,20.6,29,23,20,23.4,22.0,0.0,0.0,C,
14-Ene-2018,31,19.4,21,30.2,23.2,20.6,24,22.2,0.0,0.0,C,
15-Ene-2018,25.2,20.6,21.6,23.4,21.4,21.2,22,20.6,0.0,38.6,C,
16-Ene-2018,29.2,16.2,19,27,22.6,18.6,22.6,21.4,18.8,2.0,C,
17-Ene-2018,30.8,19.2,20.4,29,23.6,20.2,23.2,22.2,4.5,3.4,C,
18-Ene-2018,31.4,18,20,30.2,23.6,19.4,23.6,22.8,2.3,0.0,NW,6.0
19-Ene-2018,26.8,19.2,20.6,23.4,22.4,20.4,21.6,21.0,0.0,12.6,C,
20-Ene-2018,32.2,17.2,19.4,31.6,23.6,18.6,24.2,22.6,0.0,0.0,NE,4.0
21-Ene-2018,32.8,19,21.8,32.4,22,20.6,24.4,21.0,0.0,8.2,NE,4.0
22-Ene-2018,29.4,15.8,18.6,28.2,22.6,17.6,23,21.6,10.4,0.0,NE,4.0
23-Ene-2018,30.4,17.4,19.6,28.6,22.4,19,23,21.2,0.0,0.0,NE,4.0
24-Ene-2018,30,17,19.4,28.2,22.8,18.8,23.4,21.4,0.0,0.0,SE,4.0
25-Ene-2018,30.8,19.4,20.6,29.6,22.6,20.4,23.6,21.4,0.0,0.0,NE,4.0
26-Ene-2018,32.8,21.4,22,32.2,24,21.4,24.2,22.6,0.0,0.0,NE,6.0
27-Ene-2018,33.4,21.8,22.6,32.8,25.6,22.2,25.2,24.0,0.0,0.0,NW,6.0
28-Ene-2018,33.8,20.6,21.4,33,24.6,21,25,23.2,0.0,0.0,NE,8.0
29-Ene-2018,33.6,21.4,22.2,33,25.2,22,25.4,24.3,0.0,0.0,NE,6.0
30-Ene-2018,34.2,22.2,23,33.6,25.4,22.6,24.6,23.8,0.0,0.0,NE,6.0
31-Ene-2018,35.2,23,23.6,34,26.8,23.2,25.6,24.6,0.0,0.0,NE,8.0
01-Feb-2018,36.8,23.4,24,34.6,27.2,23.2,25.8,24.8,0.0,0.0,NW,8.0
02-Feb-2018,35.6,23.2,23.6,34.2,26.6,23,25.4,24.2,0.0,0.0,NE,6.0
03-Feb-2018,36.6,23,24.4,34.4,27.6,23.6,24.4,24.2,0.0,0.0,NE,6.0
04-Feb-2018,33.4,21,22.2,32.6,26,21.8,25,24.0,0.0,0.0,NE,8.0
