Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,0,0.4
02-Ene-2017,0,0.0
03-Ene-2017,0,0.0
04-Ene-2017,0,0.0
05-Ene-2017,0,0.5
06-Ene-2017,0,1.0
07-Ene-2017,.7,0.0
08-Ene-2017,0,0.0
09-Ene-2017,0,0.0
10-Ene-2017,.2,9.1
11-Ene-2017,5,4.2
12-Ene-2017,1.5,9.2
13-Ene-2017,.3,0.2
14-Ene-2017,3.7,3.4
15-Ene-2017,3.9,9.2
16-Ene-2017,16,0.9
17-Ene-2017,2.5,2.0
18-Ene-2017,3.1,0.3
19-Ene-2017,7.7,3.2
20-Ene-2017,4.5,3.7
21-Ene-2017,8.2,9.5
22-Ene-2017,8.3,12.5
23-Ene-2017,3.5,6.0
24-Ene-2017,.6,2.1
25-Ene-2017,1.5,3.5
26-Ene-2017,6,1.2
27-Ene-2017,14.2,5.8
28-Ene-2017,4.2,0.1
29-Ene-2017,1,2.0
30-Ene-2017,4.5,0.2
31-Ene-2017,7.2,1.2
01-Feb-2017,3.1,7.4
02-Feb-2017,6.9,17.2
03-Feb-2017,.8,0.2
04-Feb-2017,.3,0.3
05-Feb-2017,.1,7.2
06-Feb-2017,0,8.3
07-Feb-2017,0,2.0
08-Feb-2017,0,10.3
09-Feb-2017,.6,0.0
10-Feb-2017,0,3.6
11-Feb-2017,2.2,2.4
12-Feb-2017,.7,1.6
13-Feb-2017,1.9,2.5
14-Feb-2017,.3,5.8
15-Feb-2017,.8,1.8
16-Feb-2017,2.5,0.8
17-Feb-2017,2.3,2.3
18-Feb-2017,0,2.6
19-Feb-2017,.4,0.4
20-Feb-2017,0,0.2
21-Feb-2017,0,0.9
22-Feb-2017,0,0.2
23-Feb-2017,4.8,1.0
24-Feb-2017,2.4,6.8
25-Feb-2017,1.9,7.0
26-Feb-2017,1.9,14.2
27-Feb-2017,11.2,4.2
28-Feb-2017,2.3,0.9
01-Mar-2017,2.6,2.6
02-Mar-2017,2.1,10.0
03-Mar-2017,2.3,16.3
04-Mar-2017,8.5,6.1
