Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,19.5,6,9.4,17.2,11.8,8.4,13.4,9.0,0.0,0.0,W,2.0
02-Ene-2017,15.5,5.2,8,13.4,11,7.6,11.2,9.6,0.3,0.0,S,4.0
03-Ene-2017,17.2,4,10.6,13.8,9.8,9.2,11,8.4,0.0,0.3,E,4.0
04-Ene-2017,19,5.2,10,18,10.4,8.6,14,9.0,0.0,0.0,C,
05-Ene-2017,17.5,5.8,8.6,16.2,10,8,13.6,9.4,1.0,0.5,N,2.0
06-Ene-2017,16.5,5.6,7.6,13,7.2,7.6,11.4,7.0,2.4,19.0,NE,4.0
07-Ene-2017,13.5,5.6,7.4,11.2,8.2,7.4,10.6,7.0,3.9,0.0,N,4.0
08-Ene-2017,15.5,6.6,9.2,12.2,7.4,7.2,10.6,7.0,0.0,14.9,C,
09-Ene-2017,17,3.6,5.8,15.8,9.8,5,12,7.4,2.0,0.0,C,
10-Ene-2017,18,5,9.6,17,10.8,8.2,12,6.4,3.0,0.0,W,6.0
11-Ene-2017,17.5,5.6,8.6,15,11.2,7.6,12,9.8,1.8,1.2,NW,2.0
12-Ene-2017,17,6.6,8,16,11.4,7.6,12,9.6,0.0,0.0,C,
13-Ene-2017,18,4.8,7.6,16.8,11.2,7.2,11.4,9.0,2.6,2.1,W,2.0
14-Ene-2017,13.5,4.2,6,12.8,9.8,5.4,9.4,8.6,12.8,3.0,NE,2.0
15-Ene-2017,18.2,5,9,16.6,12.8,7.4,11.6,8.6,0.1,0.0,C,
16-Ene-2017,17,4.4,7,16.2,11.4,5.8,9.8,7.4,3.5,0.0,N,2.0
17-Ene-2017,15,2.6,6.4,13.8,10,5.6,12,8.8,16.2,0.0,C,
18-Ene-2017,16,5.6,8.2,13.8,11,7.4,10.6,8.4,0.0,0.0,N,4.0
19-Ene-2017,15,5.4,7.6,12.4,10.2,6.4,10.4,8.6,0.3,1.0,C,
20-Ene-2017,15.5,5.4,7.2,14,9.6,5.6,10,7.2,0.2,0.0,C,
21-Ene-2017,14.5,4.2,6.2,12.6,10,5.4,9.8,7.6,0.9,2.5,W,6.0
22-Ene-2017,16,4.2,8.8,15,10.2,7.2,11.2,8.0,0.0,0.0,N,2.0
23-Ene-2017,17.7,6.4,7.4,16,10,6.4,11.6,7.6,0.0,0.0,S,2.0
24-Ene-2017,17,5.2,7.8,15,7.2,6.2,11,6.8,0.0,3.9,C,
25-Ene-2017,12.7,3,5.8,9.4,6.8,5.2,8.6,6.2,10.0,5.4,W,2.0
26-Ene-2017,13.5,3,4.2,12,9.8,3.8,9.2,8.6,6.3,0.0,W,2.0
27-Ene-2017,14,3.4,5.4,12.8,9.8,5,10,8.2,11.8,0.0,C,
28-Ene-2017,16,4.4,8.4,13.8,9.8,7,10.6,7.6,1.5,0.0,W,4.0
29-Ene-2017,16.2,5.2,9.6,16,11,7.4,11,7.2,0.8,0.0,W,2.0
30-Ene-2017,18.5,2.4,10,16.8,12.2,7.8,11.2,7.4,0.0,0.0,C,
31-Ene-2017,19,5.2,9,18.8,12.8,6.8,12.4,7.8,0.0,0.0,N,4.0
01-Feb-2017,20.5,5.2,9.2,19.2,13.8,6.8,12.8,9.4,0.0,0.0,W,2.0
02-Feb-2017,20.5,4.8,8.4,19.4,13.8,5.6,12.8,9.0,0.0,0.0,NE,4.0
03-Feb-2017,19.5,4.6,8.8,18.6,12.6,5.2,12.4,9.2,0.0,0.0,N,2.0
04-Feb-2017,21,4.8,8.8,18.8,14,6.4,13,9.6,0.0,0.0,S,6.0
05-Feb-2017,19,6.2,10,18,13,6.8,12,9.4,0.0,0.0,W,8.0
06-Feb-2017,19.7,4,9.2,18,13.4,6.6,11,8.6,0.0,0.0,W,2.0
07-Feb-2017,19.5,6,10.2,18,14,7.8,10.6,9.6,0.0,0.0,N,4.0
08-Feb-2017,19.5,6.6,9.8,17.8,13,6.6,12.2,9.0,0.0,0.0,C,
09-Feb-2017,20.5,6.2,10.2,19.2,14.2,7,12,7.8,0.0,0.0,NE,4.0
10-Feb-2017,21.5,6.4,10.4,20.2,12.4,8,13,9.0,0.0,0.0,E,4.0
11-Feb-2017,20,5.4,8.4,19,13.8,6.4,13,8.8,0.0,0.0,W,4.0
12-Feb-2017,19.5,5.2,8.4,18,12,5.8,12,9.0,0.0,0.0,E,2.0
13-Feb-2017,18.2,3,5.8,15.6,11.4,5,12,8.0,0.0,0.0,N,2.0
14-Feb-2017,19,3.2,9.6,18,12,8,11.4,8.2,0.1,0.0,N,2.0
15-Feb-2017,18.5,4,9.4,17.8,12,7.6,13,9.0,0.0,0.0,W,8.0
16-Feb-2017,17.2,3.4,7.8,14.8,8.4,6.8,11.6,8.0,2.4,2.0,C,
17-Feb-2017,16.5,4.4,7.6,15.4,5.8,7,12.6,5.2,5.3,3.3,C,
18-Feb-2017,18,3.2,6.8,16,7.2,6,12.4,7.2,0.3,13.7,N,2.0
19-Feb-2017,15.5,5.4,7.6,13.8,5.6,6.8,12,5.4,5.6,7.9,C,
20-Feb-2017,14.5,4.2,7.2,14,8,6.6,11.4,7.6,0.4,2.3,W,2.0
21-Feb-2017,14.5,4,6,13,10.2,6,10.6,8.8,3.5,1.5,C,
22-Feb-2017,13.5,3.2,5.4,12.8,8.8,5.2,10,7.6,14.8,0.8,N,2.0
23-Feb-2017,13,2,3.2,12.6,8,3.2,10.4,7.2,6.9,1.5,NW,4.0
24-Feb-2017,14.5,2,7.6,13.8,9.8,7,11.2,9.0,0.3,3.3,W,2.0
25-Feb-2017,16.5,3.2,6.6,14.8,9.6,6.2,12.4,7.4,10.8,0.0,W,4.0
26-Feb-2017,16.5,5,7.2,15,8.6,7,11.8,8.2,0.0,0.0,NW,4.0
27-Feb-2017,16.2,4,6.4,15,7.6,6.2,12.6,7.6,12.7,3.2,E,2.0
28-Feb-2017,16,5.2,8,14.6,7.4,6.6,11.8,7.2,2.2,0.6,E,2.0
01-Mar-2017,16.2,3,6.2,15,10.6,4.8,11,7.2,0.0,0.0,N,2.0
02-Mar-2017,18.5,4.8,8.6,16.6,11.8,6.2,12.2,8.4,0.0,0.0,N,4.0
03-Mar-2017,15,5.8,8,14.2,10.8,7.8,11.2,9.2,1.6,0.0,C,
04-Mar-2017,17,6,8.6,15.6,9.4,7.6,11.6,8.0,3.4,2.3,N,2.0
05-Mar-2017,14.5,6.2,7.8,13,6.4,7.4,11,6.0,0.0,7.9,W,8.0
06-Mar-2017,14.5,3.6,9.6,13.6,9.6,8.2,11.2,8.2,0.0,0.0,N,2.0
07-Mar-2017,13.2,3.8,6.4,11.8,7.4,6.4,10.2,6.6,0.0,13.0,C,
08-Mar-2017,15.5,5,7.6,14.6,8.8,7.6,11.2,7.6,3.8,0.0,C,
09-Mar-2017,18,4.8,7.6,17,8.4,6.8,12.4,7.2,0.0,0.2,N,2.0
10-Mar-2017,16.8,5.8,8,14.8,9.8,7.2,12.8,8.0,0.0,6.0,N,2.0
11-Mar-2017,14.5,5.4,7.8,13.2,11.8,7.4,11.6,8.8,0.0,0.9,N,2.0
12-Mar-2017,16.5,2.4,8,16,11.4,7,11.6,8.2,0.0,0.0,N,2.0
13-Mar-2017,14.5,5.6,9.4,13.6,9.8,7.8,12.6,7.8,0.0,0.0,NW,2.0
14-Mar-2017,16.5,3.4,8.6,14.6,11,8,11.2,8.4,0.0,0.0,C,
15-Mar-2017,16.5,4,6,14.6,5.8,5.8,11.2,6.0,1.7,25.0,C,
16-Mar-2017,14.7,3.2,6,14.6,7,6,11.2,7.0,4.2,1.0,C,
17-Mar-2017,16.2,3.8,8.4,14.6,10.2,6,12,8.6,0.5,0.0,N,2.0
18-Mar-2017,17,2.8,8.6,16.2,10.8,7.4,11,8.0,0.7,0.0,N,2.0
19-Mar-2017,16.8,5,8.8,16.2,10.6,7.4,11.2,8.0,0.0,0.0,S,2.0
20-Mar-2017,17,1,6.8,16,10.4,5.8,11.6,7.4,0.0,0.0,N,4.0
21-Mar-2017,17.5,1.2,6.8,16,10.8,5.8,12.2,7.6,0.0,0.0,S,2.0
22-Mar-2017,17,3.2,7.6,16.2,11.6,6.4,11.2,9.2,0.0,0.0,N,2.0
23-Mar-2017,17,4,7.6,17,10.1,6.2,13,9.4,2.4,0.0,S,6.0
24-Mar-2017,15.5,3.8,6.2,14.8,9.8,6.2,12.2,8.6,14.0,0.2,N,2.0
25-Mar-2017,16.5,2.8,5.2,15.2,11,5.2,11.8,9.4,0.0,0.0,NW,4.0
26-Mar-2017,16,3.8,6.4,14.2,9.6,5.8,12,8.2,0.1,0.0,N,4.0
27-Mar-2017,17.7,1.8,5.8,15.8,11.2,5.8,11.6,9.8,0.0,0.0,N,2.0
28-Mar-2017,17,2.6,6.4,14.6,10.2,6,11.2,9.6,13.8,0.0,N,2.0
29-Mar-2017,12.5,4.2,7,11.2,9,6.8,10.4,8.6,0.0,0.0,W,6.0
30-Mar-2017,17.5,5,7.8,15.4,10.6,7.8,12.2,9.4,3.0,0.0,N,2.0
31-Mar-2017,13.5,4,7,11.8,9.6,6.4,10.8,9.0,19.8,0.4,N,4.0
01-Ene-2018,18,5.2,10.6,15,9,8.2,11,7.0,0.0,4.5,S,2.0
