Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2014,0,1.8
02-Ene-2014,0,0.0
03-Ene-2014,0,4.9
04-Ene-2014,5,49.2
05-Ene-2014,.8,15.1
06-Ene-2014,6.1,1.9
07-Ene-2014,12,38.2
08-Ene-2014,48.1,1.1
09-Ene-2014,.8,0.0
10-Ene-2014,48.2,2.4
11-Ene-2014,1.4,0.8
12-Ene-2014,0,0.0
13-Ene-2014,0,0.0
14-Ene-2014,.5,0.2
15-Ene-2014,0,0.0
16-Ene-2014,0,11.6
17-Ene-2014,2.3,16.0
18-Ene-2014,0,0.0
19-Ene-2014,0,3.9
20-Ene-2014,0,2.2
21-Ene-2014,0,0.0
22-Ene-2014,0,0.0
23-Ene-2014,0,3.2
24-Ene-2014,0,2.0
25-Ene-2014,0,0.0
26-Ene-2014,39,0.0
27-Ene-2014,3.4,7.8
28-Ene-2014,.2,0.0
29-Ene-2014,3.3,0.4
30-Ene-2014,0,0.0
31-Ene-2014,.7,0.8
01-Feb-2014,0,5.4
02-Feb-2014,0,0.0
03-Feb-2014,0,13.7
04-Feb-2014,0,17.1
05-Feb-2014,34.5,20.3
06-Feb-2014,0,0.0
07-Feb-2014,0,3.2
08-Feb-2014,3.4,0.0
09-Feb-2014,0,0.0
10-Feb-2014,0,10.2
11-Feb-2014,0,1.6
12-Feb-2014,0,0.0
13-Feb-2014,0,0.2
14-Feb-2014,0,3.7
15-Feb-2014,53.6,1.5
16-Feb-2014,7.3,4.8
17-Feb-2014,0,0.0
18-Feb-2014,0,30.5
19-Feb-2014,16.5,4.0
20-Feb-2014,0,0.0
21-Feb-2014,0,0.0
22-Feb-2014,3,0.0
23-Feb-2014,0,20.8
24-Feb-2014,.1,7.7
25-Feb-2014,0,8.0
26-Feb-2014,0,0.0
27-Feb-2014,17.2,1.9
28-Feb-2014,0,2.4
01-Mar-2014,22.2,1.5
02-Mar-2014,-888,0.0
03-Mar-2014,0,39.3
04-Mar-2014,1.3,0.0
05-Mar-2014,35.6,60.0
06-Mar-2014,0,-888.0
07-Mar-2014,0,15.9
