Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,16.4,6.4,9.2,15.8,10.2,7.2,9.8,9.2,,8.4,SE,4.0
02-Ene-2017,18.2,8,11.4,17.6,8.6,10.2,10.8,7.4,2.2,8.8,C,
03-Ene-2017,17.8,8.8,11.2,16.8,9,9.6,10.2,5.6,9.8,14.8,SE,4.0
04-Ene-2017,17.4,8.2,11.2,15.6,10.6,8.6,9.4,8.2,3.2,15.8,SE,3.0
05-Ene-2017,17.2,6.8,10.2,14.6,9.6,8.8,10.8,5.8,5.8,1.6,SE,2.0
06-Ene-2017,16.4,6.4,9.8,13.6,9.2,8.6,10.2,7.8,5.4,20.6,SE,3.0
07-Ene-2017,16.2,7.2,10.2,15.8,8.8,8.8,10.6,7.6,12.8,0.0,SE,4.0
08-Ene-2017,16.6,7.6,11.4,14.8,10.8,8.6,10.4,8.6,0.0,0.0,SE,2.0
09-Ene-2017,17.6,7.8,11.2,17.2,11,9.4,11.4,11.0,0.0,4.8,SE,2.0
10-Ene-2017,17.2,6.4,8.6,16.8,10.6,7.4,10.2,8.8,2.8,6.4,C,
11-Ene-2017,17.4,6.2,9.6,17.2,8.6,8.4,11.4,7.4,7.5,8.4,SE,3.0
12-Ene-2017,15.4,6.4,9.8,14.8,10,8.6,10.2,9.2,1.5,15.6,SE,4.0
13-Ene-2017,16.8,7.8,10.4,15.8,10.6,9.6,11,9.8,6.2,0.0,SE,4.0
14-Ene-2017,15.4,7.4,10.2,14.8,10.2,9.4,10.4,8.4,3.6,9.8,SE,2.0
15-Ene-2017,14.8,7.2,10.4,14.6,8.8,9.6,11.6,8.2,12.4,6.6,SE,3.0
16-Ene-2017,16.4,6.4,7.8,16.2,8.6,7,10.8,8.0,4.6,5.6,SE,4.0
17-Ene-2017,15.2,6.2,9.4,14.8,8.4,8.2,10.6,7.8,6.5,7.8,C,
18-Ene-2017,16.8,6.6,9.8,15.2,11,8.6,10.8,9.8,2.8,5.4,SE,3.0
19-Ene-2017,15.4,6,8.6,15.6,10.2,8,10.6,9.8,4.2,0.8,SE,4.0
20-Ene-2017,15,6.2,10.2,14.8,10.4,9.8,10.6,9.2,3.0,3.6,SE,2.0
21-Ene-2017,15.2,6.4,10.8,14.6,10.2,9.6,10.2,9.0,2.8,30.2,SE,4.0
22-Ene-2017,14.4,5.4,9,12,9.4,8.8,9.6,8.8,14.6,18.4,SE,6.0
23-Ene-2017,13.8,6.4,8.6,13.2,9.2,8.2,8.8,8.4,10.5,0.0,SE,3.0
24-Ene-2017,15.2,6.2,10.6,14.8,10.4,9.6,9.8,8.2,4.4,0.0,SE,2.0
25-Ene-2017,15.6,7.4,9.4,15.2,9.8,8.8,10.4,9.2,0.0,12.4,SE,4.0
26-Ene-2017,15,7.2,10.8,12.8,10.2,8.4,9.8,9.4,4.4,0.0,SE,6.0
27-Ene-2017,15.6,7,10.6,14.2,9.8,9.2,10.2,8.8,0.0,0.0,SE,4.0
28-Ene-2017,16.8,7.8,12.2,15.8,11.6,9.4,11,9.2,7.2,0.0,SE,4.0
29-Ene-2017,17.8,7.6,12.4,16.2,12.4,9.6,12.2,9.8,0.0,0.0,SE,4.0
30-Ene-2017,17,7.8,12.2,15.2,11.6,9.8,11.8,9.4,0.0,1.8,C,
31-Ene-2017,17.2,7.4,9.4,15.4,11.2,8.2,12.8,9.6,4.6,0.0,SE,3.0
01-Feb-2017,16.6,5.8,9.6,14.8,11.4,8.8,12.4,9.8,0.0,0.0,SE,6.0
02-Feb-2017,16.2,7.4,11.4,15.4,10.8,9.8,12.6,9.2,0.0,0.0,C,
03-Feb-2017,17.4,5.2,10.2,15.8,11.6,8.4,12.2,9.4,0.0,0.0,SE,4.0
04-Feb-2017,17.6,5.4,12.6,15.2,10.8,9.8,12.8,9.2,0.0,0.0,SE,2.0
05-Feb-2017,17,4.8,13.2,16.2,10.6,11.8,12.6,9.0,0.0,0.0,C,
06-Feb-2017,17.2,6.2,12.2,15.8,11.4,9.2,11.2,10.2,0.0,0.0,C,
07-Feb-2017,16.8,6.6,11.6,15.4,10.6,8.6,10.8,9.8,0.0,0.0,SE,4.0
08-Feb-2017,17.6,6.2,11.4,16.2,11.4,10.2,11.2,10.2,0.0,0.0,SE,2.0
09-Feb-2017,17.8,7.6,10.8,17.4,10.2,8.2,11.4,7.8,2.2,7.6,SE,3.0
10-Feb-2017,16.8,8.2,11,16.2,9.4,8.6,9.6,7.6,0.0,18.6,SE,4.0
11-Feb-2017,16.2,6.8,10.6,15.8,10.2,7.2,9.2,7.4,0.0,0.0,SE,4.0
12-Feb-2017,16.8,7.6,11.4,16.4,9.6,8.4,10.2,9.4,0.0,3.6,SE,4.0
13-Feb-2017,16.6,7.4,9.4,15.8,9.4,7.6,9.6,7.2,1.2,0.0,SE,2.0
14-Feb-2017,15.4,6.2,9.2,14.8,9.2,7.8,9.6,7.0,0.0,6.4,SE,4.0
15-Feb-2017,16.2,5.8,10.2,15,9.8,9.4,10.2,9.4,5.2,5.6,SE,2.0
16-Feb-2017,15.2,5.4,10.4,14.6,9.6,9.6,9.8,8.4,2.4,0.0,SE,4.0
17-Feb-2017,15.6,6.4,8.8,15.2,10.6,7.8,10.4,9.4,1.5,1.4,SE,2.0
18-Feb-2017,15.4,6.2,9.6,14.8,12.2,8.8,9.2,9.0,1.5,1.0,SE,2.0
19-Feb-2017,15.6,6.8,8.8,15.2,11.8,7.2,9.4,8.8,0.0,0.0,SE,4.0
20-Feb-2017,16.6,7.2,11.4,15.4,11.6,9.8,10.2,9.4,0.0,0.0,SE,6.0
21-Feb-2017,17.2,5.6,9.8,16.2,10.4,7.2,10.8,9.0,0.0,0.0,SE,6.0
22-Feb-2017,16.2,4.8,9.2,14.8,9.6,8.6,9.6,7.4,5.6,14.6,SE,2.0
23-Feb-2017,16.6,6.4,8.8,15.8,9.8,7.4,10.4,7.2,2.8,2.6,SE,3.0
24-Feb-2017,16.8,6.6,9.4,16.2,10.2,8.6,10.8,8.4,0.0,0.0,SE,6.0
25-Feb-2017,14.8,6.2,10.4,14.2,9.8,9.6,10.2,9.0,0.0,2.4,SE,6.0
26-Feb-2017,15.4,5.8,10.2,14.6,9,7.8,10.6,8.8,14.6,0.0,SE,6.0
27-Feb-2017,14.2,6.4,10.6,13.6,8.8,9.8,10.2,8.6,0.0,10.4,SE,2.0
28-Feb-2017,15.2,5.6,8.6,15.2,10.2,8.2,10.6,8.4,6.4,0.0,SE,3.0
01-Mar-2017,17.2,5.8,10.2,16.8,10.4,8.4,10.8,9.8,4.2,4.8,SE,2.0
02-Mar-2017,16.4,4.2,9.4,15.6,9.8,7.6,9.4,7.2,0.0,0.0,SE,3.0
03-Mar-2017,16.6,7.4,10.2,15.4,10,9.4,9.8,8.4,0.0,0.0,SE,2.0
04-Mar-2017,17,7.6,10.6,16.2,9.8,9.6,10.4,8.6,2.4,0.0,SE,4.0
05-Mar-2017,15.4,5.4,10,14.8,9.4,9.4,9.8,8.2,6.4,0.0,SE,4.0
06-Mar-2017,16.2,7.2,9.8,15.4,8.8,7.4,11.2,8.0,1.2,0.0,SE,6.0
07-Mar-2017,17.2,6.4,10.6,16.2,11.8,6.8,10.6,9.8,1.4,1.6,SE,4.0
08-Mar-2017,15.2,6.2,9.6,14.8,9.8,9.2,9.4,9.2,0.0,0.0,SE,4.0
09-Mar-2017,15.6,5.2,9.8,15.2,9.2,9.4,11.4,8.8,3.6,20.4,SE,3.0
10-Mar-2017,15.8,6.4,10.4,15.4,8.8,9.8,10.2,8.2,3.5,22.8,SE,4.0
11-Mar-2017,15.4,5.2,12.2,14.4,9.2,10.4,11.6,8.4,5.6,6.8,SE,6.0
12-Mar-2017,14.2,7.8,11.6,13.8,8.4,9.6,11.4,8.0,1.4,8.6,SE,6.0
13-Mar-2017,15.6,6.8,11.3,14.8,8.2,9,9.4,7.4,0.0,6.4,SE,4.0
14-Mar-2017,16,7.6,9.8,14.6,10.2,8.4,9.2,7.6,0.0,10.8,SE,3.0
15-Mar-2017,15.4,7.2,8.4,15.2,9.6,7.8,9.8,9.2,12.4,0.0,SE,6.0
16-Mar-2017,15.6,7,8,14.8,9.8,7.8,9.6,8.6,12.4,0.0,SE,2.0
17-Mar-2017,16.2,6.2,7.8,15.6,9.6,7.2,10.4,7.2,0.0,0.0,SE,3.0
18-Mar-2017,15,7,8.6,14.4,9.8,8.2,9.8,9.2,0.0,3.4,SE,6.0
19-Mar-2017,15.8,6.2,10.4,14.8,9.4,9.8,10.6,8.8,16.2,3.2,C,
20-Mar-2017,15.2,7.4,10.2,14.6,9.6,9.6,10.2,8.4,4.6,0.0,SE,3.0
21-Mar-2017,16.2,6.2,11.2,15.4,10.2,10.6,11.2,8.6,2.4,4.2,SE,2.0
22-Mar-2017,16.4,5.2,11.4,14.6,9.8,10.2,10.8,7.4,0.0,0.0,SE,2.0
23-Mar-2017,15.2,6.4,10,14.8,9.4,9.6,10.4,7.2,1.2,26.8,SE,3.0
24-Mar-2017,16.8,5.6,9.8,15.6,10.4,8.4,10.8,10.0,4.6,0.0,SE,6.0
25-Mar-2017,16.2,6.8,11.2,15.8,9.8,8.6,11.4,9.4,0.0,0.0,SE,4.0
26-Mar-2017,16.6,5.8,12.4,16.2,10.2,10.2,11.8,9.8,2.6,0.0,SE,2.0
27-Mar-2017,15.6,6.2,10.8,15.2,9.6,9.6,11.2,8.8,0.0,3.2,SE,2.0
28-Mar-2017,15,6.8,10.2,14.8,9.8,8.6,10.4,8.6,0.0,6.8,SE,4.0
29-Mar-2017,15.4,5.6,7.6,15.2,9.6,6.8,10.8,8.2,7.4,0.0,SE,2.0
30-Mar-2017,14.8,5.4,11.4,14.6,9,8.2,10.2,8.4,0.0,4.8,C,
31-Mar-2017,14.6,4.8,10.8,14.4,8.8,9.4,9.8,8.4,2.2,1.8,C,
01-Ene-2018,18.4,3.2,11.4,16.8,7.6,8.8,10.6,6.6,4.8,23.2,SE,6.0
02-Ene-2018,16.8,3.6,12.2,16.4,7.4,8.6,10.8,6.4,2.8,0.0,SE,3.0
03-Ene-2018,18.2,2.6,11.6,17.8,8.6,7.6,11.2,7.6,0.0,0.0,SE,4.0
04-Ene-2018,18.6,3.8,12.2,17.6,8.4,8.4,10.8,7.0,0.0,0.0,SE,6.0
05-Ene-2018,18.2,3,13.2,16.6,8,8.4,10.2,7.2,0.0,0.0,SE,4.0
06-Ene-2018,15.6,2.4,12.4,15.2,8.2,7.6,10.4,7.0,0.0,0.0,SE,6.0
07-Ene-2018,16,3.2,11.8,14.8,7.8,7.8,10.4,6.6,0.0,0.0,SE,3.0
08-Ene-2018,16.2,3.2,10,15.4,7.8,8.6,10.6,6.6,0.0,0.0,SE,3.0
09-Ene-2018,16.2,2.6,8.8,16.2,10.6,6.8,10.6,6.2,4.2,14.8,C,
10-Ene-2018,16.8,2.2,8.2,15.6,7.2,6.4,10.2,7.2,5.6,0.0,C,
11-Ene-2018,17,3,8.4,16.4,8,6.8,10.8,7.4,0.0,5.6,NE,4.0
12-Ene-2018,16.2,3.4,9,15.2,7.8,8.2,10,7.2,3.6,18.2,SE,4.0
13-Ene-2018,15,2.2,7,14.8,8.2,6.4,9.6,6.4,4.8,8.8,NE,3.0
14-Ene-2018,17.2,3.2,9.4,16.2,8.6,7.6,10.4,6.8,0.0,3.4,SE,6.0
15-Ene-2018,17.4,2,10.4,16.8,8.2,8,10.8,7.0,0.0,0.0,SE,3.0
16-Ene-2018,17.6,2.6,10.6,17.2,8,8.2,11,6.8,0.0,0.0,SE,4.0
17-Ene-2018,16.6,3.8,11.2,15.2,9.8,8.4,9.8,6.6,0.0,5.2,SE,6.0
18-Ene-2018,17.2,4.2,11.6,16.8,9,7.2,10.6,7.0,2.2,12.2,SE,4.0
19-Ene-2018,17.8,3.8,10.6,16.4,8.6,7.6,9.4,6.6,4.8,6.8,C,
