Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,,7.1
02-Ene-2017,0,0.0
03-Ene-2017,0,0.0
04-Ene-2017,0,0.0
05-Ene-2017,0,0.4
06-Ene-2017,7.8,16.0
07-Ene-2017,.4,0.0
08-Ene-2017,0,0.0
09-Ene-2017,0,0.0
10-Ene-2017,0,17.0
11-Ene-2017,0,0.0
12-Ene-2017,0,0.0
13-Ene-2017,0,4.7
14-Ene-2017,0,0.0
15-Ene-2017,0,0.0
16-Ene-2017,0,0.0
17-Ene-2017,0,0.0
18-Ene-2017,0,0.0
19-Ene-2017,0,0.0
20-Ene-2017,11.8,0.0
21-Ene-2017,0,23.2
22-Ene-2017,0,0.0
23-Ene-2017,0,0.2
24-Ene-2017,0,0.7
25-Ene-2017,27,2.5
26-Ene-2017,0,0.0
27-Ene-2017,0,6.1
28-Ene-2017,0,0.0
29-Ene-2017,1.8,0.0
30-Ene-2017,0,0.0
31-Ene-2017,0,0.0
01-Feb-2017,0,0.0
02-Feb-2017,0,0.0
03-Feb-2017,0,0.0
04-Feb-2017,0,0.0
05-Feb-2017,0,0.0
06-Feb-2017,0,0.0
07-Feb-2017,0,0.0
08-Feb-2017,0,0.0
09-Feb-2017,0,0.0
10-Feb-2017,0,0.0
11-Feb-2017,0,0.0
12-Feb-2017,0,0.0
13-Feb-2017,0,0.0
14-Feb-2017,80.2,0.0
15-Feb-2017,1,0.0
16-Feb-2017,0,0.0
17-Feb-2017,0,0.0
18-Feb-2017,0,0.0
19-Feb-2017,0,0.0
20-Feb-2017,0,0.0
21-Feb-2017,0,0.0
22-Feb-2017,25.9,0.0
23-Feb-2017,0,0.0
24-Feb-2017,0,0.0
25-Feb-2017,.6,28.0
26-Feb-2017,1.4,0.0
27-Feb-2017,0,0.0
28-Feb-2017,0,0.0
01-Mar-2017,0,0.0
02-Mar-2017,0,0.0
03-Mar-2017,0,0.0
04-Mar-2017,0,0.0
05-Mar-2017,0,0.0
06-Mar-2017,0,0.0
07-Mar-2017,0,0.0
08-Mar-2017,0,0.0
09-Mar-2017,0,0.0
10-Mar-2017,0,0.0
11-Mar-2017,0,0.0
12-Mar-2017,0,0.0
13-Mar-2017,0,9.6
14-Mar-2017,0,30.2
15-Mar-2017,0,0.0
16-Mar-2017,0,0.0
17-Mar-2017,0,3.7
18-Mar-2017,0,0.0
19-Mar-2017,0,0.0
20-Mar-2017,0,0.0
21-Mar-2017,0,0.0
22-Mar-2017,0,12.4
23-Mar-2017,0,0.0
24-Mar-2017,0,2.0
25-Mar-2017,1.7,0.0
26-Mar-2017,0,0.0
27-Mar-2017,0,0.0
28-Mar-2017,0,0.0
29-Mar-2017,0,0.0
30-Mar-2017,0,0.0
31-Mar-2017,0,1.5
01-Ene-2018,0,0.0
02-Ene-2018,0,0.0
03-Ene-2018,0,0.0
04-Ene-2018,0,36.9
05-Ene-2018,0,0.0
06-Ene-2018,0,0.0
07-Ene-2018,0,0.0
08-Ene-2018,1.8,2.1
09-Ene-2018,0,2.0
10-Ene-2018,5.5,9.5
11-Ene-2018,5.3,30.5
12-Ene-2018,0,0.0
13-Ene-2018,0,0.0
14-Ene-2018,0,0.0
15-Ene-2018,0,9.6
16-Ene-2018,0,0.0
17-Ene-2018,0,0.2
18-Ene-2018,2.8,0.0
19-Ene-2018,0,3.2
20-Ene-2018,3.6,0.0
21-Ene-2018,0,8.6
22-Ene-2018,0,4.6
23-Ene-2018,0,0.3
24-Ene-2018,0,0.0
25-Ene-2018,0,0.0
26-Ene-2018,0,0.0
27-Ene-2018,0,0.0
28-Ene-2018,0,0.0
29-Ene-2018,0,0.0
30-Ene-2018,0,0.0
31-Ene-2018,0,0.0
01-Feb-2018,0,0.0
02-Feb-2018,0,0.0
03-Feb-2018,0,0.0
04-Feb-2018,0,7.1
05-Feb-2018,0,47.5
06-Feb-2018,36.9,23.6
07-Feb-2018,0,0.0
08-Feb-2018,0,0.0
09-Feb-2018,0,0.0
10-Feb-2018,0,0.0
11-Feb-2018,0,0.0
12-Feb-2018,0,0.0
13-Feb-2018,0,0.0
14-Feb-2018,0,0.0
15-Feb-2018,0,2.3
16-Feb-2018,0,4.9
17-Feb-2018,0,0.0
18-Feb-2018,0,0.0
19-Feb-2018,0,0.0
20-Feb-2018,18.9,0.0
21-Feb-2018,0,0.0
22-Feb-2018,0,0.0
23-Feb-2018,0,0.0
24-Feb-2018,0,0.0
25-Feb-2018,25.1,19.8
26-Feb-2018,0,0.0
27-Feb-2018,0,0.0
28-Feb-2018,0,0.0
01-Mar-2018,0,0.0
02-Mar-2018,0,0.0
03-Mar-2018,0,0.0
04-Mar-2018,0,0.0
05-Mar-2018,0,0.0
06-Mar-2018,0,6.8
07-Mar-2018,0,0.0
08-Mar-2018,0,2.2
09-Mar-2018,0,0.0
10-Mar-2018,0,0.0
11-Mar-2018,3.3,0.0
12-Mar-2018,0,27.0
13-Mar-2018,0,0.0
14-Mar-2018,0,0.0
15-Mar-2018,0,0.0
16-Mar-2018,.2,0.4
17-Mar-2018,0,0.0
18-Mar-2018,0,0.0
19-Mar-2018,0,6.4
20-Mar-2018,0,0.0
21-Mar-2018,4,0.0
22-Mar-2018,0,1.4
23-Mar-2018,0,0.0
24-Mar-2018,0,0.0
25-Mar-2018,0,13.6
26-Mar-2018,0,46.0
27-Mar-2018,0,0.0
28-Mar-2018,0,0.0
29-Mar-2018,0,0.0
30-Mar-2018,4.3,0.0
31-Mar-2018,0,0.0
