Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,18,8.4,11.2,14,8.4,8.6,9.4,6.2,0.0,2.2,SE,6.0
02-Ene-2017,20.2,9,11,17.6,9,9.4,11.2,7.0,3.1,0.7,NW,6.0
03-Ene-2017,20.8,9.4,11.4,18.8,7.4,9.6,11.4,6.0,0.0,7.2,SE,3.0
04-Ene-2017,13.2,9,10.6,12.6,6.8,9,8.2,5.4,4.1,9.7,SW,3.0
05-Ene-2017,17,8.6,10.4,13,7.2,9,9.6,5.6,5.6,6.1,SW,3.0
06-Ene-2017,19.6,8,9.8,16.8,9.4,8.2,10.8,6.2,2.3,0.0,NW,2.0
07-Ene-2017,20.6,8.2,10.4,18,8.4,8.8,10.6,6.6,0.5,1.3,SE,3.0
08-Ene-2017,21,5.8,8.8,18.6,9,6.6,11,6.2,0.0,0.4,SE,2.0
09-Ene-2017,22.2,7.8,10.4,19.4,9.8,8.4,10.2,7.0,0.0,0.0,SE,4.0
10-Ene-2017,17,8.6,10,16,8.6,8.8,10.6,6.4,0.8,0.5,NW,2.0
11-Ene-2017,21,8.2,10.2,19,9.4,8.6,10.4,6.0,0.0,0.0,NW,3.0
12-Ene-2017,21.4,7.2,9.8,18.6,9.8,7.8,10,7.0,0.0,0.0,NW,3.0
13-Ene-2017,18,8.2,10,15.6,7.6,8.6,10.8,6.2,7.6,3.2,NW,3.0
14-Ene-2017,17,8.6,10.4,13.2,8.2,8.8,9.8,6.4,2.6,0.0,NW,2.0
15-Ene-2017,15,8.8,10.6,13.4,7.6,9.4,9.6,6.0,6.4,8.8,NW,5.0
16-Ene-2017,17.4,7.4,9.4,16.2,7.4,7.8,10,5.8,2.1,4.0,NE,3.0
17-Ene-2017,17,8,9.6,16,8.2,8,10.6,6.2,3.1,0.0,NW,6.0
18-Ene-2017,17,8.4,10,14.8,9.2,8.8,10.4,7.0,0.3,0.0,SE,6.0
19-Ene-2017,20.2,7.2,10.4,17.4,10.2,8,11.2,7.4,0.0,0.0,SE,5.0
20-Ene-2017,18.8,8.8,10.6,14.8,9.6,9.2,9.6,5.8,3.4,0.0,NW,2.0
21-Ene-2017,16.4,7.8,9.6,13.2,8.4,8,9.4,5.4,1.5,0.0,NW,2.0
22-Ene-2017,19.6,7.8,10,17.6,8.4,8.2,10.8,6.8,0.8,0.6,NE,4.0
23-Ene-2017,18.6,8.2,10,16.8,7.6,8.6,11.2,6.4,1.7,5.8,SE,5.0
