Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2014,0,2.0
02-Ene-2014,0,0.4
03-Ene-2014,0,0.5
04-Ene-2014,0,0.9
05-Ene-2014,0,1.9
06-Ene-2014,0,0.0
07-Ene-2014,.7,0.0
08-Ene-2014,.3,0.1
09-Ene-2014,.8,1.7
10-Ene-2014,.4,24.9
11-Ene-2014,.6,7.7
12-Ene-2014,.2,0.9
13-Ene-2014,.3,8.9
14-Ene-2014,.5,0.7
15-Ene-2014,1.3,0.0
16-Ene-2014,.4,0.0
17-Ene-2014,1.6,4.5
18-Ene-2014,.7,11.4
19-Ene-2014,.4,3.0
20-Ene-2014,0,6.6
21-Ene-2014,.1,1.0
22-Ene-2014,0,0.0
23-Ene-2014,0,0.5
24-Ene-2014,0,0.2
25-Ene-2014,0,0.3
26-Ene-2014,.6,0.7
27-Ene-2014,.2,0.0
28-Ene-2014,0,0.7
29-Ene-2014,.3,1.6
30-Ene-2014,.7,1.8
31-Ene-2014,.5,0.0
01-Feb-2014,2.2,0.0
02-Feb-2014,0,0.0
03-Feb-2014,0,0.2
04-Feb-2014,.5,0.4
05-Feb-2014,.7,0.3
06-Feb-2014,0,0.0
07-Feb-2014,1.3,4.2
08-Feb-2014,2,2.2
09-Feb-2014,0,0.0
10-Feb-2014,1.4,0.7
11-Feb-2014,0,0.3
12-Feb-2014,0,0.0
13-Feb-2014,2.3,4.4
14-Feb-2014,.9,3.9
15-Feb-2014,1.5,0.7
16-Feb-2014,0,0.0
17-Feb-2014,0,6.2
18-Feb-2014,3.2,0.4
19-Feb-2014,0,0.0
20-Feb-2014,.9,1.3
21-Feb-2014,4.2,3.9
22-Feb-2014,5.5,6.2
23-Feb-2014,7.2,8.2
24-Feb-2014,9.4,7.2
25-Feb-2014,11.2,8.1
26-Feb-2014,5.4,3.9
27-Feb-2014,4.3,3.7
28-Feb-2014,2.5,3.3
01-Mar-2014,4.8,0.0
02-Mar-2014,0,5.3
03-Mar-2014,3,9.5
04-Mar-2014,5,8.8
05-Mar-2014,6,5.2
06-Mar-2014,8,4.2
07-Mar-2014,0,3.3
08-Mar-2014,.5,0.7
09-Mar-2014,2.1,0.0
10-Mar-2014,.9,2.2
11-Mar-2014,0,2.5
12-Mar-2014,4.2,3.3
13-Mar-2014,0,0.0
14-Mar-2014,0,9.6
15-Mar-2014,5.2,0.8
16-Mar-2014,2.1,0.0
17-Mar-2014,.6,0.8
18-Mar-2014,0,1.6
19-Mar-2014,.7,2.9
20-Mar-2014,.5,0.2
21-Mar-2014,.9,6.7
22-Mar-2014,10,11.2
23-Mar-2014,5.5,9.2
24-Mar-2014,7.2,0.8
25-Mar-2014,0,0.9
26-Mar-2014,6.2,4.7
27-Mar-2014,4,3.2
28-Mar-2014,3.7,0.6
29-Mar-2014,2.1,0.5
30-Mar-2014,8.2,3.1
31-Mar-2014,.7,0.0
01-Ene-2015,0,0.0
02-Ene-2015,0,1.5
03-Ene-2015,0,0.0
