Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,0,1.7
02-Ene-2017,0,0.5
03-Ene-2017,0,0.0
04-Ene-2017,0,0.0
05-Ene-2017,0,0.0
06-Ene-2017,2,1.9
07-Ene-2017,0,0.0
08-Ene-2017,0,0.0
09-Ene-2017,.7,0.0
10-Ene-2017,1.3,8.0
11-Ene-2017,2.5,5.6
12-Ene-2017,.5,3.9
13-Ene-2017,.4,2.0
14-Ene-2017,0,0.2
15-Ene-2017,.5,18.7
16-Ene-2017,1.3,0.0
17-Ene-2017,3,0.7
18-Ene-2017,5.1,0.0
19-Ene-2017,4,4.5
20-Ene-2017,4.8,1.9
21-Ene-2017,2,10.9
22-Ene-2017,5.5,15.7
23-Ene-2017,3,1.2
24-Ene-2017,1.4,5.7
25-Ene-2017,10,22.0
26-Ene-2017,2,10.5
27-Ene-2017,.5,3.5
28-Ene-2017,.7,0.9
29-Ene-2017,3.3,2.0
30-Ene-2017,2.3,9.3
31-Ene-2017,5.6,4.9
01-Feb-2017,.3,28.7
02-Feb-2017,.4,3.3
03-Feb-2017,2.2,0.9
04-Feb-2017,.8,2.2
05-Feb-2017,3.8,6.7
06-Feb-2017,0,4.2
07-Feb-2017,6,1.1
08-Feb-2017,.7,25.7
09-Feb-2017,0,0.0
10-Feb-2017,0,2.0
11-Feb-2017,.4,1.5
12-Feb-2017,1.6,0.2
13-Feb-2017,1.8,0.0
14-Feb-2017,.2,9.8
15-Feb-2017,.3,1.0
16-Feb-2017,.5,8.7
17-Feb-2017,0,6.7
18-Feb-2017,0,0.8
19-Feb-2017,0,3.5
20-Feb-2017,0,0.0
21-Feb-2017,0,1.6
22-Feb-2017,3.5,8.0
23-Feb-2017,.4,0.0
24-Feb-2017,0,0.0
25-Feb-2017,0,3.5
26-Feb-2017,3,6.7
27-Feb-2017,.3,4.1
28-Feb-2017,.6,0.9
01-Mar-2017,0,2.5
02-Mar-2017,0,0.3
03-Mar-2017,0,5.0
04-Mar-2017,1,0.0
05-Mar-2017,0,3.0
06-Mar-2017,2,2.3
07-Mar-2017,0,3.5
08-Mar-2017,.1,1.7
09-Mar-2017,0,10.0
10-Mar-2017,4.3,4.5
