Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2014,0,0.0
02-Ene-2014,0,0.0
03-Ene-2014,0,0.0
04-Ene-2014,0,7.4
05-Ene-2014,2.3,0.0
06-Ene-2014,3.2,10.0
07-Ene-2014,1,3.3
08-Ene-2014,0,2.0
09-Ene-2014,0,3.4
10-Ene-2014,8.5,0.6
11-Ene-2014,0,3.4
12-Ene-2014,0,3.5
13-Ene-2014,0,8.5
14-Ene-2014,.5,1.3
15-Ene-2014,0,2.1
16-Ene-2014,0,0.0
17-Ene-2014,.7,0.3
18-Ene-2014,0,8.0
19-Ene-2014,.4,4.9
20-Ene-2014,.3,7.3
21-Ene-2014,.1,0.2
22-Ene-2014,.2,0.3
23-Ene-2014,.3,2.0
24-Ene-2014,.1,0.3
25-Ene-2014,.4,0.0
26-Ene-2014,0,0.0
27-Ene-2014,0,0.0
28-Ene-2014,0,0.0
29-Ene-2014,0,0.0
30-Ene-2014,.1,0.0
31-Ene-2014,0,0.1
01-Feb-2014,.5,0.0
02-Feb-2014,0,0.2
03-Feb-2014,.3,0.0
04-Feb-2014,0,0.5
05-Feb-2014,0,0.0
06-Feb-2014,0,1.5
07-Feb-2014,.5,0.1
08-Feb-2014,0,0.2
09-Feb-2014,0,1.0
10-Feb-2014,0,2.1
11-Feb-2014,0,5.2
12-Feb-2014,1.1,4.2
13-Feb-2014,2.1,3.0
14-Feb-2014,0,0.5
15-Feb-2014,0,1.4
16-Feb-2014,0,1.6
17-Feb-2014,0,0.6
18-Feb-2014,0,1.8
19-Feb-2014,0,0.0
20-Feb-2014,.2,0.5
21-Feb-2014,2,6.0
22-Feb-2014,1,4.0
23-Feb-2014,2,2.4
24-Feb-2014,0,0.0
25-Feb-2014,7.3,5.2
26-Feb-2014,7,6.1
27-Feb-2014,.5,0.0
28-Feb-2014,0,0.5
01-Mar-2014,4.2,0.2
02-Mar-2014,1,0.5
03-Mar-2014,2,1.0
04-Mar-2014,4.2,1.0
05-Mar-2014,.4,9.2
06-Mar-2014,4,3.2
07-Mar-2014,2,12.3
08-Mar-2014,4.2,4.1
09-Mar-2014,4,11.1
10-Mar-2014,0,3.0
11-Mar-2014,1,0.5
12-Mar-2014,0,0.6
13-Mar-2014,0,10.0
14-Mar-2014,1.2,2.5
15-Mar-2014,0,0.0
16-Mar-2014,0,0.1
17-Mar-2014,0,6.2
18-Mar-2014,.1,8.9
19-Mar-2014,0,3.2
20-Mar-2014,2,0.0
21-Mar-2014,0,5.0
22-Mar-2014,2.1,0.0
23-Mar-2014,0,6.3
24-Mar-2014,0,5.4
25-Mar-2014,0,9.5
26-Mar-2014,0,13.0
27-Mar-2014,1.2,5.2
28-Mar-2014,3,2.0
29-Mar-2014,0,0.0
30-Mar-2014,.1,0.0
31-Mar-2014,0,0.0
01-Ene-2015,0,0.0
02-Ene-2015,0,5.4
03-Ene-2015,0,0.0
04-Ene-2015,0,5.3
05-Ene-2015,0,6.0
06-Ene-2015,0,1.0
07-Ene-2015,0,2.8
08-Ene-2015,0,0.0
09-Ene-2015,0,3.2
10-Ene-2015,0,1.2
11-Ene-2015,0,0.0
12-Ene-2015,0,0.0
13-Ene-2015,0,0.0
14-Ene-2015,0,0.0
15-Ene-2015,0,0.0
16-Ene-2015,0,1.0
17-Ene-2015,0,1.2
18-Ene-2015,0,1.7
19-Ene-2015,0,1.7
20-Ene-2015,4.2,0.5
21-Ene-2015,0,4.1
22-Ene-2015,6.2,3.0
23-Ene-2015,.5,8.5
24-Ene-2015,4,12.4
25-Ene-2015,0,0.5
26-Ene-2015,2.3,0.7
27-Ene-2015,0,0.5
28-Ene-2015,0,0.0
29-Ene-2015,0,4.7
30-Ene-2015,0,1.6
31-Ene-2015,4.4,5.8
01-Feb-2015,2.3,6.6
02-Feb-2015,0,0.0
03-Feb-2015,.3,0.2
04-Feb-2015,3,1.0
05-Feb-2015,1,3.0
06-Feb-2015,.3,0.4
07-Feb-2015,1,2.0
08-Feb-2015,.2,0.1
09-Feb-2015,.3,0.4
10-Feb-2015,0,0.0
11-Feb-2015,0,0.0
12-Feb-2015,0,0.0
13-Feb-2015,0,0.9
14-Feb-2015,.6,9.4
15-Feb-2015,3.6,12.4
16-Feb-2015,.8,2.6
17-Feb-2015,.2,0.0
18-Feb-2015,0,0.0
19-Feb-2015,0,0.0
20-Feb-2015,0,0.1
21-Feb-2015,0,0.2
22-Feb-2015,0,0.1
23-Feb-2015,0,1.3
24-Feb-2015,.1,5.6
25-Feb-2015,.2,3.4
26-Feb-2015,.3,1.8
27-Feb-2015,3.9,5.3
28-Feb-2015,.2,5.7
01-Mar-2015,.3,13.1
02-Mar-2015,5.2,9.0
03-Mar-2015,9.3,7.0
04-Mar-2015,9.4,2.7
05-Mar-2015,.7,0.5
06-Mar-2015,2.1,5.4
07-Mar-2015,.1,3.4
08-Mar-2015,.2,0.1
09-Mar-2015,.3,0.7
10-Mar-2015,.4,0.2
11-Mar-2015,0,1.7
12-Mar-2015,.4,9.0
13-Mar-2015,5.3,1.9
14-Mar-2015,4.2,5.4
15-Mar-2015,2.3,13.5
16-Mar-2015,7.5,3.9
17-Mar-2015,6.5,8.7
18-Mar-2015,8.3,1.4
19-Mar-2015,9.4,7.1
20-Mar-2015,14.3,2.6
21-Mar-2015,8.3,15.4
22-Mar-2015,.5,9.3
23-Mar-2015,2.2,3.5
24-Mar-2015,1.4,7.1
25-Mar-2015,.2,8.3
26-Mar-2015,.3,0.1
27-Mar-2015,.2,5.7
28-Mar-2015,.3,0.1
29-Mar-2015,4.3,0.1
30-Mar-2015,.1,0.2
31-Mar-2015,4.2,0.1
01-Ene-2016,.7,0.7
02-Ene-2016,1.4,0.5
03-Ene-2016,1.2,0.0
04-Ene-2016,0,0.5
05-Ene-2016,.2,1.3
06-Ene-2016,.4,3.8
07-Ene-2016,0,0.0
08-Ene-2016,0,0.0
09-Ene-2016,0,0.0
10-Ene-2016,0,0.0
11-Ene-2016,0,0.0
12-Ene-2016,0,0.0
13-Ene-2016,0,0.0
