Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,5.1,7.0
02-Ene-2017,9,10.0
03-Ene-2017,7.8,5.2
04-Ene-2017,3.3,2.2
05-Ene-2017,-888,0.0
06-Ene-2017,0,0.0
07-Ene-2017,0,0.0
08-Ene-2017,0,0.0
09-Ene-2017,0,0.0
10-Ene-2017,0,0.0
11-Ene-2017,0,0.0
12-Ene-2017,0,0.0
13-Ene-2017,1.8,8.2
14-Ene-2017,9.2,10.0
15-Ene-2017,12.2,11.0
16-Ene-2017,13,8.2
17-Ene-2017,7.6,9.0
18-Ene-2017,8.5,5.2
19-Ene-2017,6.3,4.8
20-Ene-2017,10.3,14.2
21-Ene-2017,10.7,8.5
22-Ene-2017,9.2,7.8
23-Ene-2017,3.4,5.5
24-Ene-2017,2.5,7.2
25-Ene-2017,10.1,9.7
26-Ene-2017,11.5,8.7
27-Ene-2017,9.2,7.2
28-Ene-2017,5.2,2.4
29-Ene-2017,-888,2.7
30-Ene-2017,8.1,10.2
31-Ene-2017,9.8,7.8
01-Feb-2017,5.1,0.0
02-Feb-2017,0,0.0
03-Feb-2017,0,0.2
04-Feb-2017,.5,3.2
05-Feb-2017,4.1,6.0
06-Feb-2017,9.3,5.5
07-Feb-2017,7.2,0.9
08-Feb-2017,-888,7.2
09-Feb-2017,9.6,10.5
10-Feb-2017,12.1,7.1
11-Feb-2017,5.2,4.3
12-Feb-2017,6.1,5.7
13-Feb-2017,3.1,6.3
14-Feb-2017,4.2,6.7
15-Feb-2017,9.3,10.1
16-Feb-2017,11.4,7.5
17-Feb-2017,2.9,5.9
18-Feb-2017,11.4,10.2
19-Feb-2017,9.1,8.5
20-Feb-2017,7.5,4.5
21-Feb-2017,-888,1.5
22-Feb-2017,8.7,12.5
23-Feb-2017,5.7,11.3
24-Feb-2017,11.1,9.7
25-Feb-2017,12.1,7.5
26-Feb-2017,8.2,8.2
27-Feb-2017,9.5,13.7
28-Feb-2017,20.8,15.2
01-Mar-2017,14.3,11.4
02-Mar-2017,.9,5.2
03-Mar-2017,9.1,3.5
04-Mar-2017,12.5,9.7
05-Mar-2017,11.3,3.7
06-Mar-2017,10.2,13.3
07-Mar-2017,14.7,8.2
08-Mar-2017,12.1,14.1
09-Mar-2017,10.6,16.8
10-Mar-2017,18.1,13.5
11-Mar-2017,8.1,10.8
12-Mar-2017,5.5,10.7
13-Mar-2017,9.7,4.9
14-Mar-2017,14.2,10.8
15-Mar-2017,16.1,18.5
16-Mar-2017,20.2,19.3
17-Mar-2017,18.5,12.2
18-Mar-2017,9.7,13.4
19-Mar-2017,7.1,5.2
20-Mar-2017,8.8,10.5
21-Mar-2017,11.1,8.3
22-Mar-2017,7.6,10.5
23-Mar-2017,12.3,10.2
24-Mar-2017,8.5,4.7
25-Mar-2017,3.1,7.2
26-Mar-2017,-888,2.5
27-Mar-2017,5.3,4.9
28-Mar-2017,6.2,3.5
29-Mar-2017,5.5,7.2
30-Mar-2017,-888,0.8
31-Mar-2017,1.5,2.7
01-Ene-2018,0,0.0
02-Ene-2018,0,0.8
03-Ene-2018,.2,1.5
04-Ene-2018,-888,2.5
05-Ene-2018,7.3,5.7
06-Ene-2018,1.1,0.3
07-Ene-2018,-888,0.0
08-Ene-2018,0,3.7
09-Ene-2018,8.2,1.8
10-Ene-2018,.9,0.2
11-Ene-2018,.5,8.3
12-Ene-2018,1.7,1.4
13-Ene-2018,0,0.0
14-Ene-2018,0,0.0
15-Ene-2018,0,0.0
16-Ene-2018,0,0.0
17-Ene-2018,8.8,9.8
18-Ene-2018,10.2,2.7
19-Ene-2018,0,1.8
20-Ene-2018,3.2,5.2
21-Ene-2018,2.7,9.8
22-Ene-2018,6.7,5.5
23-Ene-2018,-888,3.6
24-Ene-2018,0,0.0
25-Ene-2018,0,0.5
26-Ene-2018,0,1.6
27-Ene-2018,0,0.0
28-Ene-2018,0,0.0
29-Ene-2018,0,0.0
30-Ene-2018,0,0.0
31-Ene-2018,0,0.0
01-Feb-2018,1.1,0.0
02-Feb-2018,0,0.0
03-Feb-2018,0,0.0
04-Feb-2018,0,0.0
05-Feb-2018,0,0.0
06-Feb-2018,0,0.0
07-Feb-2018,0,0.0
08-Feb-2018,0,0.0
09-Feb-2018,0,0.0
10-Feb-2018,0,0.0
11-Feb-2018,0,0.0
12-Feb-2018,0,0.9
13-Feb-2018,-888,2.0
14-Feb-2018,0,7.5
15-Feb-2018,-888,0.5
16-Feb-2018,.8,8.3
17-Feb-2018,0,3.2
18-Feb-2018,6.1,5.2
19-Feb-2018,-888,9.5
20-Feb-2018,.7,0.0
21-Feb-2018,0,2.5
22-Feb-2018,-888,0.0
23-Feb-2018,0,5.2
24-Feb-2018,-888,0.0
25-Feb-2018,0,0.0
26-Feb-2018,0,5.8
27-Feb-2018,1.1,7.2
28-Feb-2018,10.2,3.1
01-Mar-2018,.5,0.0
02-Mar-2018,0,3.4
03-Mar-2018,2.5,3.0
04-Mar-2018,5.2,4.8
05-Mar-2018,-888,1.0
06-Mar-2018,2.1,3.0
07-Mar-2018,-888,0.0
08-Mar-2018,0,1.0
09-Mar-2018,0,-888.0
10-Mar-2018,.8,0.5
11-Mar-2018,1.8,3.5
12-Mar-2018,3.2,1.7
13-Mar-2018,-888,0.0
14-Mar-2018,1,0.0
15-Mar-2018,0,2.5
16-Mar-2018,2.1,4.0
17-Mar-2018,1.2,2.4
18-Mar-2018,0,6.3
19-Mar-2018,5.1,9.5
20-Mar-2018,-888,0.0
21-Mar-2018,0,1.0
22-Mar-2018,2.7,6.2
23-Mar-2018,-888,4.0
24-Mar-2018,1.1,2.2
25-Mar-2018,-888,1.5
26-Mar-2018,0,0.8
27-Mar-2018,0,7.8
28-Mar-2018,-888,0.0
29-Mar-2018,0,0.7
30-Mar-2018,-888,0.2
31-Mar-2018,0,0.0
