Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2014,23,11.9,15.8,22.6,16.8,12.2,15.2,14.2,0.0,0.0,SW,6.0
02-Ene-2014,23.5,13,18.2,23,17.2,16.4,17.4,13.8,0.0,0.0,SW,7.0
03-Ene-2014,25.8,12.9,179,25.3,16.7,15,17.6,14.4,0.0,0.0,SW,7.0
04-Ene-2014,24.8,14.6,17.1,24.4,18.2,15,18,14.4,0.0,0.0,SW,4.0
05-Ene-2014,26.3,16.7,19.8,25.4,18.8,15.2,17.4,15.0,0.0,0.0,SW,7.0
06-Ene-2014,23.8,17,19.7,23,17.8,16.4,17.5,15.5,0.0,0.0,SW,7.0
07-Ene-2014,22.8,14.7,17,22.2,15,15,17.9,13.6,0.0,0.5,SW,7.0
08-Ene-2014,24.4,14.8,17.7,22.8,16.2,13,16,13.7,0.1,0.0,SW,7.0
09-Ene-2014,24.8,15.2,18.4,24,18.4,14.6,17,13.0,0.0,0.0,SW,7.0
10-Ene-2014,25.2,14.7,18.2,23.8,16.4,13,16.8,14.0,0.0,0.0,SW,4.0
11-Ene-2014,25.3,15.4,18.8,24.4,16.9,14.4,16.8,14.2,0.0,0.0,SW,7.0
12-Ene-2014,25.2,15.2,18.4,24.6,16.8,14.6,17,14.4,0.0,0.0,W,6.0
13-Ene-2014,25.5,15,16.2,25.5,19.2,14.4,18.6,15.3,0.0,0.0,WSW,5.0
14-Ene-2014,25,14.4,20,24.1,17.3,15.8,17,14.6,0.0,0.0,SW,7.0
15-Ene-2014,25.5,13.8,15,25,17.7,13.8,18,15.2,0.0,0.0,SW,7.0
16-Ene-2014,21,15.7,16.3,20.6,17.3,14.8,16.6,14.9,0.0,0.0,W,4.0
17-Ene-2014,25.8,15.6,17.4,25.4,19,15,18.5,16.0,0.0,0.0,SW,7.0
18-Ene-2014,25,17.2,18.8,24.5,18.2,16,17.4,16.0,0.0,0.0,S,7.0
19-Ene-2014,27,15.4,20.2,26.8,17.7,16.2,18.4,15.0,0.0,0.0,SW,4.0
20-Ene-2014,25.8,14.6,17.2,24.1,16,15.2,18.4,15.4,0.0,0.0,SW,4.0
21-Ene-2014,24.2,14,15.6,22.8,16.2,15.2,17.9,15.0,0.1,0.0,SW,6.0
22-Ene-2014,24.2,13.9,16.4,23.1,17,15.2,18.4,15.3,0.0,0.0,SW,6.0
23-Ene-2014,22.3,15.4,16.2,22,16.5,14.7,17.8,15.2,0.0,0.0,SW,4.0
24-Ene-2014,25.5,15,16.2,24.9,17,15.3,18.4,15.2,0.0,0.0,SW,5.0
25-Ene-2014,24.7,13.8,16.4,23.5,16.2,14.8,17.6,14.2,0.0,0.0,WSW,7.0
26-Ene-2014,24.4,11.7,15.8,24,15.2,14.2,17.1,14.0,0.0,0.0,W,5.0
27-Ene-2014,24.3,10.7,14.6,23.8,15,13.3,17.4,13.7,0.0,0.0,W,6.0
28-Ene-2014,23.2,11.5,14.4,22.4,14.6,13.2,16,13.0,0.0,0.0,SW,6.0
29-Ene-2014,23.5,10.4,15.2,23.4,14.6,12.8,16.8,12.9,0.0,0.0,SW,4.0
