dma,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
09-mar-17,19.5,15,15.2,17.4,16.2,15,17.2,16,48,32.6,N,4
10-mar-17,22,15,15.4,21.6,17.4,15.2,21.2,17.2,12.3,0.3,SE,8
11-mar-17,23.5,14,14.2,21.2,16.8,14.2,20.6,16.6,12.5,4.9,C,
12-mar-17,24.4,14,15.2,24,18.2,14.4,18.8,17.4,0.1,0.1,SE,10
13-mar-17,24.5,15,15.6,23.8,19.4,15.2,19.8,18.6,8.1,0,SE,6
14-mar-17,21,15,15.4,18.8,17.6,14.8,17,16.6,4.2,5,NW,6
15-mar-17,23.5,13.5,14.2,20,18.2,13.4,18.6,14.2,4.1,11.5,S,6
16-mar-17,26.4,13.5,14.4,23.8,19.4,13.2,19.8,17.4,0,0,SE,6
17-mar-17,26.8,14.5,16.4,25.8,20,15,22.6,18.6,0,0,SE,10
18-mar-17,23,14,15,22,18,14.4,18.6,17.6,0,0.1,C,
19-mar-17,23.2,13.5,14.2,22.2,17.2,13.8,20.4,17,23,1.6,S,6
20-mar-17,20.5,14.5,15.4,17.8,18,15.2,16.6,17,35.6,7.6,S,2
21-mar-17,22,14.5,15.8,18.4,16.8,15,16.8,16,2.4,1.1,SE,4
22-mar-17,22.5,14.5,15,20.2,18.4,14.2,17.2,16.6,0.1,0,S,6
23-mar-17,24.5,13.5,14.4,24,18.6,13.6,18.4,16.8,0.9,0,SE,8
24-mar-17,24.6,13.6,14.8,23.8,19.2,13.8,18.8,18.8,24.6,0,SE,6
25-mar-17,25.5,14.5,15,23.6,19.6,15,20.4,17.6,6.5,0.2,SE,4
26-mar-17,25,14.5,15.2,23.2,17,14.4,20.6,16.2,8.5,3.4,SE,6
27-mar-17,20,15,15.4,17,17.2,14.8,16.6,16.8,0.1,3,C,
28-mar-17,22.5,14,14.2,19.4,18.6,14,18.2,17.8,16.8,7.5,C,
29-mar-17,23,14,16.6,22.8,18.2,16.4,20,17.6,11.1,0,SE,6
30-mar-17,23,15,15.4,21.6,17.4,15.2,19.6,16,3.7,1.1,NW,4
31-mar-17,22,14,14.6,21.6,17.2,14.2,19,16.6,3.3,1.1,SW,6
