Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,1.1,13.2
02-Ene-2017,.2,0.3
03-Ene-2017,.3,0.3
04-Ene-2017,.4,1.1
05-Ene-2017,1.2,36.9
06-Ene-2017,.9,12.9
07-Ene-2017,4.5,11.1
08-Ene-2017,.4,7.8
09-Ene-2017,4.1,0.1
10-Ene-2017,3.5,0.0
11-Ene-2017,0,0.0
12-Ene-2017,0,29.6
13-Ene-2017,1.3,17.4
14-Ene-2017,.6,10.4
15-Ene-2017,2.1,2.2
16-Ene-2017,0,0.0
17-Ene-2017,0,0.0
18-Ene-2017,0,0.0
19-Ene-2017,1,0.4
20-Ene-2017,2.6,0.0
21-Ene-2017,.8,6.9
22-Ene-2017,16.5,8.5
23-Ene-2017,.6,5.3
24-Ene-2017,.2,0.0
25-Ene-2017,0,3.6
26-Ene-2017,0,12.2
27-Ene-2017,4.6,0.0
28-Ene-2017,.7,0.0
29-Ene-2017,0,0.0
30-Ene-2017,.5,0.7
31-Ene-2017,0,4.3
01-Feb-2017,.5,19.5
02-Feb-2017,10.3,4.3
03-Feb-2017,0,6.0
04-Feb-2017,3.7,0.0
05-Feb-2017,0,1.6
06-Feb-2017,.2,1.4
07-Feb-2017,.4,0.6
08-Feb-2017,.4,0.2
09-Feb-2017,40.7,2.7
10-Feb-2017,0,30.7
11-Feb-2017,29.3,0.0
12-Feb-2017,0,0.0
13-Feb-2017,0,0.0
14-Feb-2017,0,0.0
15-Feb-2017,.1,0.0
16-Feb-2017,9.4,1.0
17-Feb-2017,.2,0.0
18-Feb-2017,0,0.0
19-Feb-2017,0,0.0
20-Feb-2017,0,9.5
21-Feb-2017,12.6,0.6
22-Feb-2017,.2,0.0
23-Feb-2017,.6,0.0
24-Feb-2017,3.2,28.8
25-Feb-2017,33.3,2.7
26-Feb-2017,.4,3.4
27-Feb-2017,3,17.2
28-Feb-2017,24.2,16.2
01-Mar-2017,15.6,9.7
02-Mar-2017,2,6.9
03-Mar-2017,15.7,0.5
04-Mar-2017,0,0.0
05-Mar-2017,0,1.8
06-Mar-2017,.6,8.9
07-Mar-2017,.1,2.5
08-Mar-2017,30.5,4.0
09-Mar-2017,13.2,2.4
10-Mar-2017,6.6,20.4
11-Mar-2017,0,16.4
12-Mar-2017,.2,19.6
13-Mar-2017,37.5,5.3
14-Mar-2017,7.8,30.0
15-Mar-2017,5,3.1
16-Mar-2017,.7,2.4
17-Mar-2017,.3,11.5
18-Mar-2017,5,15.9
19-Mar-2017,13.5,15.9
20-Mar-2017,6.1,24.3
21-Mar-2017,.1,17.8
22-Mar-2017,.1,7.2
23-Mar-2017,20.7,17.6
24-Mar-2017,.6,9.3
25-Mar-2017,.9,2.9
26-Mar-2017,35.3,27.8
27-Mar-2017,1.9,6.9
28-Mar-2017,0,1.9
29-Mar-2017,.2,16.8
30-Mar-2017,.7,36.5
31-Mar-2017,2.2,14.5
01-Ene-2018,0,0.0
02-Ene-2018,0,0.0
03-Ene-2018,0,0.0
04-Ene-2018,0,1.1
05-Ene-2018,0,12.4
06-Ene-2018,18,8.4
07-Ene-2018,26.2,0.0
08-Ene-2018,0,0.0
09-Ene-2018,0,4.5
10-Ene-2018,8.3,21.7
11-Ene-2018,.9,19.3
12-Ene-2018,.2,16.8
13-Ene-2018,.1,6.0
14-Ene-2018,5.6,7.9
15-Ene-2018,0,0.0
16-Ene-2018,0,29.1
17-Ene-2018,.2,27.4
18-Ene-2018,15.4,14.3
19-Ene-2018,5.3,2.7
20-Ene-2018,0,1.5
21-Ene-2018,.3,0.1
22-Ene-2018,0,7.8
23-Ene-2018,8.5,0.1
24-Ene-2018,.1,0.0
25-Ene-2018,0,0.0
26-Ene-2018,0,1.3
27-Ene-2018,0,0.0
28-Ene-2018,0,0.0
29-Ene-2018,0,0.0
30-Ene-2018,0,0.0
31-Ene-2018,0,0.0
01-Feb-2018,0,8.1
02-Feb-2018,9.2,0.0
03-Feb-2018,1.1,0.0
04-Feb-2018,0,0.0
05-Feb-2018,.2,1.4
06-Feb-2018,4.9,12.9
07-Feb-2018,9.8,3.8
08-Feb-2018,.3,6.2
09-Feb-2018,2.5,0.0
10-Feb-2018,.8,0.0
11-Feb-2018,0,0.0
12-Feb-2018,.3,12.0
13-Feb-2018,0,1.0
14-Feb-2018,3,0.2
15-Feb-2018,1.2,5.4
16-Feb-2018,9.6,3.0
17-Feb-2018,.4,5.4
18-Feb-2018,0,14.0
19-Feb-2018,4.9,19.6
20-Feb-2018,2.5,0.0
21-Feb-2018,0,0.0
22-Feb-2018,0,0.0
23-Feb-2018,0,0.0
24-Feb-2018,0,0.0
25-Feb-2018,0,0.0
26-Feb-2018,0,2.7
27-Feb-2018,1.3,3.0
28-Feb-2018,2.3,3.2
01-Mar-2018,.9,15.7
02-Mar-2018,1,1.3
03-Mar-2018,.3,0.9
04-Mar-2018,.7,1.0
05-Mar-2018,.7,5.2
06-Mar-2018,2.5,2.0
07-Mar-2018,.2,8.5
08-Mar-2018,0,0.0
09-Mar-2018,0,0.0
10-Mar-2018,0,0.0
11-Mar-2018,.8,0.0
12-Mar-2018,0,2.6
13-Mar-2018,.2,0.4
14-Mar-2018,0,0.0
15-Mar-2018,0,0.0
16-Mar-2018,0,0.0
17-Mar-2018,0,0.0
18-Mar-2018,0,0.0
19-Mar-2018,12,1.0
20-Mar-2018,0,0.4
21-Mar-2018,0,3.5
22-Mar-2018,1,3.9
23-Mar-2018,0,3.1
24-Mar-2018,.6,12.0
25-Mar-2018,0,13.0
26-Mar-2018,2,0.5
27-Mar-2018,3.9,0.5
28-Mar-2018,0,3.8
29-Mar-2018,22.5,12.7
30-Mar-2018,.1,31.0
31-Mar-2018,.6,9.8
